Team_Name,Player_Name,Uploaded_Date,Category_Name,Format_Name,Element_Name,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score
Aurora University,Ty Carlson,2019-1-9,Play Types,Offensive,Overall,14.8%,12.7,13.1,1.034,86%,Excellent,5.6,4.2,9.8,43.1%,55.1%,8.4%,15.7%,12.4%,"45.5%
"
Aurora University,Brandon James,2019-1-9,Play Types,Offensive,Overall,13.6%,11.6,9.7,0.834,51%,Good,5.1,3.4,8.5,39.5%,46.6%,17.8%,9.8%,7.4%,"36.8%
"
Aurora University,Jarek Hotwagner,2019-1-9,Play Types,Offensive,Overall,13.5%,11.6,10.1,0.877,59%,Good,4.9,4,8.9,45.2%,52.8%,18.5%,5.6%,3.7%,"38.9%
"
Aurora University,Bailey Vance,2019-1-9,Play Types,Offensive,Overall,11.8%,10.1,12.4,1.225,98%,Excellent,3.1,4.6,7.7,60.2%,70.8%,14.1%,12.7%,10.6%,"53.5%
"
Aurora University,Matt Dunn,2019-1-9,Play Types,Offensive,Overall,9.8%,11.8,9.7,0.822,48%,Average,5.7,3.9,9.6,40.6%,44.8%,13.6%,9.3%,7.6%,"36.4%
"
Aurora University,Garrett Hoffman,2019-1-9,Play Types,Offensive,Overall,6.6%,8.8,10.9,1.241,98%,Excellent,2.8,3.8,6.6,57.6%,74.6%,19%,8.9%,2.5%,"49.4%
"
Aurora University,Jesse Young,2019-1-9,Play Types,Offensive,Overall,6.6%,7.2,8.2,1.139,94%,Excellent,1.9,3.1,5,61.8%,63.6%,13.9%,20.3%,20.3%,"58.2%
"
Aurora University,Deante Walker,2019-1-9,Play Types,Offensive,Overall,5%,6,5.3,0.883,60%,Good,2.7,1.6,4.3,37.2%,44.2%,8.3%,21.7%,15%,"40%
"
Aurora University,Justin Wierzgac,2019-1-9,Play Types,Offensive,Overall,4.7%,5.1,4.9,0.964,76%,Very Good,1.8,1.8,3.6,50%,62.5%,21.4%,8.9%,8.9%,"39.3%
"
Aurora University,Rashad Johnson,2019-1-9,Play Types,Offensive,Overall,4.1%,7,9.4,1.347,99%,Excellent,2.3,3.1,5.4,57.9%,77.6%,16.3%,10.2%,6.1%,"51%
"
