Team_Name,Uploaded_Date,Format_Name,Category_Name,Element_Name,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score
Aurora University,2019-1-9,Offensive,Overall Offense,Overall,100%,85.6,84.2,0.983,94%,Excellent,34.1,30.1,64.2,46.8%,55.7%,14.9%,12.2%,9.5%,"43.4%
"
Aurora University,2019-1-9,Offensive,Overall Offense,Transition,18%,15.4,17.5,1.134,94%,Excellent,6.2,6.4,12.6,50.6%,61.4%,10.2%,10.6%,8.8%,"48.6%
"
Aurora University,2019-1-9,Offensive,Overall Offense,Overall Half Court,82%,70.2,66.7,0.95,91%,Excellent,27.9,23.7,51.6,45.9%,54.4%,16%,12.5%,9.7%,"42.2%
"
Aurora University,2019-1-9,Offensive,Overall Offense,Short Shot Clock <4 Seconds,4.4%,3.8,3.6,0.943,92%,Excellent,1.9,1.3,3.2,40%,48.9%,9.4%,7.5%,5.7%,"39.6%
"
Aurora University,2019-1-9,Offensive,Overall Offense,Out of Bounds (End),7.2%,5.1,4.3,0.845,58%,Good,2.3,1.5,3.8,39.6%,47.2%,14.1%,12.7%,12.7%,"38%
"
Aurora University,2019-1-9,Offensive,Overall Offense,Out of Bounds (Side),3.6%,2.5,3.4,1.343,100%,Excellent,0.8,1.2,2,60.7%,75%,14.3%,11.4%,11.4%,"54.3%
"
Aurora University,2019-1-9,Offensive,Overall Offense,After Time Outs,14.8%,10.4,9.9,0.959,82%,Very Good,4.3,3.4,7.6,43.9%,51.4%,13.1%,14.5%,13.1%,"44.8%
"
Aurora University,2019-1-9,Offensive,Overall Offense,Against Man,94.4%,66.3,62.1,0.936,89%,Excellent,26.4,22,48.4,45.4%,53.3%,15.9%,13%,10%,"42%
"
Aurora University,2019-1-9,Offensive,Overall Offense,Against Zone,5.6%,3.9,4.6,1.182,94%,Excellent,1.5,1.7,3.2,53.3%,70%,16.4%,3.6%,3.6%,"45.5%
"
Aurora University,2019-1-9,Offensive,Overall Offense,Press Offense,3.4%,2.4,1.9,0.818,51%,Good,0.9,0.6,1.4,40%,52.5%,27.3%,15.2%,3%,"33.3%
"
Aurora University,2019-1-9,Offensive,Play Types,Spot Up,31.4%,26.9,29,1.077,95%,Excellent,12.9,9.8,22.6,43.2%,58%,8.8%,8.2%,6.6%,"42.2%
"
Aurora University,2019-1-9,Offensive,Play Types,Transition,18%,15.4,17.5,1.134,94%,Excellent,6.2,6.4,12.6,50.6%,61.4%,10.2%,10.6%,8.8%,"48.6%
"
Aurora University,2019-1-9,Offensive,Play Types,Isolation,9.2%,7.9,6.3,0.8,58%,Good,3.4,2.4,5.7,41.3%,41.9%,13.6%,16.4%,14.5%,"40%
"
Aurora University,2019-1-9,Offensive,Play Types,P&R Ball Handler,8.6%,7.4,5.9,0.796,67%,Very Good,3.4,2.1,5.5,39%,42.9%,16.5%,10.7%,9.7%,"36.9%
"
Aurora University,2019-1-9,Offensive,Play Types,Cut,6.2%,5.3,7,1.324,96%,Excellent,1.2,2.9,4.1,70.2%,70.2%,5.4%,21.6%,21.6%,"70.3%
"
Aurora University,2019-1-9,Offensive,Play Types,Off Screen,5.9%,5.1,4.6,0.901,55%,Good,2.5,1.8,4.3,41.7%,53.3%,14.1%,1.4%,1.4%,"35.2%
"
Aurora University,2019-1-9,Offensive,Play Types,Offensive Rebounds (put backs),5.3%,4.5,5.9,1.302,97%,Excellent,1.1,2.1,3.3,65.2%,65.2%,4.8%,27%,22.2%,"66.7%
"
Aurora University,2019-1-9,Offensive,Play Types,Post-Up,4.4%,3.8,2.9,0.774,39%,Average,1.5,1.1,2.6,43.2%,43.2%,20.8%,13.2%,13.2%,"37.7%
"
Aurora University,2019-1-9,Offensive,Play Types,P&R Roll Man,1.4%,1.2,1.1,0.882,37%,Average,0.6,0.4,1,42.9%,53.6%,17.6%,0%,0%,"35.3%
"
Aurora University,2019-1-9,Offensive,Play Types,Hand Off,1.1%,0.9,0.9,1,85%,Excellent,0.5,0.4,0.9,41.7%,54.2%,7.7%,0%,0%,"38.5%
"
Aurora University,2019-1-9,Offensive,Play Types,Miscellaneous,8.5%,7.3,3.2,0.441,46%,Average,0.9,0.7,1.6,43.5%,45.7%,58.8%,21.6%,5.9%,"23.5%
"
Aurora University,2019-1-9,Offensive,Offense Including Passes,Isolations Including Passes,14.4%,12.4,10.3,0.832,58%,Good,5.6,3.6,9.2,39.5%,44.2%,12.1%,15.6%,13.9%,"39.9%
"
Aurora University,2019-1-9,Offensive,Offense Including Passes,Pick and Rolls Including Passes,15.4%,13.2,12.1,0.919,80%,Very Good,6.1,4.5,10.6,42.6%,50.7%,13.5%,8.1%,6.5%,"39.5%
"
Aurora University,2019-1-9,Offensive,Offense Including Passes,Post-Ups Including Passes,5.9%,5.1,4.2,0.831,41%,Average,2.1,1.6,3.8,43.4%,45.3%,16.9%,11.3%,11.3%,"39.4%
"
Aurora University,2019-1-9,Offensive,During Pass Out Situations,ISO - Defense Commits,5.3%,4.5,4,0.889,42%,Average,2.2,1.3,3.5,36.7%,48%,9.5%,14.3%,12.7%,"39.7%
"
Aurora University,2019-1-9,Offensive,During Pass Out Situations,P&R BH - Defense Commits,7.9%,6.8,6.4,0.947,87%,Excellent,2.7,2.4,5.1,46.5%,59.2%,21.1%,5.3%,2.1%,"37.9%
"
Aurora University,2019-1-9,Offensive,During Pass Out Situations,Post-Up - Defense Commits,1.5%,1.3,1.3,1,46%,Average,0.6,0.5,1.1,43.8%,50%,5.6%,5.6%,5.6%,"44.4%
"
Aurora University,2019-1-9,Offensive,During Trapping Situations,P&R BH - Traps,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-
"
Aurora University,2019-1-9,Offensive,During Trapping Situations,Post-Up - Hard Double,0.7%,0.6,0.3,0.5,-,-,0.2,0.1,0.3,25%,25%,37.5%,12.5%,12.5%,"25%
"
Aurora University,2019-1-9,Offensive,Shot Attempt - Half Court,Jump Shots,55.2%,28.5,30.1,1.055,89%,Excellent,17.9,10.6,28.5,37.3%,52.6%,0%,0.3%,0.3%,"37.3%
"
Aurora University,2019-1-9,Offensive,Shot Attempt - Half Court,Jump Shots.Short Shot Clock <4 Seconds,3.6%,1.9,2,1.077,95%,Excellent,1.1,0.7,1.9,38.5%,53.8%,0%,0%,0%,"38.5%
"
