Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Player_Name,Pts,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm
0,0,0,4,3,1,0,0,0,0,7,1,0,Jake Digiorgio,6,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,4,3,1
0,0,3,0,0,0,0,0,0,0,7,1,1,Max Hisatake,0,0,Illinois Tech Scarlet Hawks,0,0,0,4,0,0,0,0
0,0,0,1,0,1,0,0,0,1,7,1,0,Parker Joncus,0,0,Illinois Tech Scarlet Hawks,1,0,1,0,3,0,0,0
0,0,0,1,0,1,0,0,0,0,7,1,0,Anthony Mosley,0,1,Illinois Tech Scarlet Hawks,0,0,0,0,2,1,0,1
1,0,0,0,0,0,0,0,0,0,7,1,0,Ahmad Muhammad,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,7,2,0,Jake Digiorgio,2,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,7,2,0,Max Hisatake,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,1,0,1,1,0,2,2,0,0,7,2,0,Anthony Mosley,5,0,Illinois Tech Scarlet Hawks,1,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,7,2,0,Otis Reale,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,1,0,0,0
1,0,1,0,0,0,0,0,0,0,7,2,0,Milos Dugalic,0,0,Illinois Tech Scarlet Hawks,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,7,3,0,Jake Digiorgio,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,7,3,0,Anthony Mosley,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,7,3,0,Otis Reale,0,0,Illinois Tech Scarlet Hawks,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,7,3,0,Milos Dugalic,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,7,3,0,Ricardo Whitehead,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
1,0,0,0,0,0,2,2,0,0,7,4,0,Anthony Mosley,2,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,7,4,0,Otis Reale,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,7,4,0,Milos Dugalic,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,7,4,0,Ricardo Whitehead,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
