Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
3,1,5,8,5,3,0,0,0,2,20.0,2,1,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Max Hisatake,Milos Dugalic",12,3.8500000000000014,1,1,0,2,7,1,6,2,2,0,0,0,4,1,2,0,2,2,1,5,1,4,8,1,Illinois Tech Scarlet Hawks,4,2,2,16.15,6,2,4,3,1,1
0,0,1,1,1,0,0,0,0,1,16.15,2,2,"Anthony Mosley,Jake Bruns,Max Hisatake,Milos Dugalic,Parker Joncus",2,0.9833333333333325,0,0,0,0,2,0,2,2,0,2,0,2,0,0,1,0,1,2,0,1,0,1,2,0,Illinois Tech Scarlet Hawks,0,0,0,15.166666666666666,1,0,1,1,0,1
0,0,0,1,0,1,0,0,0,1,15.166666666666666,2,3,"Anthony Mosley,Capriest Gardner,Jake Bruns,Max Hisatake,Parker Joncus",0,0.9833333333333325,0,1,0,1,1,1,0,2,1,1,0,0,4,0,1,1,0,1,0,0,0,0,-4,0,Illinois Tech Scarlet Hawks,1,0,1,14.183333333333334,0,0,0,0,0,1
0,0,1,3,1,2,0,0,0,0,14.183333333333334,2,4,"Capriest Gardner,Jake Bruns,Jake Digiorgio,Parker Joncus,Zach Parduhn",2,2.4833333333333343,0,0,1,1,3,2,1,0,0,0,0,0,4,1,0,0,0,1,1,3,2,1,-2,0,Illinois Tech Scarlet Hawks,1,0,1,11.7,1,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,11.7,2,5,"Ahmad Muhammad,Calvin Schmitz,Jake Digiorgio,Max Hisatake,Zach Parduhn",0,0.1833333333333318,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Illinois Tech Scarlet Hawks,0,0,0,11.516666666666667,0,0,0,0,0,1
0,0,3,5,0,5,4,4,0,0,11.516666666666667,2,6,"Ahmad Muhammad,Anthony Mosley,Calvin Schmitz,Jake Digiorgio,Max Hisatake",4,3.283333333333335,2,1,0,3,5,2,3,0,0,0,4,0,5,0,2,1,1,3,0,3,1,2,-1,0,Illinois Tech Scarlet Hawks,2,0,2,8.233333333333333,5,1,3,0,3,1
0,0,1,1,1,0,0,0,0,1,8.233333333333333,2,7,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Max Hisatake,Milos Dugalic",2,1.666666666666666,0,1,0,0,2,1,1,0,0,0,0,0,3,1,2,1,1,0,1,0,0,0,-1,1,Illinois Tech Scarlet Hawks,0,0,0,6.566666666666666,1,2,1,1,0,1
0,0,0,0,0,0,0,0,0,0,6.566666666666666,2,8,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Milos Dugalic,Ricardo Whitehead",0,0.6666666666666661,0,1,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,-2,0,Illinois Tech Scarlet Hawks,0,0,0,5.9,0,0,0,0,0,1
0,0,2,3,2,1,0,0,0,1,5.9,2,9,"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Milos Dugalic,Ricardo Whitehead",4,1.9500000000000002,1,0,0,1,3,1,2,2,0,2,0,0,3,1,2,1,1,1,0,1,0,1,1,0,Illinois Tech Scarlet Hawks,0,0,0,3.95,3,2,3,2,1,1
0,0,0,1,0,1,0,0,0,1,3.95,2,10,"Ahmad Muhammad,Capriest Gardner,Jake Bruns,Max Hisatake,Milos Dugalic",0,0.6000000000000001,0,0,0,1,0,0,0,2,2,0,0,0,2,0,0,0,0,1,0,0,0,0,-2,0,Illinois Tech Scarlet Hawks,1,0,1,3.35,0,0,0,0,0,1
