Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Player_Name,Pts,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm
0,0,0,2,0,2,0,0,0,0,3,1,0,Jackson Smith,0,0,Dominican (IL) Stars,1,0,1,0,1,1,0,1
0,0,1,1,0,1,0,0,0,0,3,1,0,Derek Steck,0,0,Dominican (IL) Stars,1,0,1,1,0,0,0,0
0,0,0,2,0,2,0,0,0,0,3,1,0,Braquan Echols,0,0,Dominican (IL) Stars,1,0,1,0,0,1,0,1
0,0,0,1,0,1,0,0,0,1,3,1,0,Dennis Handy,0,0,Dominican (IL) Stars,1,0,1,0,0,0,0,0
0,0,1,1,0,1,0,0,0,0,3,1,0,Andrew Wojcik,0,0,Dominican (IL) Stars,0,0,0,1,1,1,0,1
1,0,0,0,0,0,0,0,0,0,3,2,0,Arrin Westbrook,0,2,Dominican (IL) Stars,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,3,2,0,Domenic Aiello,0,0,Dominican (IL) Stars,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,0,1,3,2,0,Antonio Amoah,2,0,Dominican (IL) Stars,0,0,0,0,1,1,1,0
0,0,0,2,2,0,0,0,0,0,3,2,0,Isaac Moore,6,0,Dominican (IL) Stars,2,2,0,0,0,0,0,0
0,0,0,1,0,1,2,1,1,0,3,2,0,Connor Dartt,1,1,Dominican (IL) Stars,0,0,0,0,0,1,0,1
0,0,0,2,0,2,0,0,0,0,3,3,0,Arrin Westbrook,0,0,Dominican (IL) Stars,0,0,0,0,0,2,0,2
0,0,0,1,0,1,0,0,0,0,3,3,0,Domenic Aiello,0,0,Dominican (IL) Stars,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,3,0,Isaac Moore,0,0,Dominican (IL) Stars,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,3,3,0,Connor Dartt,2,0,Dominican (IL) Stars,0,0,0,1,0,1,1,0
0,0,1,1,1,0,0,0,0,0,3,3,1,Dennis Handy,2,0,Dominican (IL) Stars,0,0,0,2,0,1,1,0
0,0,0,0,0,0,0,0,0,0,3,4,0,Arrin Westbrook,0,0,Dominican (IL) Stars,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,3,4,0,Domenic Aiello,0,0,Dominican (IL) Stars,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,4,0,Isaac Moore,0,0,Dominican (IL) Stars,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,4,0,Dennis Handy,0,0,Dominican (IL) Stars,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,4,0,Marcus Watson,0,0,Dominican (IL) Stars,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,5,0,Domenic Aiello,0,1,Dominican (IL) Stars,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,3,5,0,Isaac Moore,0,0,Dominican (IL) Stars,1,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0,1,3,5,1,Dennis Handy,0,0,Dominican (IL) Stars,1,0,1,1,1,0,0,0
0,0,0,2,0,2,0,0,0,1,3,5,0,Marcus Watson,0,0,Dominican (IL) Stars,1,0,1,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,3,5,0,Jackson Smith,0,0,Dominican (IL) Stars,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,6,0,Domenic Aiello,0,0,Dominican (IL) Stars,0,0,0,0,0,0,0,0
0,0,0,2,1,1,1,0,1,0,3,6,1,Isaac Moore,2,0,Dominican (IL) Stars,0,0,0,1,0,2,1,1
0,0,0,0,0,0,0,0,0,0,3,6,0,Dennis Handy,0,0,Dominican (IL) Stars,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,6,1,Jackson Smith,0,0,Dominican (IL) Stars,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,6,0,Connor Dartt,0,0,Dominican (IL) Stars,0,0,0,0,0,0,0,0
0,0,0,2,1,1,0,0,0,0,3,7,0,Isaac Moore,3,0,Dominican (IL) Stars,2,1,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,3,7,0,Dennis Handy,0,0,Dominican (IL) Stars,0,0,0,0,0,1,0,1
2,0,0,1,0,1,0,0,0,0,3,7,0,Jackson Smith,0,0,Dominican (IL) Stars,0,0,0,0,0,1,0,1
0,0,0,1,1,0,0,0,0,0,3,7,0,Connor Dartt,3,0,Dominican (IL) Stars,1,1,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,3,7,0,Derrick Chaney,2,1,Dominican (IL) Stars,0,0,0,0,0,1,1,0
0,0,1,0,0,0,2,2,0,0,3,8,0,Isaac Moore,2,0,Dominican (IL) Stars,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,3,8,0,Jackson Smith,0,1,Dominican (IL) Stars,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,8,0,Connor Dartt,0,0,Dominican (IL) Stars,0,0,0,0,0,0,0,0
0,0,0,2,1,1,1,1,0,0,3,8,0,Antonio Amoah,3,0,Dominican (IL) Stars,0,0,0,0,0,2,1,1
