Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Player_Name,Pts,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm
1,0,0,2,2,0,0,0,0,0,5,1,0,Garrett Duffin,4,0,Lakeland (WI) Muskies,0,0,0,0,0,2,2,0
0,0,0,0,0,0,0,0,0,1,5,1,0,Eric Nygaard,0,0,Lakeland (WI) Muskies,0,0,0,0,0,0,0,0
0,0,1,1,0,1,0,0,0,0,5,1,0,Jequan Pegeese,0,0,Lakeland (WI) Muskies,0,0,0,1,0,1,0,1
0,0,0,2,1,1,0,0,0,0,5,1,0,Shakur Jinad,3,0,Lakeland (WI) Muskies,1,1,0,0,0,1,0,1
0,0,0,1,1,0,2,2,0,0,5,1,0,Don Joachim,4,0,Lakeland (WI) Muskies,0,0,0,0,1,1,1,0
0,0,0,1,0,1,0,0,0,0,5,2,0,Garrett Duffin,0,0,Lakeland (WI) Muskies,0,0,0,0,0,1,0,1
0,0,1,0,0,0,0,0,0,1,5,2,0,Shakur Jinad,0,0,Lakeland (WI) Muskies,0,0,0,1,0,0,0,0
0,0,0,1,0,1,0,0,0,0,5,2,0,Don Joachim,0,0,Lakeland (WI) Muskies,0,0,0,0,0,1,0,1
0,0,1,1,0,1,0,0,0,0,5,2,0,Anthony Guarascio,0,0,Lakeland (WI) Muskies,1,0,1,1,1,0,0,0
0,1,0,1,0,1,0,0,0,0,5,2,1,Isaac Anderson,0,0,Lakeland (WI) Muskies,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5,3,0,Shakur Jinad,0,0,Lakeland (WI) Muskies,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5,3,0,Anthony Guarascio,0,0,Lakeland (WI) Muskies,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,5,3,0,Deonte Carlton,0,0,Lakeland (WI) Muskies,0,0,0,0,0,1,0,1
1,0,0,0,0,0,0,0,0,0,5,3,0,Jequan Pegeese,0,0,Lakeland (WI) Muskies,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,5,3,0,Eric Nygaard,3,0,Lakeland (WI) Muskies,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5,4,0,Shakur Jinad,0,0,Lakeland (WI) Muskies,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,5,4,0,Deonte Carlton,0,0,Lakeland (WI) Muskies,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,5,4,0,Jequan Pegeese,0,0,Lakeland (WI) Muskies,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,5,4,0,Eric Nygaard,0,0,Lakeland (WI) Muskies,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,5,4,0,Don Joachim,0,0,Lakeland (WI) Muskies,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,5,5,0,Deonte Carlton,0,0,Lakeland (WI) Muskies,0,0,0,0,0,1,0,1
0,0,1,0,0,0,0,0,0,0,5,5,0,Jequan Pegeese,0,0,Lakeland (WI) Muskies,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5,5,0,Don Joachim,0,0,Lakeland (WI) Muskies,0,0,0,0,0,0,0,0
