Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
1,0,2,9,1,8,4,2,2,0,20.0,2,1,"Bailey Vance,Brandon James,Jarek Hotwagner,Matt Dunn,Ty Carlson",4,4.833333333333334,2,3,1,6,9,6,3,0,0,0,3,1,14,1,4,2,2,7,2,5,4,1,-10,1,Aurora University,3,0,3,15.166666666666666,4,1,6,1,5,1
1,0,1,2,1,1,2,1,1,0,15.166666666666666,2,2,"Bailey Vance,Garrett Hoffman,Justin Wierzgac,Matt Dunn,Ty Carlson",4,1.6499999999999986,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,4,1,Aurora University,1,1,0,13.516666666666667,1,0,1,0,1,1
0,1,1,2,2,0,0,0,0,1,13.516666666666667,2,3,"Bailey Vance,Garrett Hoffman,Jesse Young,Justin Wierzgac,Matt Dunn",4,2.0,0,0,0,0,3,1,2,0,0,0,0,0,2,0,1,0,1,0,0,2,1,1,2,0,Aurora University,0,0,0,11.516666666666667,1,1,2,2,0,1
0,0,0,1,0,1,0,0,0,2,11.516666666666667,2,4,"Deante Walker,Garrett Hoffman,Jesse Young,Justin Wierzgac,Mike Finley",0,0.6000000000000014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Aurora University,0,0,0,10.916666666666666,0,0,1,0,1,1
0,0,1,1,1,0,0,0,0,1,10.916666666666666,2,5,"Deante Walker,Garrett Hoffman,Justin Wierzgac,Mike Finley,Ty Carlson",2,0.7666666666666657,0,0,0,0,1,0,1,2,2,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,Aurora University,0,0,0,10.15,1,0,1,1,0,1
1,0,2,3,1,2,0,0,0,1,10.15,2,6,"Garrett Hoffman,Justin Wierzgac,Matt Dunn,Mike Finley,Ty Carlson",3,1.9166666666666679,0,0,0,2,4,0,4,2,2,0,0,2,2,0,2,0,2,4,0,2,0,2,1,0,Aurora University,2,1,1,8.233333333333333,2,0,1,0,1,1
1,0,0,2,1,1,0,0,0,0,8.233333333333333,2,7,"Brandon James,Garrett Hoffman,Matt Dunn,Mike Finley,Ty Carlson",3,1.666666666666666,0,0,0,1,1,1,0,0,0,0,1,0,2,1,0,0,0,1,2,1,1,0,1,1,Aurora University,2,1,1,6.566666666666666,0,1,0,0,0,1
1,0,0,2,1,1,0,0,0,1,6.566666666666666,2,8,"Bailey Vance,Brandon James,Garrett Hoffman,Jarek Hotwagner,Matt Dunn",2,1.2333333333333334,0,0,0,1,2,1,1,0,0,0,0,1,2,0,0,0,0,2,1,2,1,1,0,0,Aurora University,0,0,0,5.333333333333333,0,0,2,1,1,1
0,0,2,3,1,2,4,2,2,1,5.333333333333333,2,9,"Bailey Vance,Brandon James,Jarek Hotwagner,Jesse Young,Matt Dunn",5,3.4666666666666663,0,0,0,3,4,2,2,0,0,0,3,0,4,0,2,0,2,3,2,2,2,0,1,1,Aurora University,3,1,2,1.8666666666666667,2,1,0,0,0,1
1,0,1,2,1,1,0,0,0,1,1.8666666666666667,2,10,"Bailey Vance,Brandon James,Jarek Hotwagner,Justin Wierzgac,Matt Dunn",2,1.6,0,1,0,1,2,1,1,2,2,0,0,0,4,0,1,0,1,1,0,1,1,0,-2,0,Aurora University,0,0,0,0.26666666666666666,1,1,2,1,1,1
0,0,0,1,0,1,0,0,0,0,0.26666666666666666,2,11,"Bailey Vance,Brandon James,Justin Wierzgac,Matt Dunn,Ty Carlson",0,0.26666666666666666,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,Aurora University,0,0,0,0.0,0,0,1,0,1,1
3,0,2,7,5,2,0,0,0,1,20.0,2,12,"Bailey Vance,Brandon James,Jarek Hotwagner,Matt Dunn,Ty Carlson",12,4.9,0,2,0,2,6,4,2,0,0,0,0,0,8,1,0,0,0,2,4,6,4,2,4,2,Aurora University,2,2,0,15.1,2,2,5,3,2,2
