Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Player_Name,Pts,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm
0,0,0,3,1,2,0,0,0,0,2,1,0,Jarek Hotwagner,2,0,Aurora University,1,0,1,0,1,2,1,1
1,0,1,1,0,1,0,0,0,0,2,1,1,Bailey Vance,0,0,Aurora University,0,0,0,2,0,1,0,1
0,0,0,1,0,1,0,0,0,0,2,1,0,Ty Carlson,0,1,Aurora University,0,0,0,0,0,1,0,1
0,0,1,2,0,2,2,0,2,0,2,1,1,Matt Dunn,0,0,Aurora University,0,0,0,2,0,2,0,2
0,0,0,2,0,2,2,2,0,0,2,1,0,Brandon James,2,0,Aurora University,2,0,2,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,2,2,0,Bailey Vance,0,0,Aurora University,0,0,0,1,0,0,0,0
0,0,0,1,0,1,0,0,0,0,2,2,0,Ty Carlson,0,0,Aurora University,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,2,2,0,Matt Dunn,0,0,Aurora University,0,0,0,0,0,0,0,0
0,0,0,1,1,0,2,1,1,0,2,2,0,Justin Wierzgac,4,0,Aurora University,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,2,0,Garrett Hoffman,0,1,Aurora University,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,3,0,Bailey Vance,0,0,Aurora University,0,0,0,0,0,0,0,0
0,0,0,2,2,0,0,0,0,1,2,3,0,Matt Dunn,4,0,Aurora University,0,0,0,0,0,2,2,0
0,1,0,0,0,0,0,0,0,0,2,3,0,Justin Wierzgac,0,0,Aurora University,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,2,3,0,Garrett Hoffman,0,0,Aurora University,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,2,3,0,Jesse Young,0,0,Aurora University,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,1,2,4,0,Justin Wierzgac,0,0,Aurora University,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,2,4,0,Garrett Hoffman,0,0,Aurora University,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,2,4,0,Jesse Young,0,0,Aurora University,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,4,0,Deante Walker,0,0,Aurora University,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,4,0,Mike Finley,0,0,Aurora University,0,0,0,0,0,0,0,0
