Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
2,1,5,7,3,4,0,0,0,1,20.0,1,1,"Bryan Jacobsze,Eric Grygo,Jaquan Phipps,Kenny Bogus,Kyle Graebner",6,3.8500000000000014,0,0,0,4,6,1,5,1,1,0,0,0,3,1,1,0,1,4,2,5,1,4,3,2,Benedictine (IL) Eagles,2,0,2,16.15,5,1,5,3,2,1
0,1,1,3,1,2,0,0,0,1,16.15,1,2,"Bryan Jacobsze,Eric Grygo,Kenny Bogus,Kyle Graebner,Kyle Hornacek",2,0.7666666666666657,1,0,0,1,2,1,1,1,0,1,0,1,2,0,0,0,0,2,1,2,1,1,0,0,Benedictine (IL) Eagles,2,0,2,15.383333333333333,2,0,1,1,0,1
2,0,0,4,2,2,0,0,0,1,15.383333333333333,1,3,"Carl Singletary,Eric Grygo,Kenny Bogus,Kyle Hornacek,Marques Barnes",5,1.7333333333333325,1,0,0,1,2,1,1,0,0,0,0,0,2,0,0,0,0,1,0,2,1,1,3,0,Benedictine (IL) Eagles,3,1,2,13.65,1,0,1,1,0,1
0,0,0,2,0,2,0,0,0,1,13.65,1,4,"Bryan Jacobsze,Carl Singletary,Collin Mergl,Kyle Hornacek,Marques Barnes",0,1.0500000000000007,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,Benedictine (IL) Eagles,1,0,1,12.6,0,0,1,0,1,1
1,0,1,2,1,1,0,0,0,0,12.6,1,5,"Bryan Jacobsze,Collin Mergl,Derrick Faulkner,Kyle Hornacek,Marques Barnes",3,1.3666666666666671,0,0,0,1,2,1,1,0,0,0,0,0,3,0,1,1,0,1,1,1,0,1,0,1,Benedictine (IL) Eagles,2,1,1,11.233333333333333,1,1,0,0,0,1
0,0,1,1,0,1,0,0,0,0,11.233333333333333,1,6,"Bryan Jacobsze,Derrick Faulkner,Eric Grygo,Kenny Bogus,Kyle Graebner",0,0.5333333333333332,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Benedictine (IL) Eagles,0,0,0,10.7,1,0,1,0,1,1
0,0,3,4,0,4,2,2,0,0,10.7,1,7,"Bryan Jacobsze,Eric Grygo,Jaquan Phipps,Kenny Bogus,Kyle Graebner",2,2.1999999999999993,1,0,0,3,4,1,3,0,0,0,1,0,2,0,0,0,0,3,0,4,1,3,0,0,Benedictine (IL) Eagles,2,0,2,8.5,4,1,2,0,2,1
0,0,0,0,0,0,0,0,0,0,8.5,1,8,"Eric Grygo,Jaquan Phipps,Kenny Bogus,Kyle Graebner,Kyle Hornacek",0,0.38333333333333286,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,Benedictine (IL) Eagles,0,0,0,8.116666666666667,0,0,0,0,0,1
0,0,1,1,0,1,0,0,0,0,8.116666666666667,1,9,"Carl Singletary,Eric Grygo,Kenny Bogus,Kyle Graebner,Kyle Hornacek",0,0.7166666666666668,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,Benedictine (IL) Eagles,0,0,0,7.4,2,1,1,0,1,1
0,0,0,1,1,0,0,0,0,2,7.4,1,10,"Carl Singletary,Collin Mergl,Eric Grygo,Kenny Bogus,Kyle Graebner",2,1.283333333333334,0,0,0,0,2,1,1,0,0,0,0,1,2,0,0,0,0,1,0,2,1,1,0,0,Benedictine (IL) Eagles,0,0,0,6.116666666666666,0,0,1,1,0,1
0,0,1,2,1,1,0,0,0,1,6.116666666666666,1,11,"Bryan Jacobsze,Carl Singletary,Collin Mergl,Kenny Bogus,Kyle Graebner",2,1.8666666666666663,0,1,0,1,2,2,0,1,0,1,0,0,4,1,0,0,0,1,1,2,2,0,-2,1,Benedictine (IL) Eagles,1,0,1,4.25,1,1,1,1,0,1
0,0,0,1,1,0,0,0,0,0,4.25,1,12,"Bryan Jacobsze,Collin Mergl,Gio Calabrese,Kenny Bogus,Marques Barnes",2,0.6499999999999999,0,0,0,0,2,1,1,0,0,0,0,1,2,0,0,0,0,1,0,2,1,1,0,0,Benedictine (IL) Eagles,0,0,0,3.6,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,3.6,1,13,"Bryan Jacobsze,Derrick Faulkner,Gio Calabrese,Jaquan Phipps,Kenny Bogus",0,0.20000000000000018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Benedictine (IL) Eagles,0,0,0,3.4,0,0,0,0,0,1
1,0,1,5,1,4,0,0,0,0,3.4,1,14,"Bryan Jacobsze,Gio Calabrese,Jaquan Phipps,Kenny Bogus,Kyle Graebner",3,1.6166666666666667,1,0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,1,1,1,0,1,3,0,Benedictine (IL) Eagles,1,1,0,1.7833333333333332,2,0,4,0,4,1
0,0,0,0,0,0,0,0,0,0,1.7833333333333332,1,15,"Bryan Jacobsze,Carl Singletary,Jaquan Phipps,Kenny Bogus,Kyle Graebner",0,0.2999999999999998,0,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,-2,0,Benedictine (IL) Eagles,0,0,0,1.4833333333333334,0,1,0,0,0,1
0,1,1,2,0,2,0,0,0,0,1.4833333333333334,1,16,"Bryan Jacobsze,Carl Singletary,Kenny Bogus,Kyle Graebner,Marques Barnes",0,1.4833333333333334,0,0,0,2,2,1,1,0,0,0,0,0,2,0,0,0,0,2,0,2,1,1,0,0,Benedictine (IL) Eagles,1,0,1,0.0,1,0,1,0,1,1
1,0,1,3,1,2,2,1,1,1,20.0,1,17,"Bryan Jacobsze,Eric Grygo,Jaquan Phipps,Kenny Bogus,Kyle Graebner",3,3.583333333333332,0,1,0,2,7,3,4,2,2,0,1,3,9,1,1,1,0,5,1,6,2,4,-6,0,Benedictine (IL) Eagles,1,0,1,16.416666666666668,1,1,2,1,1,2
1,0,2,4,2,2,0,0,0,1,16.416666666666668,1,18,"Bryan Jacobsze,Carl Singletary,Kenny Bogus,Kyle Graebner,Kyle Hornacek",4,3.533333333333335,0,2,0,2,6,2,4,0,0,0,0,2,5,0,3,1,2,4,2,3,1,2,-1,2,Benedictine (IL) Eagles,1,0,1,12.883333333333333,2,2,3,2,1,2
0,0,0,1,0,1,0,0,0,1,12.883333333333333,1,19,"Bryan Jacobsze,Collin Mergl,Derrick Faulkner,Kyle Hornacek,Marques Barnes",0,0.7833333333333332,0,0,0,1,2,0,2,0,0,0,0,2,0,0,2,0,2,3,0,0,0,0,0,0,Benedictine (IL) Eagles,1,0,1,12.1,0,0,0,0,0,2
0,1,1,0,0,0,2,2,0,0,12.1,1,20,"Bryan Jacobsze,Collin Mergl,Derrick Faulkner,Eric Grygo,Marques Barnes",2,0.6666666666666661,0,1,0,0,2,1,1,0,0,0,1,0,3,1,1,1,0,0,0,1,0,1,-1,0,Benedictine (IL) Eagles,0,0,0,11.433333333333334,1,1,0,0,0,2
0,0,3,1,0,1,2,2,0,1,11.433333333333334,1,21,"Derrick Faulkner,Eric Grygo,Kenny Bogus,Kyle Graebner,Marques Barnes",2,1.4666666666666668,0,0,0,1,3,0,3,0,0,0,1,0,0,0,2,0,2,1,0,1,0,1,2,0,Benedictine (IL) Eagles,0,0,0,9.966666666666667,3,1,1,0,1,2
0,1,0,1,0,1,0,0,0,0,9.966666666666667,1,22,"Eric Grygo,Jaquan Phipps,Kenny Bogus,Kyle Graebner,Marques Barnes",0,0.7666666666666675,0,0,0,1,2,0,2,0,0,0,0,1,0,0,1,0,1,2,1,1,0,1,0,1,Benedictine (IL) Eagles,0,0,0,9.2,0,0,1,0,1,2
0,0,0,3,0,3,0,0,0,1,9.2,1,23,"Bryan Jacobsze,Eric Grygo,Jaquan Phipps,Kenny Bogus,Kyle Graebner",0,1.8833333333333329,1,1,0,2,2,1,1,0,0,0,1,1,3,1,1,1,0,3,3,1,0,1,-3,1,Benedictine (IL) Eagles,2,0,2,7.316666666666666,1,2,1,0,1,2
2,0,5,7,2,5,12,9,3,2,7.316666666666666,1,24,"Bryan Jacobsze,Eric Grygo,Kenny Bogus,Kyle Graebner,Kyle Hornacek",14,7.316666666666666,1,0,0,4,12,2,10,2,2,0,8,4,7,0,3,1,2,8,2,9,1,8,0,0,Benedictine (IL) Eagles,2,1,1,0.0,6,0,5,1,4,2
