Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
0,0,4,6,1,5,1,1,0,0,20.0,1,1,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Max Hisatake,Milos Dugalic",3,3.8500000000000014,0,2,1,5,7,3,4,0,0,0,1,0,6,2,2,0,2,5,1,5,3,2,-3,1,Illinois Tech Scarlet Hawks,1,0,1,16.15,4,2,5,1,4,1
0,0,2,4,2,2,1,0,1,0,16.15,1,2,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Max Hisatake,Parker Joncus",4,1.8999999999999986,1,1,1,1,6,2,4,0,0,0,1,2,5,0,5,1,4,3,0,1,1,0,-1,0,Illinois Tech Scarlet Hawks,0,0,0,14.25,3,1,4,2,2,1
0,0,0,0,0,0,0,0,0,1,14.25,1,3,"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Parker Joncus,Ricardo Whitehead",0,1.2833333333333332,0,1,0,0,2,1,1,0,0,0,1,0,2,0,1,0,1,0,0,1,1,0,-2,0,Illinois Tech Scarlet Hawks,0,0,0,12.966666666666667,0,2,0,0,0,1
0,0,2,2,1,1,0,0,0,0,12.966666666666667,1,4,"Anthony Mosley,Capriest Gardner,Jake Bruns,Max Hisatake,Parker Joncus",3,1.7666666666666675,0,1,0,1,3,1,2,0,0,0,1,0,3,1,2,1,1,1,1,1,0,1,0,0,Illinois Tech Scarlet Hawks,1,1,0,11.2,2,1,1,0,1,1
0,1,1,2,0,2,0,0,0,0,11.2,1,5,"Anthony Mosley,Capriest Gardner,Jake Bruns,Jake Digiorgio,Parker Joncus",0,0.8666666666666654,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,0,0,Illinois Tech Scarlet Hawks,1,0,1,10.333333333333334,1,0,1,0,1,1
0,0,2,3,1,2,0,0,0,1,10.333333333333334,1,6,"Ahmad Muhammad,Anthony Mosley,Calvin Schmitz,Jake Bruns,Jake Digiorgio",2,1.833333333333334,0,0,0,2,3,0,3,2,2,0,0,1,2,0,2,0,2,3,0,1,0,1,0,0,Illinois Tech Scarlet Hawks,0,0,0,8.5,2,0,3,1,2,1
1,0,1,6,3,3,1,0,1,1,8.5,1,7,"Ahmad Muhammad,Anthony Mosley,Calvin Schmitz,Jake Digiorgio,Max Hisatake",6,4.25,2,0,0,2,4,2,2,0,0,0,3,1,4,1,1,0,1,3,2,3,2,1,2,1,Illinois Tech Scarlet Hawks,0,0,0,4.25,3,1,6,3,3,1
0,0,1,2,1,1,0,0,0,1,4.25,1,8,"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Max Hisatake,Parker Joncus",2,1.3833333333333333,1,0,0,0,3,1,2,0,0,0,0,0,2,0,0,0,0,0,1,3,1,2,0,0,Illinois Tech Scarlet Hawks,0,0,0,2.8666666666666667,2,2,2,1,1,1
0,0,0,0,0,0,0,0,0,1,2.8666666666666667,1,9,"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Kohl Linder,Parker Joncus",0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Illinois Tech Scarlet Hawks,0,0,0,2.6166666666666667,0,0,0,0,0,1
1,1,2,4,2,2,0,0,0,0,2.6166666666666667,1,10,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Kohl Linder,Parker Joncus",4,2.6166666666666667,0,1,1,2,5,1,4,0,0,0,0,1,3,0,2,1,1,3,1,3,0,3,0,1,Illinois Tech Scarlet Hawks,0,0,0,0.0,2,0,4,2,2,1
