Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Player_Name,Pts,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm
0,0,1,1,0,1,0,0,0,0,1,1,0,Jake Digiorgio,0,0,Illinois Tech Scarlet Hawks,0,0,0,1,0,1,0,1
0,0,1,0,0,0,0,0,0,0,1,1,0,Milos Dugalic,0,0,Illinois Tech Scarlet Hawks,0,0,0,1,2,0,0,0
0,0,1,1,0,1,0,0,0,0,1,1,0,Max Hisatake,0,0,Illinois Tech Scarlet Hawks,0,0,0,1,0,1,0,1
0,0,0,1,0,1,0,0,0,0,1,1,0,Anthony Mosley,0,1,Illinois Tech Scarlet Hawks,0,0,0,0,0,1,0,1
0,0,1,3,1,2,1,1,0,0,1,1,0,Ahmad Muhammad,3,0,Illinois Tech Scarlet Hawks,1,0,1,1,0,2,1,1
0,0,1,1,1,0,1,0,1,0,1,2,1,Jake Digiorgio,2,0,Illinois Tech Scarlet Hawks,0,0,0,2,1,1,1,0
0,0,1,1,0,1,0,0,0,0,1,2,0,Max Hisatake,0,0,Illinois Tech Scarlet Hawks,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,1,2,0,Anthony Mosley,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,2,1,1,0,0,0,0,1,2,0,Ahmad Muhammad,2,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,2,1,1
0,0,0,0,0,0,0,0,0,0,1,2,0,Parker Joncus,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,3,0,Jake Digiorgio,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,3,0,Ahmad Muhammad,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,3,0,Parker Joncus,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,3,0,Ricardo Whitehead,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,3,0,Jake Bruns,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,4,0,Parker Joncus,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,1,4,0,Jake Bruns,3,0,Illinois Tech Scarlet Hawks,1,1,0,1,0,0,0,0
0,0,0,1,0,1,0,0,0,0,1,4,0,Max Hisatake,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0,1,4,0,Anthony Mosley,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,4,0,Capriest Gardner,0,0,Illinois Tech Scarlet Hawks,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,5,0,Parker Joncus,0,0,Illinois Tech Scarlet Hawks,0,0,0,1,0,0,0,0
0,0,0,1,0,1,0,0,0,0,1,5,0,Jake Bruns,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,1,0,1
0,1,0,1,0,1,0,0,0,0,1,5,0,Anthony Mosley,0,0,Illinois Tech Scarlet Hawks,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,5,0,Capriest Gardner,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,5,0,Jake Digiorgio,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,6,0,Jake Bruns,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,2,2,1,1,0,0,0,0,1,6,0,Anthony Mosley,2,0,Illinois Tech Scarlet Hawks,0,0,0,2,0,2,1,1
0,0,0,0,0,0,0,0,0,0,1,6,0,Jake Digiorgio,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,1,6,0,Ahmad Muhammad,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,1,0,1
