Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
2,0,2,5,3,2,1,1,0,1,20.0,6,1,"Andrew Fratzke,George Olalekan,Jake Jurss,Jordan Johnson,Josh Hau",8,5.0166666666666675,0,4,0,2,9,7,2,0,0,0,1,0,16,4,3,2,1,2,0,6,5,1,-8,0,Concordia (WI) Falcons,2,1,1,14.983333333333333,2,4,3,2,1,1
1,0,1,3,1,2,0,0,0,1,14.983333333333333,6,2,"Andrew Fratzke,Jake Jurss,Jordan Johnson,Josh Hau,Noah Gosse",3,1.3166666666666664,1,0,0,1,1,0,1,2,1,1,0,0,1,0,0,0,0,1,1,1,0,1,2,1,Concordia (WI) Falcons,3,1,2,13.666666666666666,2,0,0,0,0,1
2,0,1,3,2,1,0,0,0,0,13.666666666666666,6,3,"Andrew Fratzke,Jake Jurss,Jared Jurss,Jordan Johnson,Noah Gosse",5,1.5166666666666657,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,5,1,Concordia (WI) Falcons,1,1,0,12.15,1,0,2,1,1,1
1,0,0,2,1,1,0,0,0,0,12.15,6,4,"Andrew Fratzke,Jake Jurss,Jared Jurss,Joey Zietlow,Noah Gosse",3,1.4000000000000004,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,1,0,Concordia (WI) Falcons,2,1,1,10.75,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,10.75,6,5,"Jared Jurss,Joey Zietlow,Josh Hau,Keller Brandon,Noah Gosse",0,0.08333333333333393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Concordia (WI) Falcons,0,0,0,10.666666666666666,0,1,0,0,0,1
2,0,0,3,2,1,2,1,1,1,10.666666666666666,6,6,"Jared Jurss,Joey Zietlow,Jordan Johnson,Keller Brandon,Noah Gosse",5,2.416666666666666,0,1,0,2,4,3,1,0,0,0,1,0,6,0,1,0,1,2,2,3,3,0,-1,2,Concordia (WI) Falcons,1,0,1,8.25,0,1,2,2,0,1
0,0,1,8,2,6,2,0,2,0,8.25,6,7,"George Olalekan,Jared Jurss,Jordan Johnson,Keller Brandon,Noah Gosse",4,2.333333333333333,5,1,0,2,2,1,1,0,0,0,1,0,2,0,1,0,1,2,1,1,1,0,2,1,Concordia (WI) Falcons,3,0,3,5.916666666666667,6,0,5,2,3,1
0,0,1,3,3,0,0,0,0,0,5.916666666666667,6,8,"George Olalekan,Isaiah Tenette,Jake Jurss,Jordan Johnson,Keller Brandon",6,1.2666666666666666,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,1,2,1,1,4,1,Concordia (WI) Falcons,0,0,0,4.65,1,0,3,3,0,1
1,0,1,3,1,2,0,0,0,1,4.65,6,9,"Andrew Fratzke,George Olalekan,Isaiah Tenette,Jake Jurss,Jordan Johnson",2,1.3666666666666671,0,0,1,2,1,0,1,0,0,0,3,0,0,0,0,0,0,2,2,1,0,1,2,1,Concordia (WI) Falcons,0,0,0,3.283333333333333,1,0,3,1,2,1
0,1,3,4,1,3,2,2,0,1,3.283333333333333,6,10,"Andrew Fratzke,Isaiah Tenette,Jake Jurss,Jordan Johnson,Noah Gosse",4,3.283333333333333,0,0,1,3,6,0,6,0,0,0,1,2,0,0,3,0,3,5,3,3,0,3,0,3,Concordia (WI) Falcons,1,0,1,0.0,3,1,3,1,2,1
1,1,2,3,1,2,0,0,0,1,20.0,6,11,"Andrew Fratzke,George Olalekan,Jake Jurss,Jordan Johnson,Josh Hau",2,2.1999999999999993,0,2,0,2,5,2,3,0,0,0,0,0,4,1,2,0,2,2,0,3,2,1,-2,0,Concordia (WI) Falcons,0,0,0,17.8,2,1,3,1,2,2
1,0,0,7,3,4,0,0,0,0,17.8,6,12,"Andrew Fratzke,Jake Jurss,Jordan Johnson,Josh Hau,Noah Gosse",7,4.983333333333334,1,1,0,3,6,6,0,0,0,0,1,0,13,0,1,1,0,3,2,5,5,0,-6,2,Concordia (WI) Falcons,3,1,2,12.816666666666666,1,2,4,2,2,2
0,0,0,0,0,0,0,0,0,0,12.816666666666666,6,13,"Andrew Fratzke,Jared Jurss,Jordan Johnson,Josh Hau,Noah Gosse",0,0.6999999999999993,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,-2,0,Concordia (WI) Falcons,0,0,0,12.116666666666667,0,0,0,0,0,2
0,0,0,2,0,2,0,0,0,1,12.116666666666667,6,14,"Braden Persinger,Jared Jurss,Jordan Johnson,Keller Brandon,Noah Gosse",0,1.833333333333334,0,1,0,1,3,2,1,0,0,0,0,0,5,0,2,1,1,1,0,1,1,0,-5,0,Concordia (WI) Falcons,0,0,0,10.283333333333333,0,2,2,0,2,2
0,0,0,1,0,1,0,0,0,0,10.283333333333333,6,15,"Braden Persinger,Jared Jurss,Josh Hau,Keller Brandon,Noah Gosse",0,0.5333333333333332,0,0,0,1,2,2,0,0,0,0,0,0,4,0,0,0,0,1,0,2,2,0,-4,0,Concordia (WI) Falcons,1,0,1,9.75,0,0,0,0,0,2
0,0,1,1,0,1,2,1,1,0,9.75,6,16,"Andrew Fratzke,Braden Persinger,Isaiah Tenette,Josh Hau,Noah Gosse",1,0.8499999999999996,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,Concordia (WI) Falcons,0,0,0,8.9,1,0,1,0,1,2
1,1,3,3,1,2,0,0,0,0,8.9,6,17,"Andrew Fratzke,George Olalekan,Isaiah Tenette,Josh Hau,Noah Gosse",3,1.7333333333333334,1,0,1,1,3,0,3,0,0,0,1,0,0,0,1,0,1,1,0,2,0,2,3,0,Concordia (WI) Falcons,2,1,1,7.166666666666667,4,0,1,0,1,2
0,0,2,5,1,4,2,1,1,3,7.166666666666667,6,18,"Andrew Fratzke,George Olalekan,Isaiah Tenette,Jake Jurss,Josh Hau",3,3.45,1,1,0,3,3,1,2,0,0,0,1,0,2,1,1,0,1,3,1,2,1,1,1,1,Concordia (WI) Falcons,2,0,2,3.716666666666667,3,1,3,1,2,2
0,0,0,1,0,1,0,0,0,0,3.716666666666667,6,19,"Andrew Fratzke,George Olalekan,Isaiah Tenette,Jordan Johnson,Josh Hau",0,1.4833333333333334,0,2,0,1,2,2,0,0,0,0,0,0,4,1,0,0,0,1,1,2,2,0,-4,0,Concordia (WI) Falcons,0,0,0,2.2333333333333334,0,1,1,0,1,2
0,0,0,1,0,1,0,0,0,1,2.2333333333333334,6,20,"Andrew Fratzke,Isaiah Tenette,Jake Jurss,Jordan Johnson,Josh Hau",0,0.1499999999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Concordia (WI) Falcons,1,0,1,2.0833333333333335,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,1,2.0833333333333335,6,21,"Andrew Fratzke,George Olalekan,Isaiah Tenette,Jordan Johnson,Noah Gosse",0,0.3833333333333335,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Concordia (WI) Falcons,0,0,0,1.7,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,1,1.7,6,22,"Andrew Fratzke,Isaiah Tenette,Joey Zietlow,Noah Gosse",0,0.03333333333333344,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Concordia (WI) Falcons,0,0,0,1.6666666666666665,0,0,0,0,0,2
1,0,2,4,2,2,1,1,0,4,1.6666666666666665,6,23,"Andrew Fratzke,Isaiah Tenette,Jake Jurss,Jordan Johnson,Josh Hau",5,1.0999999999999999,0,0,0,2,1,1,0,10,6,4,2,1,8,0,0,0,0,3,0,1,1,0,-3,0,Concordia (WI) Falcons,2,0,2,0.5666666666666667,2,0,2,2,0,2
0,0,0,1,0,1,0,0,0,0,0.5666666666666667,6,24,"Andrew Fratzke,George Olalekan,Isaiah Tenette,Joey Zietlow,Noah Gosse",0,0.5666666666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Concordia (WI) Falcons,1,0,1,0.0,0,0,0,0,0,2
