Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Player_Name,Pts,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm
0,0,0,2,1,1,1,1,0,1,6,1,0,George Olalekan,3,0,Concordia (WI) Falcons,1,0,1,0,1,1,1,0
2,0,1,0,0,0,0,0,0,0,6,1,0,Andrew Fratzke,0,0,Concordia (WI) Falcons,0,0,0,1,3,0,0,0
0,0,1,2,2,0,0,0,0,0,6,1,0,Jake Jurss,5,0,Concordia (WI) Falcons,1,1,0,1,0,1,1,0
0,0,0,1,0,1,0,0,0,0,6,1,0,Jordan Johnson,0,0,Concordia (WI) Falcons,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,6,1,0,Josh Hau,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,6,2,0,Andrew Fratzke,0,0,Concordia (WI) Falcons,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,2,0,Jake Jurss,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,2,1,1,0,0,0,0,6,2,0,Jordan Johnson,3,0,Concordia (WI) Falcons,2,1,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0,1,6,2,0,Josh Hau,0,1,Concordia (WI) Falcons,1,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,6,2,1,Noah Gosse,0,0,Concordia (WI) Falcons,0,0,0,1,0,0,0,0
0,0,0,1,1,0,0,0,0,0,6,3,0,Andrew Fratzke,2,0,Concordia (WI) Falcons,0,0,0,0,0,1,1,0
0,0,0,2,1,1,0,0,0,0,6,3,0,Jake Jurss,3,0,Concordia (WI) Falcons,1,1,0,0,0,1,0,1
0,0,1,0,0,0,0,0,0,0,6,3,0,Jordan Johnson,0,0,Concordia (WI) Falcons,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,3,0,Noah Gosse,0,1,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,6,3,0,Jared Jurss,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,6,4,0,Andrew Fratzke,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,6,4,0,Jake Jurss,0,0,Concordia (WI) Falcons,1,0,1,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,6,4,0,Noah Gosse,3,0,Concordia (WI) Falcons,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,4,0,Jared Jurss,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,4,0,Joey Zietlow,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,5,0,Noah Gosse,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,5,0,Jared Jurss,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,5,0,Joey Zietlow,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,5,0,Keller Brandon,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,6,5,0,Josh Hau,0,0,Concordia (WI) Falcons,0,0,0,0,1,0,0,0
1,0,0,2,1,1,0,0,0,0,6,6,0,Noah Gosse,2,1,Concordia (WI) Falcons,1,0,1,0,0,1,1,0
1,0,0,1,1,0,0,0,0,0,6,6,0,Jared Jurss,2,1,Concordia (WI) Falcons,0,0,0,0,1,1,1,0
0,0,0,0,0,0,2,1,1,0,6,6,0,Joey Zietlow,1,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,6,6,0,Keller Brandon,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,6,0,Jordan Johnson,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,2,1,1,0,0,0,0,6,7,0,Noah Gosse,2,1,Concordia (WI) Falcons,1,0,1,0,0,1,1,0
0,0,0,1,0,1,0,0,0,0,6,7,0,Jared Jurss,0,0,Concordia (WI) Falcons,0,0,0,0,0,1,0,1
0,0,1,3,1,2,0,0,0,0,6,7,3,Keller Brandon,2,0,Concordia (WI) Falcons,0,0,0,4,0,3,1,2
0,0,0,2,0,2,0,0,0,0,6,7,0,Jordan Johnson,0,0,Concordia (WI) Falcons,2,0,2,0,0,0,0,0
0,0,0,0,0,0,2,0,2,0,6,7,2,George Olalekan,0,0,Concordia (WI) Falcons,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,8,0,Keller Brandon,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,1,2,2,0,0,0,0,0,6,8,0,Jordan Johnson,4,0,Concordia (WI) Falcons,0,0,0,1,0,2,2,0
0,0,0,1,1,0,0,0,0,0,6,8,0,George Olalekan,2,0,Concordia (WI) Falcons,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,6,8,0,Isaiah Tenette,0,1,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,8,0,Jake Jurss,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,6,9,0,Jordan Johnson,0,0,Concordia (WI) Falcons,0,0,0,1,0,0,0,0
0,0,0,2,1,1,0,0,0,1,6,9,0,George Olalekan,2,0,Concordia (WI) Falcons,0,0,0,0,0,2,1,1
1,0,0,1,0,1,0,0,0,0,6,9,0,Isaiah Tenette,0,1,Concordia (WI) Falcons,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,6,9,0,Jake Jurss,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,9,0,Andrew Fratzke,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,1,0,3,1,2,2,2,0,0,6,10,0,Jordan Johnson,4,0,Concordia (WI) Falcons,1,0,1,0,0,2,1,1
0,0,2,0,0,0,0,0,0,1,6,10,0,Isaiah Tenette,0,0,Concordia (WI) Falcons,0,0,0,2,1,0,0,0
0,0,0,0,0,0,0,0,0,0,6,10,0,Jake Jurss,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,1,1,0,1,0,0,0,0,6,10,0,Andrew Fratzke,0,2,Concordia (WI) Falcons,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,6,10,0,Noah Gosse,0,1,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,3,1,2,0,0,0,1,6,11,0,George Olalekan,2,0,Concordia (WI) Falcons,0,0,0,0,0,3,1,2
1,1,0,0,0,0,0,0,0,0,6,11,0,Andrew Fratzke,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,6,11,0,Jake Jurss,0,0,Concordia (WI) Falcons,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,11,0,Jordan Johnson,0,0,Concordia (WI) Falcons,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,6,11,0,Josh Hau,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,2,2,0,0,0,0,0,6,12,0,Andrew Fratzke,4,0,Concordia (WI) Falcons,0,0,0,0,2,2,2,0
1,0,0,0,0,0,0,0,0,0,6,12,0,Jake Jurss,0,1,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,6,12,0,Jordan Johnson,0,0,Concordia (WI) Falcons,1,0,1,0,0,0,0,0
0,0,0,3,1,2,0,0,0,0,6,12,1,Josh Hau,3,0,Concordia (WI) Falcons,1,1,0,1,0,2,0,2
0,0,0,1,0,1,0,0,0,0,6,12,0,Noah Gosse,0,1,Concordia (WI) Falcons,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,13,0,Andrew Fratzke,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,13,0,Jordan Johnson,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,13,0,Josh Hau,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,13,0,Noah Gosse,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,13,0,Jared Jurss,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,2,0,2,0,0,0,0,6,14,0,Jordan Johnson,0,0,Concordia (WI) Falcons,0,0,0,0,0,2,0,2
0,0,0,0,0,0,0,0,0,1,6,14,0,Noah Gosse,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,14,0,Jared Jurss,0,0,Concordia (WI) Falcons,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,6,14,0,Keller Brandon,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,14,0,Braden Persinger,0,0,Concordia (WI) Falcons,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,6,15,0,Noah Gosse,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,15,0,Jared Jurss,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,15,0,Keller Brandon,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,15,0,Braden Persinger,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,6,15,0,Josh Hau,0,0,Concordia (WI) Falcons,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,16,0,Noah Gosse,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,16,0,Braden Persinger,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,1,1,0,1,0,0,0,0,6,16,0,Josh Hau,0,0,Concordia (WI) Falcons,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,6,16,0,Andrew Fratzke,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,1,1,0,6,16,0,Isaiah Tenette,1,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,17,0,Noah Gosse,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,6,17,0,Josh Hau,3,0,Concordia (WI) Falcons,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,17,0,Andrew Fratzke,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
1,0,2,1,0,1,0,0,0,0,6,17,0,Isaiah Tenette,0,0,Concordia (WI) Falcons,0,0,0,2,0,1,0,1
0,1,1,1,0,1,0,0,0,0,6,17,1,George Olalekan,0,0,Concordia (WI) Falcons,1,0,1,2,0,0,0,0
0,0,0,1,0,1,0,0,0,1,6,18,0,Josh Hau,0,0,Concordia (WI) Falcons,1,0,1,0,0,0,0,0
0,0,0,1,0,1,2,1,1,0,6,18,1,Andrew Fratzke,1,0,Concordia (WI) Falcons,0,0,0,1,1,1,0,1
0,0,1,0,0,0,0,0,0,0,6,18,0,Isaiah Tenette,0,1,Concordia (WI) Falcons,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,18,0,George Olalekan,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,1,3,1,2,0,0,0,2,6,18,0,Jake Jurss,2,0,Concordia (WI) Falcons,1,0,1,1,0,2,1,1
0,0,0,0,0,0,0,0,0,0,6,19,0,Josh Hau,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,19,0,Andrew Fratzke,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,19,0,Isaiah Tenette,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,19,0,George Olalekan,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,6,19,0,Jordan Johnson,0,0,Concordia (WI) Falcons,0,0,0,0,1,1,0,1
0,0,0,1,0,1,0,0,0,0,6,20,0,Josh Hau,0,0,Concordia (WI) Falcons,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,20,0,Andrew Fratzke,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,20,0,Isaiah Tenette,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,20,0,Jordan Johnson,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,6,20,0,Jake Jurss,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,21,0,Andrew Fratzke,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,21,0,Isaiah Tenette,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,21,0,Jordan Johnson,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,6,21,0,George Olalekan,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,21,0,Noah Gosse,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,22,0,Andrew Fratzke,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,22,0,Isaiah Tenette,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,6,22,0,Noah Gosse,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
