Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
4,0,2,9,7,2,0,0,0,1,20.0,6,1,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Max Hisatake,Parker Joncus",16,5.0166666666666675,0,2,0,2,5,3,2,1,1,0,1,0,8,0,2,1,1,2,4,3,2,1,8,4,Illinois Tech Scarlet Hawks,3,2,1,14.983333333333333,2,0,6,5,1,1
0,0,1,1,0,1,2,1,1,0,14.983333333333333,6,2,"Anthony Mosley,Jake Digiorgio,Otis Reale,Parker Joncus,Ricardo Whitehead",1,1.3166666666666664,0,1,0,1,3,1,2,0,0,0,1,1,3,1,3,1,2,2,0,0,0,0,-2,0,Illinois Tech Scarlet Hawks,0,0,0,13.666666666666666,1,1,1,0,1,1
0,1,1,1,0,1,0,0,0,0,13.666666666666666,6,3,"Anthony Mosley,Capriest Gardner,Max Hisatake,Milos Dugalic,Otis Reale",0,1.5166666666666657,0,2,0,1,3,2,1,0,0,0,0,0,5,1,1,1,0,1,0,2,1,1,-5,0,Illinois Tech Scarlet Hawks,1,0,1,12.15,1,1,0,0,0,1
0,0,0,1,1,0,0,0,0,0,12.15,6,4,"Ahmad Muhammad,Calvin Schmitz,Max Hisatake,Milos Dugalic,Otis Reale",2,1.4000000000000004,0,1,0,0,2,1,1,0,0,0,0,0,3,0,2,1,1,0,0,0,0,0,-1,0,Illinois Tech Scarlet Hawks,0,0,0,10.75,0,1,1,1,0,1
1,0,1,2,2,0,0,0,0,1,10.75,6,5,"Ahmad Muhammad,Anthony Mosley,Calvin Schmitz,Max Hisatake,Milos Dugalic",4,1.3000000000000007,0,0,0,1,1,0,1,2,1,1,2,0,1,1,1,0,1,1,2,0,0,0,3,0,Illinois Tech Scarlet Hawks,0,0,0,9.45,1,1,2,2,0,1
0,0,0,2,1,1,0,0,0,0,9.45,6,6,"Ahmad Muhammad,Anthony Mosley,Calvin Schmitz,Max Hisatake,Parker Joncus",2,1.1999999999999993,0,2,0,0,2,2,0,0,0,0,0,0,4,1,0,0,0,0,0,2,2,0,-2,0,Illinois Tech Scarlet Hawks,1,0,1,8.25,0,1,1,1,0,1
1,0,2,2,1,1,0,0,0,1,8.25,6,7,"Ahmad Muhammad,Anthony Mosley,Cody Mattson,Jake Digiorgio,Max Hisatake",2,2.333333333333333,0,0,0,1,8,2,6,2,0,2,0,5,4,1,3,0,3,6,0,5,2,3,-2,0,Illinois Tech Scarlet Hawks,1,0,1,5.916666666666667,2,1,1,1,0,1
0,0,0,2,1,1,0,0,0,0,5.916666666666667,6,8,"Anthony Mosley,Jake Digiorgio,Max Hisatake,Milos Dugalic,Zach Parduhn",2,1.2666666666666666,0,0,0,1,3,3,0,0,0,0,0,0,6,1,0,0,0,1,0,3,3,0,-4,0,Illinois Tech Scarlet Hawks,0,0,0,4.65,0,1,2,1,1,1
0,1,1,1,0,1,0,0,0,3,4.65,6,9,"Ahmad Muhammad,Jake Digiorgio,Max Hisatake,Milos Dugalic,Zach Parduhn",0,1.2166666666666668,0,1,0,1,2,1,1,0,0,0,0,0,2,1,0,0,0,1,0,2,1,1,-2,0,Illinois Tech Scarlet Hawks,0,0,0,3.4333333333333336,1,2,1,0,1,1
0,0,2,1,0,1,0,0,0,1,3.4333333333333336,6,10,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Max Hisatake,Milos Dugalic",0,1.5000000000000002,0,0,0,1,2,0,2,2,2,0,1,0,2,2,1,0,1,1,0,1,0,1,-2,0,Illinois Tech Scarlet Hawks,1,0,1,1.9333333333333333,2,2,0,0,0,1
