Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
0,0,2,7,0,7,0,0,0,1,20.0,3,1,"Andrew Wojcik,Braquan Echols,Dennis Handy,Derek Steck,Jackson Smith",0,4.85,0,1,1,7,11,6,5,2,1,1,0,3,13,1,2,0,2,10,1,9,6,3,-13,0,Dominican (IL) Stars,4,0,4,15.15,2,2,3,0,3,1
3,0,0,4,3,1,2,1,1,2,15.15,3,2,"Antonio Amoah,Arrin Westbrook,Connor Dartt,Domenic Aiello,Isaac Moore",9,3.3166666666666664,0,0,0,1,3,2,1,0,0,0,1,1,4,1,0,0,0,2,3,3,2,1,5,3,Dominican (IL) Stars,2,2,0,11.833333333333334,0,1,2,1,1,1
0,0,2,5,2,3,0,0,0,0,11.833333333333334,3,3,"Arrin Westbrook,Connor Dartt,Dennis Handy,Domenic Aiello,Isaac Moore",4,2.366666666666667,1,0,0,2,5,1,4,0,0,0,0,1,2,0,0,0,0,3,1,5,1,4,2,0,Dominican (IL) Stars,1,0,1,9.466666666666667,3,0,4,2,2,1
0,0,0,0,0,0,0,0,0,0,9.466666666666667,3,4,"Arrin Westbrook,Dennis Handy,Domenic Aiello,Isaac Moore,Marcus Watson",0,0.9666666666666668,0,1,0,0,2,2,0,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,-4,0,Dominican (IL) Stars,0,0,0,8.5,0,1,0,0,0,1
0,0,0,4,0,4,0,0,0,2,8.5,3,5,"Dennis Handy,Domenic Aiello,Isaac Moore,Jackson Smith,Marcus Watson",0,2.0,1,1,0,1,2,2,0,0,0,0,0,0,5,0,1,1,0,1,1,1,1,0,-5,1,Dominican (IL) Stars,3,0,3,6.5,1,1,1,0,1,1
0,0,0,2,1,1,1,0,1,0,6.5,3,6,"Connor Dartt,Dennis Handy,Domenic Aiello,Isaac Moore,Jackson Smith",2,1.0166666666666666,2,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,Dominican (IL) Stars,0,0,0,5.483333333333333,2,0,2,1,1,1
2,0,0,6,3,3,0,0,0,0,5.483333333333333,3,7,"Connor Dartt,Dennis Handy,Derrick Chaney,Isaac Moore,Jackson Smith",8,3.1,0,2,0,3,3,2,1,0,0,0,2,0,4,0,0,0,0,3,3,3,2,1,4,1,Dominican (IL) Stars,3,2,1,2.3833333333333333,0,0,3,1,2,1
0,0,1,2,1,1,5,5,0,1,2.3833333333333333,3,8,"Andrew Wojcik,Antonio Amoah,Connor Dartt,Isaac Moore,Jackson Smith",7,2.0166666666666666,0,1,0,1,4,2,2,0,0,0,4,1,6,0,2,2,0,2,1,2,0,2,1,1,Dominican (IL) Stars,0,0,0,0.36666666666666664,1,1,2,1,1,1
0,0,0,1,0,1,0,0,0,1,0.36666666666666664,3,9,"Antonio Amoah,Connor Dartt,Derrick Chaney,Isaac Moore,Jackson Smith",0,0.36666666666666664,0,0,0,1,0,0,0,2,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,Dominican (IL) Stars,0,0,0,0.0,0,0,1,0,1,1
0,0,0,0,0,0,0,0,0,0,20.0,3,10,"Andrew Wojcik,Braquan Echols,Dennis Handy,Derek Steck,Jackson Smith",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dominican (IL) Stars,0,0,0,20.0,0,0,0,0,0,2
