Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
1,0,1,6,4,2,2,2,0,1,20.0,5,1,"Don Joachim,Eric Nygaard,Garrett Duffin,Jequan Pegeese,Shakur Jinad",11,4.7333333333333325,0,2,0,2,12,5,7,0,0,0,3,4,12,0,5,2,3,6,1,7,3,4,-1,0,Lakeland (WI) Muskies,1,1,0,15.266666666666667,1,1,5,3,2,1
0,1,2,4,0,4,0,0,0,1,15.266666666666667,5,2,"Anthony Guarascio,Don Joachim,Garrett Duffin,Isaac Anderson,Shakur Jinad",0,2.283333333333335,1,0,0,3,3,1,2,2,2,0,1,0,4,0,0,0,0,3,1,3,1,2,-4,0,Lakeland (WI) Muskies,2,0,2,12.983333333333333,3,1,2,0,2,1
1,0,0,2,1,1,0,0,0,0,12.983333333333333,5,3,"Anthony Guarascio,Deonte Carlton,Eric Nygaard,Jequan Pegeese,Shakur Jinad",3,1.0999999999999996,0,0,0,1,1,1,0,0,0,0,1,0,2,0,0,0,0,1,0,1,1,0,1,0,Lakeland (WI) Muskies,1,1,0,11.883333333333333,0,0,1,0,1,1
0,0,0,1,0,1,0,0,0,1,11.883333333333333,5,4,"Deonte Carlton,Don Joachim,Eric Nygaard,Jequan Pegeese,Shakur Jinad",0,1.2333333333333325,0,1,0,1,3,2,1,1,1,0,0,0,5,0,1,0,1,1,0,2,2,0,-5,0,Lakeland (WI) Muskies,0,0,0,10.65,0,1,1,0,1,1
0,0,1,1,0,1,0,0,0,0,10.65,5,5,"Deonte Carlton,Don Joachim,Garrett Duffin,Isaac Anderson,Jequan Pegeese",0,1.0500000000000007,0,0,0,1,2,0,2,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,Lakeland (WI) Muskies,0,0,0,9.6,1,1,1,0,1,1
0,0,0,1,0,1,2,1,1,0,9.6,5,6,"Don Joachim,Garrett Duffin,Isaac Anderson,Jequan Pegeese,Shakur Jinad",1,0.5499999999999989,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,2,1,1,0,1,1,1,Lakeland (WI) Muskies,0,0,0,9.05,0,0,1,0,1,1
0,0,2,7,1,6,6,3,3,2,9.05,5,7,"Deonte Carlton,Don Joachim,Garrett Duffin,Jequan Pegeese,Shakur Jinad",5,4.550000000000001,2,2,1,3,8,3,5,1,1,0,4,3,7,1,0,0,0,6,4,8,3,5,-2,1,Lakeland (WI) Muskies,2,0,2,4.5,4,0,5,1,4,1
1,0,1,3,2,1,0,0,0,1,4.5,5,8,"Deonte Carlton,Don Joachim,Garrett Duffin,Isaac Anderson,Jequan Pegeese",5,1.7833333333333332,0,0,0,1,3,2,1,0,0,0,0,0,4,0,1,0,1,1,0,2,2,0,1,0,Lakeland (WI) Muskies,2,1,1,2.716666666666667,1,0,1,1,0,1
0,1,0,4,2,2,0,0,0,0,2.716666666666667,5,9,"Anthony Guarascio,Deonte Carlton,Garrett Duffin,Isaac Anderson,Jequan Pegeese",4,2.716666666666667,0,4,0,2,6,4,2,0,0,0,0,0,9,0,2,1,1,2,0,4,3,1,0,0,Lakeland (WI) Muskies,1,0,1,0.0,0,1,3,2,1,1
3,0,4,11,4,7,8,6,2,1,20.0,5,10,"Don Joachim,Eric Nygaard,Garrett Duffin,Jequan Pegeese,Shakur Jinad",14,8.066666666666666,1,2,0,6,11,5,6,2,1,1,7,2,11,0,1,0,1,8,2,10,5,5,3,1,Lakeland (WI) Muskies,2,0,2,11.933333333333334,5,0,9,4,5,2
0,0,0,1,0,1,2,2,0,0,11.933333333333334,5,11,"Alec Vandecastle,Garrett Duffin,Isaac Anderson,Jequan Pegeese,Shakur Jinad",2,1.7333333333333343,0,1,0,1,2,2,0,0,0,0,1,0,4,1,0,0,0,1,1,2,2,0,-2,1,Lakeland (WI) Muskies,0,0,0,10.2,0,1,1,0,1,2
0,0,1,0,0,0,2,1,1,1,10.2,5,12,"Alec Vandecastle,Deonte Carlton,Don Joachim,Eric Nygaard,Garrett Duffin",1,1.3499999999999996,0,0,0,0,2,0,2,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,Lakeland (WI) Muskies,0,0,0,8.85,1,1,0,0,0,2
