Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
1,1,1,3,1,2,0,0,0,0,20.0,4,1,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Milos Dugalic,Parker Joncus",3,2.4333333333333336,0,1,0,2,5,2,3,0,0,0,1,1,4,0,0,0,0,3,0,5,2,3,-1,0,Illinois Tech Scarlet Hawks,2,1,1,17.566666666666666,1,0,1,0,1,1
1,1,3,6,2,4,0,0,0,1,17.566666666666666,4,2,"Anthony Mosley,Jake Bruns,Jake Digiorgio,Max Hisatake,Parker Joncus",4,3.4000000000000004,1,0,0,1,5,2,3,0,0,0,2,0,4,2,1,0,1,1,1,4,2,2,0,0,Illinois Tech Scarlet Hawks,0,0,0,14.166666666666666,4,2,6,2,4,1
1,0,1,2,2,0,0,0,0,1,14.166666666666666,4,3,"Anthony Mosley,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Max Hisatake",5,0.7833333333333332,0,0,0,0,1,0,1,2,2,0,0,0,2,0,0,0,0,0,0,1,0,1,3,0,Illinois Tech Scarlet Hawks,1,1,0,13.383333333333333,1,0,1,1,0,1
2,1,1,5,3,2,0,0,0,1,13.383333333333333,4,4,"Ahmad Muhammad,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Max Hisatake",7,2.033333333333333,0,0,0,2,3,1,2,0,0,0,1,1,2,0,1,0,1,3,2,2,1,1,5,2,Illinois Tech Scarlet Hawks,1,1,0,11.35,1,0,4,2,2,1
0,0,0,1,0,1,2,0,2,1,11.35,4,5,"Anthony Mosley,Calvin Schmitz,Jake Digiorgio,Max Hisatake,Zach Parduhn",0,1.9833333333333325,1,1,0,1,2,2,0,0,0,0,1,0,4,0,0,0,0,1,0,2,2,0,-4,0,Illinois Tech Scarlet Hawks,1,0,1,9.366666666666667,1,1,0,0,0,1
0,0,0,1,0,1,0,0,0,0,9.366666666666667,4,6,"Ahmad Muhammad,Anthony Mosley,Cody Mattson,Jake Digiorgio,Max Hisatake",0,0.9666666666666668,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,Illinois Tech Scarlet Hawks,0,0,0,8.4,0,0,1,0,1,1
0,0,0,4,0,4,0,0,0,1,8.4,4,7,"Ahmad Muhammad,Anthony Mosley,Cody Mattson,Max Hisatake,Ricardo Whitehead",0,2.1333333333333337,1,1,0,3,2,2,0,0,0,0,0,0,5,0,1,1,0,3,1,1,1,0,-5,1,Illinois Tech Scarlet Hawks,1,0,1,6.266666666666667,1,1,3,0,3,1
0,0,1,1,0,1,0,0,0,0,6.266666666666667,4,8,"Anthony Mosley,Jake Bruns,Jake Digiorgio,Parker Joncus,Ricardo Whitehead",0,0.18333333333333357,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Illinois Tech Scarlet Hawks,0,0,0,6.083333333333333,1,0,1,0,1,1
3,0,0,7,5,2,1,0,1,1,6.083333333333333,4,9,"Anthony Mosley,Jake Bruns,Jake Digiorgio,Milos Dugalic,Parker Joncus",11,6.033333333333333,0,5,0,3,9,6,3,0,0,0,2,2,13,1,1,1,0,5,3,8,5,3,-2,2,Illinois Tech Scarlet Hawks,3,1,2,0.05,0,1,4,4,0,1
0,0,0,1,0,1,0,0,0,0,0.05,4,10,"Anthony Mosley,Capriest Gardner,Jake Bruns,Jake Digiorgio,Parker Joncus",0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Illinois Tech Scarlet Hawks,1,0,1,0.0,0,0,0,0,0,1
0,1,2,2,0,2,2,1,1,1,20.0,4,11,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Milos Dugalic,Parker Joncus",1,1.7666666666666657,0,1,1,3,4,1,3,0,0,0,1,1,2,0,0,0,0,4,0,4,1,3,-1,0,Illinois Tech Scarlet Hawks,0,0,0,18.233333333333334,2,0,2,0,2,2
2,0,1,7,3,4,0,0,0,1,18.233333333333334,4,12,"Anthony Mosley,Jake Bruns,Jake Digiorgio,Max Hisatake,Parker Joncus",7,4.683333333333334,2,0,0,0,3,2,1,2,1,1,4,0,5,0,0,0,0,0,3,3,2,1,2,2,Illinois Tech Scarlet Hawks,3,1,2,13.55,3,2,4,2,2,2
