Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Player_Name,Pts,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm
0,0,0,1,1,0,0,0,0,0,4,1,0,Jake Digiorgio,3,0,Illinois Tech Scarlet Hawks,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,1,0,Milos Dugalic,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,4,1,0,Parker Joncus,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,1,1,1,0,1,0,0,0,0,4,1,0,Anthony Mosley,0,0,Illinois Tech Scarlet Hawks,0,0,0,1,0,1,0,1
0,0,0,1,0,1,0,0,0,0,4,1,0,Ahmad Muhammad,0,0,Illinois Tech Scarlet Hawks,1,0,1,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,4,2,1,Jake Digiorgio,2,0,Illinois Tech Scarlet Hawks,0,0,0,1,1,1,1,0
0,0,1,1,1,0,0,0,0,0,4,2,0,Parker Joncus,2,0,Illinois Tech Scarlet Hawks,0,0,0,1,0,1,1,0
1,1,1,0,0,0,0,0,0,0,4,2,0,Anthony Mosley,0,0,Illinois Tech Scarlet Hawks,0,0,0,1,1,0,0,0
0,0,0,2,0,2,0,0,0,0,4,2,0,Jake Bruns,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,2,0,2
0,0,1,2,0,2,0,0,0,1,4,2,0,Max Hisatake,0,0,Illinois Tech Scarlet Hawks,0,0,0,1,0,2,0,2
0,0,0,0,0,0,0,0,0,0,4,3,0,Jake Digiorgio,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,0,1,4,3,0,Anthony Mosley,2,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,4,3,0,Jake Bruns,3,0,Illinois Tech Scarlet Hawks,1,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,4,3,0,Max Hisatake,0,0,Illinois Tech Scarlet Hawks,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,3,0,Calvin Schmitz,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,3,2,1,0,0,0,0,4,4,0,Jake Digiorgio,5,1,Illinois Tech Scarlet Hawks,1,1,0,0,0,2,1,1
1,0,0,1,1,0,0,0,0,0,4,4,0,Jake Bruns,2,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,1,1,0
0,1,0,0,0,0,0,0,0,0,4,4,0,Max Hisatake,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,4,0,Calvin Schmitz,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
1,0,1,1,0,1,0,0,0,1,4,4,0,Ahmad Muhammad,0,1,Illinois Tech Scarlet Hawks,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,4,5,1,Jake Digiorgio,0,0,Illinois Tech Scarlet Hawks,0,0,0,1,0,0,0,0
0,0,0,0,0,0,2,0,2,0,4,5,0,Max Hisatake,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,1,4,5,0,Calvin Schmitz,0,0,Illinois Tech Scarlet Hawks,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,5,0,Anthony Mosley,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,5,0,Zach Parduhn,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,4,6,0,Jake Digiorgio,0,1,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,6,0,Max Hisatake,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,4,6,0,Anthony Mosley,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,4,6,0,Ahmad Muhammad,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,6,0,Cody Mattson,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,4,7,1,Max Hisatake,0,1,Illinois Tech Scarlet Hawks,0,0,0,1,1,0,0,0
0,0,0,2,0,2,0,0,0,0,4,7,0,Anthony Mosley,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,2,0,2
0,0,0,1,0,1,0,0,0,0,4,7,0,Ahmad Muhammad,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,1,0,1
0,0,0,1,0,1,0,0,0,0,4,7,0,Cody Mattson,0,0,Illinois Tech Scarlet Hawks,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,7,0,Ricardo Whitehead,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,4,8,0,Anthony Mosley,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,4,8,0,Ricardo Whitehead,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,8,0,Jake Bruns,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,4,8,0,Jake Digiorgio,0,0,Illinois Tech Scarlet Hawks,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,8,0,Parker Joncus,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,2,2,0,1,0,1,0,4,9,0,Anthony Mosley,4,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,2,2,0
2,0,0,0,0,0,0,0,0,0,4,9,0,Jake Bruns,0,1,Illinois Tech Scarlet Hawks,0,0,0,0,1,0,0,0
1,0,0,2,2,0,0,0,0,1,4,9,0,Jake Digiorgio,4,1,Illinois Tech Scarlet Hawks,0,0,0,0,0,2,2,0
0,0,0,2,1,1,0,0,0,0,4,9,0,Parker Joncus,3,0,Illinois Tech Scarlet Hawks,2,1,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,4,9,0,Milos Dugalic,0,0,Illinois Tech Scarlet Hawks,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,10,0,Anthony Mosley,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,10,0,Jake Bruns,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,4,10,0,Jake Digiorgio,0,0,Illinois Tech Scarlet Hawks,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,10,0,Parker Joncus,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,10,0,Capriest Gardner,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,4,11,0,Jake Digiorgio,0,0,Illinois Tech Scarlet Hawks,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,11,0,Milos Dugalic,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,1,1,1,4,11,0,Parker Joncus,1,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,1,0,1,0,1,0,0,0,0,4,11,0,Anthony Mosley,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,1,0,1
0,0,0,1,0,1,0,0,0,0,4,11,0,Ahmad Muhammad,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,1,0,1
0,0,0,2,1,1,0,0,0,1,4,12,2,Jake Digiorgio,2,0,Illinois Tech Scarlet Hawks,0,0,0,2,0,2,1,1
0,0,0,1,0,1,0,0,0,0,4,12,0,Parker Joncus,0,0,Illinois Tech Scarlet Hawks,1,0,1,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,4,12,0,Anthony Mosley,0,1,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,4,12,0,Jake Bruns,0,0,Illinois Tech Scarlet Hawks,1,0,1,0,1,0,0,0
0,0,1,3,2,1,0,0,0,0,4,12,0,Max Hisatake,5,1,Illinois Tech Scarlet Hawks,1,1,0,1,1,2,1,1
0,0,0,0,0,0,0,0,0,0,4,13,0,Anthony Mosley,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,13,2,Max Hisatake,0,0,Illinois Tech Scarlet Hawks,0,0,0,2,0,0,0,0
0,0,0,2,0,2,0,0,0,1,4,13,0,Ahmad Muhammad,0,0,Illinois Tech Scarlet Hawks,2,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,13,0,Calvin Schmitz,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,13,0,Kohl Linder,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,14,0,Anthony Mosley,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,1,4,14,0,Max Hisatake,0,0,Illinois Tech Scarlet Hawks,1,0,1,0,0,0,0,0
