Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
1,0,2,5,2,3,0,0,0,1,20.0,4,1,"Anthony Bartman,Jake Gebert,Jason Palesse,Matthew Kirmse,Travis Ballard",4,2.4333333333333336,1,1,1,1,3,1,2,0,0,0,0,0,3,0,2,1,1,1,0,1,0,1,1,0,Milwaukee School of Engineering,0,0,0,17.566666666666666,3,0,5,2,3,1
0,0,0,2,1,1,0,0,0,1,17.566666666666666,4,2,"Jake Gebert,Jason Palesse,Matthew Kirmse,Sammy Linn,Travis Ballard",2,1.0,0,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,0,0,1,Milwaukee School of Engineering,1,0,1,16.566666666666666,0,0,1,1,0,1
0,0,1,3,1,2,0,0,0,1,16.566666666666666,4,3,"Jason Palesse,Matthew Kirmse,Michael Pitrof,Sammy Linn,Travis Ballard",2,2.4000000000000004,0,0,0,2,5,1,4,0,0,0,1,1,2,0,0,0,0,3,1,5,1,4,0,1,Milwaukee School of Engineering,0,0,0,14.166666666666666,1,1,3,1,2,1
0,0,0,1,0,1,2,2,0,0,14.166666666666666,4,4,"Anthony Bartman,Dylan Hamlin,Jason Palesse,Matthew Kirmse,Michael Pitrof",2,0.7833333333333332,0,1,0,1,2,2,0,0,0,0,1,0,5,0,1,1,0,1,0,1,1,0,-3,0,Milwaukee School of Engineering,0,0,0,13.383333333333333,0,0,1,0,1,1
0,0,0,0,0,0,0,0,0,0,13.383333333333333,4,5,"Anthony Bartman,Dylan Hamlin,Josh Herzog,Matthew Kirmse,Michael Pitrof",0,0.5499999999999989,0,1,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,-2,0,Milwaukee School of Engineering,0,0,0,12.833333333333334,0,0,0,0,0,1
0,0,2,3,1,2,0,0,0,1,12.833333333333334,4,6,"Dylan Hamlin,Josh Herzog,Matthew Kirmse,Michael Pitrof,Travis Ballard",2,1.4833333333333343,0,1,1,1,4,2,2,0,0,0,0,1,5,2,1,1,0,2,0,3,1,2,-3,0,Milwaukee School of Engineering,1,0,1,11.35,2,2,2,1,1,1
1,0,0,1,1,0,0,0,0,0,11.35,4,7,"Dylan Hamlin,Jason Palesse,Josh Herzog,Michael Pitrof,Travis Ballard",2,1.2666666666666657,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,Milwaukee School of Engineering,0,0,0,10.083333333333334,0,0,1,1,0,1
0,0,1,1,1,0,0,0,0,1,10.083333333333334,4,8,"Dylan Hamlin,Jake Gebert,Jason Palesse,Michael Pitrof,Travis Ballard",2,0.7166666666666668,0,0,0,0,1,0,1,2,0,2,0,1,0,0,1,0,1,1,1,0,0,0,2,0,Milwaukee School of Engineering,0,0,0,9.366666666666667,1,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0,9.366666666666667,4,9,"Jake Gebert,Jason Palesse,Michael Pitrof,Travis Ballard,Ty Miklowski",0,0.09999999999999964,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Milwaukee School of Engineering,0,0,0,9.266666666666667,0,1,0,0,0,1
3,1,4,6,4,2,0,0,0,0,9.266666666666667,4,10,"Jake Gebert,Jason Palesse,Matthew Kirmse,Travis Ballard,Ty Miklowski",10,4.633333333333335,1,1,0,1,7,1,6,0,0,0,1,1,2,1,1,0,1,2,2,6,1,5,8,1,Milwaukee School of Engineering,2,2,0,4.633333333333333,5,2,4,2,2,1
1,0,0,2,1,1,0,0,0,0,4.633333333333333,4,11,"Bailey Mcdaniel,Jake Gebert,Matthew Kirmse,Travis Ballard,Ty Miklowski",2,1.983333333333333,0,1,0,0,3,3,0,0,0,0,1,0,7,0,1,1,0,0,0,2,2,0,-5,0,Milwaukee School of Engineering,0,0,0,2.65,0,0,2,1,1,1
2,0,3,2,2,0,0,0,0,1,2.65,4,12,"Bailey Mcdaniel,Jake Gebert,Matthew Kirmse,Sammy Linn,Travis Ballard",4,2.6,1,1,0,0,5,2,3,1,0,1,1,0,4,2,2,0,2,0,2,3,2,1,0,0,Milwaukee School of Engineering,0,0,0,0.05,4,1,2,2,0,1
0,0,0,0,0,0,0,0,0,0,0.05,4,13,"Dylan Hamlin,Jake Gebert,Jason Palesse,Matthew Kirmse,Michael Pitrof",0,0.05,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Milwaukee School of Engineering,0,0,0,0.0,0,0,0,0,0,1
