Player_ID,Uploaded_Date,Team_ID,GP,Min,SST,SSTexPts,Pts,Ast,TO,Ast_Turnover_Ratio,Stl,StlPos,Blk,TtlReb,OffReb,DefReb,FGA,FG_Made,FG_miss,FG,adjusted_FG,Two_FGA,Two_FG_Made,Two_FG_miss,Two_FG,Three_FGA,Three_FG_Made,Three_FG_miss,Three_FG,FTA,FT_Made,FT_miss,FT,AndOne,PFTkn,PFCom
1,12/23/2018,4,11,29.9,0.96,0.33,11.5,0.9,2,0.45,1.4,0.9,1.4,5.3,1.4,3.9,8.9,4.7,4.2,0.531,0.541,7.7,4.5,3.2,0.588,1.2,0.2,1,0.154,3.5,1.9,1.6,0.538,0.5,2.3,3.4
2,12/23/2018,4,11,15.6,0.76,0.19,6.6,1.1,0.8,1.33,0.5,0.3,0,1.2,0.1,1.1,5.2,2.5,2.7,0.474,0.596,2.3,1.2,1.1,0.52,2.9,1.3,1.6,0.438,0.9,0.5,0.5,0.5,0.1,0.8,1.2
3,12/23/2018,4,4,2.5,0.31,0.1,0.2,0.2,0.5,0.5,0.2,0.2,0,0.2,0,0.2,0.5,0,0.5,0,0,0.5,0,0.5,0,0,0,0,-,0.5,0.2,0.2,0.5,0,0.2,0.2
4,12/23/2018,4,11,30.2,0.67,0.18,10.9,3.3,3.6,0.9,1.4,2.1,0.1,3,0.4,2.6,10.5,4,6.5,0.379,0.461,5.2,2.3,2.9,0.439,5.4,1.7,3.6,0.322,1.6,1.2,0.5,0.722,0.2,1.6,1.7
5,12/23/2018,4,10,17.1,1.03,0.38,5.7,1.4,0.8,1.75,0.5,0.7,0.1,2.9,1.2,1.7,5.7,1.7,4,0.298,0.325,4.4,1.4,3,0.318,1.3,0.3,1,0.231,2.5,2,0.5,0.8,0.1,2,2.4
6,12/23/2018,4,2,2.5,-0.36,-0.2,0,0,0.5,0,0,0,0,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,-,0.5,0,0.5,0,0,0,0,-,0,0,1.5
7,12/23/2018,4,3,7.7,1.17,0.22,3,0.7,0.7,1,0,0,0,1,0.7,0.3,3.3,0.7,2.7,0.2,0.2,1.7,0.7,1,0.4,1.7,0,1.7,0,2,1.7,0.3,0.833,0,1.7,0.7
8,12/23/2018,4,7,7.1,0.18,0.1,1,0.7,0.4,1.67,0,0.4,0,0.1,0,0.1,1.6,0.4,1.1,0.273,0.318,0.7,0.3,0.4,0.4,0.9,0.1,0.7,0.167,0,0,0,-,0,0,1.1
9,12/23/2018,4,4,2.2,-0.72,-0.44,0,0,0.5,0,0,0,0,0,0,0,0.8,0,0.8,0,0,0.2,0,0.2,0,0.5,0,0.5,0,0,0,0,-,0,0,0.2
10,12/23/2018,4,3,2.7,1.22,0.25,1.7,0,0,-,0,0,0,0.3,0.3,0,0.7,0.7,0,1,1.25,0.3,0.3,0,1,0.3,0.3,0,1,0,0,0,-,0,0,0.3
11,12/23/2018,4,6,10.5,0.51,-0.05,4,0.3,1.5,0.22,0,0.3,0,1.5,0.3,1.2,3.5,1.3,2.2,0.381,0.5,2.2,0.5,1.7,0.231,1.3,0.8,0.5,0.625,0.5,0.5,0,1,0.2,0.7,0.8
12,12/23/2018,4,11,18.5,1.12,0.21,9.7,0.7,1.5,0.47,0.4,0.4,0.2,3.5,0.9,2.6,6.8,3.7,3.1,0.547,0.593,5.5,3.1,2.5,0.557,1.3,0.6,0.6,0.5,2.4,1.6,0.7,0.692,0,1.4,3.4
13,12/23/2018,4,1,3,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,1
14,12/23/2018,4,4,3.8,0.58,0.33,1,0.2,0.2,1,0.2,0,0,0.5,0.2,0.2,1.2,0.5,0.8,0.4,0.4,0.8,0.5,0.2,0.667,0.5,0,0.5,0,0,0,0,-,0,0,1
15,12/23/2018,4,11,23.2,0.78,0.3,6.1,1.3,1.1,1.17,0.2,0.8,0,5,1.3,3.7,5.1,2,3.1,0.393,0.455,3.1,1.4,1.7,0.441,2,0.6,1.4,0.318,1.8,1.5,0.4,0.8,0,1.6,2
16,12/23/2018,4,4,2.8,0.65,0.45,0.5,0.2,0.2,1,0,0,0,1,0.2,0.8,0.5,0.2,0.2,0.5,0.5,0.5,0.2,0.2,0.5,0,0,0,-,0,0,0,-,0,0,0
17,12/23/2018,4,11,28.9,1.21,0.28,15.4,1.6,2.1,0.78,0.9,1.3,0.2,5.5,1.5,4,12.2,5.5,6.6,0.455,0.507,9.5,4.3,5.2,0.452,2.7,1.3,1.5,0.467,3.7,3,0.7,0.805,0.3,2.5,2.5
18,12/23/2018,4,10,29.7,1.06,0.46,10.6,2.3,1.5,1.53,0.2,0.8,0.5,8.1,2.5,5.6,8.9,4,4.9,0.449,0.466,7.6,3.7,3.9,0.487,1.3,0.3,1,0.231,4.1,2.3,1.8,0.561,0.3,3.1,1.9
19,12/23/2018,4,1,1,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,1
20,12/23/2018,4,5,2.2,0.84,0.27,0.8,0,0,-,0,0,0,0.6,0,0.6,0.4,0.4,0,1,1,0.4,0.4,0,1,0,0,0,-,0,0,0,-,0,0,0.2
21,12/23/2018,4,2,2,1,1,0,0.5,0,-,0,0,0,0.5,0.5,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0
22,12/23/2018,3,8,122,0.97,0.5,34,5,3,1.67,13,2,1,24,5,19,27,12,15,0.444,0.518,14,8,6,0.571,13,4,9,0.308,7,6,1,0.857,0,4,14
