Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Pts,Stl,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,Player_ID
0,0,3,3,2,1,0,0,0,0,3,1,2,4,1,0,0,0,5,0,3,2,1,133
0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,1,0,0,0,133
0,0,0,1,0,1,0,0,0,0,3,6,1,0,0,0,0,0,1,0,1,0,1,133
0,0,1,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,1,0,0,0,0,133
0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,133
0,0,2,1,1,0,0,0,0,0,3,10,0,2,0,0,0,0,2,0,1,1,0,133
0,0,0,0,0,0,0,0,0,1,3,11,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,1,0,1,0,0,0,0,3,12,1,0,0,0,0,0,1,0,1,0,1,133
0,0,0,5,2,3,1,0,1,0,3,13,3,4,0,0,0,0,3,0,5,2,3,133
0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,133
0,0,1,1,1,0,0,0,0,0,3,15,0,2,0,0,0,0,1,0,1,1,0,133
0,0,2,0,0,0,0,0,0,1,3,20,0,0,0,0,0,0,2,0,0,0,0,133
0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,1,0,0,0,133
1,0,1,1,0,1,0,0,0,0,3,22,0,0,0,1,0,1,1,0,0,0,0,133
0,0,1,2,1,1,0,0,0,1,5,1,1,2,0,0,0,0,2,0,2,1,1,133
0,0,1,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,1,0,0,0,0,133
0,0,0,1,0,1,0,0,0,0,5,4,0,0,0,0,0,0,0,0,1,0,1,133
0,0,1,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,1,0,0,0,0,133
0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,133
0,0,1,1,0,1,0,0,0,0,5,8,1,0,0,0,0,0,2,0,1,0,1,133
0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,133
0,0,2,3,2,1,0,0,0,0,5,11,0,4,0,1,0,1,2,0,2,2,0,133
0,0,1,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,1,0,0,0,0,133
0,0,1,2,2,0,0,0,0,0,5,14,0,4,0,0,0,0,1,0,2,2,0,133
0,0,0,0,0,0,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,0,0,0,0,0,0,0,5,18,0,0,0,0,0,0,0,0,0,0,0,133
0,0,1,1,1,0,3,2,1,0,5,19,2,4,0,0,0,0,3,0,1,1,0,133
0,1,0,0,0,0,0,0,0,0,5,20,0,0,0,0,0,0,0,0,0,0,0,133
1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,133
0,0,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,133
0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,133
0,0,2,2,0,2,4,4,0,0,2,6,1,4,0,0,0,0,3,0,2,0,2,133
0,0,0,0,0,0,0,0,0,1,2,7,0,0,0,0,0,0,0,1,0,0,0,133
0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,133
