Format_ID,Uploaded_Date,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score,Category_ID,Element_ID,Player_ID
1,2018-12-23,0.19,15.5,20.3,1.31,0.99,Excellent,5.6,7.1,12.7,0.56,0.7,0.09,0.11,0.06,0.54,2,1,151
2,2018-12-23,0.08,6.8,4.3,0.63,0.87,Excellent,3.7,1.6,5.4,0.31,0.36,0.17,0.05,0.05,0.27,2,1,151
1,2018-12-23,0.23,4.1,4.8,1.18,0.84,Excellent,2,1.7,3.7,0.46,0.63,0.07,0.04,0.02,0.42,2,2,151
1,2018-12-23,0.17,2.1,3.4,1.61,0.98,Excellent,0.6,1.3,1.9,0.67,0.83,0.04,0.04,0.04,0.65,2,2,151
1,2018-12-23,0.08,0.7,0.9,1.25,-,-,0.3,0.5,0.7,0.63,0.63,0,0,0,0.63,2,2,151
2,2018-12-23,0.14,2.4,2,0.85,0.57,Good,1.5,0.7,2.2,0.33,0.42,0.04,0.08,0.08,0.35,2,2,151
1,2018-12-23,0.45,4,5.5,1.36,0.9,Excellent,1.8,2,3.8,0.52,0.66,0,0.07,0.05,0.55,2,6,151
2,2018-12-23,0.15,0.8,0.5,0.56,-,-,0.5,0.2,0.6,0.29,0.36,0.22,0,0,0.22,2,6,151
1,2018-12-23,0.02,0.2,0.4,2,-,-,0,0.1,0.1,1,1,0,0.5,0,1,2,4,151
2,2018-12-23,0.04,0.2,0.4,2,-,-,0,0.2,0.2,1,1,0,0,0,1,2,4,151
1,2018-12-23,0.25,1.6,2.5,1.5,0.99,Excellent,0.2,1,1.2,0.85,1,0.28,0.06,0.06,0.61,2,3,151
1,2018-12-23,0.09,0.4,0.5,1.25,-,-,0.1,0.1,0.2,0.5,0.5,0,0.75,0.75,0.75,2,3,151
2,2018-12-23,0.18,2.2,0.2,0.08,1,Excellent,1.5,0.1,1.5,0.06,0.06,0.29,0,0,0.04,2,3,151
1,2018-12-23,0.16,0.6,1,1.57,-,-,0.1,0.3,0.4,0.75,1,0.14,0.29,0.29,0.71,2,5,151
2,2018-12-23,0.11,0.5,0.2,0.33,-,-,0.2,0.1,0.3,0.33,0.33,0.33,0.17,0.17,0.17,2,5,151
2,2018-12-23,0.05,0.3,0.4,1.33,-,-,0.1,0.1,0.2,0.5,0.5,0,0.33,0.33,0.67,2,8,151
1,2018-12-23,0.38,0.5,0.5,0.83,-,-,0.4,0.2,0.5,0.33,0.42,0,0,0,0.33,2,7,151
1,2018-12-23,0.17,1.2,1,0.85,0.86,Excellent,0.2,0,0.2,0,0,0.39,0.46,0,0.46,2,7,151
2,2018-12-23,0.14,0.5,0.7,1.6,-,-,0.1,0.3,0.4,0.75,1,0.2,0,0,0.6,2,7,151
1,2018-12-23,0.12,10.4,11.5,1.11,0.92,Excellent,2.8,3.6,6.5,0.56,0.61,0.21,0.22,0.11,0.52,2,1,150
2,2018-12-23,0.08,6.8,5.2,0.76,0.68,Very Good,3.3,2,5.3,0.38,0.43,0.19,0.05,0.05,0.33,2,1,150
1,2018-12-23,0.11,2,2.4,1.18,0.84,Excellent,0.8,0.5,1.4,0.4,0.57,0.09,0.23,0.09,0.5,2,2,150
1,2018-12-23,0.18,2.2,2.9,1.33,0.9,Excellent,0.5,0.8,1.4,0.6,0.63,0.13,0.33,0.17,0.63,2,2,150
1,2018-12-23,0.08,0.7,1.2,1.63,-,-,0.2,0.5,0.7,0.75,0.75,0,0.25,0.25,0.75,2,2,150
2,2018-12-23,0.12,1.9,0.9,0.48,0.94,Excellent,1.4,0.4,1.7,0.21,0.24,0.1,0.05,0.05,0.19,2,2,150
1,2018-12-23,0.07,0.6,0.4,0.57,-,-,0.4,0.2,0.5,0.33,0.33,0.14,0,0,0.29,2,6,150
2,2018-12-23,0.07,0.4,0.5,1.25,-,-,0,0.2,0.2,1,1.25,0.5,0,0,0.5,2,6,150
1,2018-12-23,0.03,0.3,0.4,1.33,-,-,0,0.1,0.1,1,1,0.33,0.33,0,0.67,2,4,150
2,2018-12-23,0.06,0.3,0,0,-,-,0.2,0,0.2,0,0,0.33,0,0,0,2,4,150
1,2018-12-23,0.3,2,2.2,1.09,0.89,Excellent,0.6,0.9,1.5,0.59,0.62,0.18,0.09,0.09,0.5,2,3,150
1,2018-12-23,0.04,0.2,0.2,1,-,-,0,0,0,-,-,0.5,0.5,0,0.5,2,3,150
2,2018-12-23,0.26,3.2,2.8,0.89,0.32,Average,1.3,1.1,2.4,0.46,0.52,0.2,0.06,0.06,0.4,2,3,150
1,2018-12-23,0.23,0.9,1.2,1.3,0.96,Excellent,0.1,0.5,0.5,0.83,0.83,0.3,0.2,0.2,0.6,2,5,150
2,2018-12-23,0.11,0.5,0.5,1,-,-,0.1,0.2,0.3,0.67,0.67,0.33,0.17,0.17,0.5,2,5,150
1,2018-12-23,0.03,0.1,0.2,2,-,-,0,0,0,-,-,0,1,1,1,2,8,150
2,2018-12-23,0.03,0.2,0.3,1.5,-,-,0.1,0.1,0.2,0.5,0.75,0,0,0,0.5,2,8,150
1,2018-12-23,0.13,0.2,0.2,1,-,-,0.1,0.1,0.2,0.5,0.5,0,0,0,0.5,2,7,150
1,2018-12-23,0.17,1.2,0.5,0.39,0.35,Average,0.1,0,0.1,0,0,0.69,0.23,0,0.23,2,7,150
2,2018-12-23,0.11,0.4,0.2,0.5,-,-,0.3,0.1,0.4,0.25,0.25,0,0,0,0.25,2,7,150
1,2018-12-23,0.12,10.2,9.5,0.94,0.7,Very Good,3.2,3.8,7,0.55,0.58,0.23,0.1,0.08,0.45,2,1,152
2,2018-12-23,0.06,5.4,5.5,1.02,0.21,Below Average,2.9,1.8,4.7,0.39,0.5,0.05,0.1,0.09,0.41,2,1,152
1,2018-12-23,0.12,2.1,2,0.96,0.6,Good,1.1,0.7,1.8,0.4,0.48,0.09,0.04,0.04,0.39,2,2,152
1,2018-12-23,0.21,2.6,2.5,0.97,0.49,Average,0.6,1.2,1.8,0.65,0.65,0.28,0.07,0.07,0.48,2,2,152
1,2018-12-23,0.08,0.7,0.6,0.88,-,-,0.2,0.3,0.5,0.6,0.6,0.13,0.25,0.13,0.5,2,2,152
2,2018-12-23,0.09,1.5,1.4,0.88,0.52,Good,1.1,0.5,1.5,0.29,0.44,0,0,0,0.29,2,2,152
1,2018-12-23,0.14,1.3,2,1.57,0.98,Excellent,0.3,0.6,0.9,0.7,0.8,0.07,0.29,0.29,0.71,2,6,152
2,2018-12-23,0.15,0.8,1,1.22,-,-,0.4,0.4,0.7,0.5,0.63,0,0.11,0.11,0.56,2,6,152
1,2018-12-23,0.03,0.3,0.2,0.67,-,-,0.2,0.1,0.3,0.33,0.33,0,0,0,0.33,2,4,152
2,2018-12-23,0.06,0.3,0.4,1.33,-,-,0.1,0,0.1,0,0,0,0.67,0.67,0.67,2,4,152
