Format_ID,Uploaded_Date,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score,Category_ID,Element_ID,Team_ID
1,2018-12-23,1,83.5,82.8,0.99,0.94,Excellent,29.4,29.8,59.2,0.5,0.57,0.18,0.15,0.09,0.46,10,1,1
2,2018-12-23,1,84.1,69.8,0.83,0.76,Very Good,36,25.5,61.5,0.41,0.48,0.17,0.12,0.09,0.38,1,1,1
1,2018-12-23,0.15,12.5,14.6,1.18,0.96,Excellent,3.7,5.6,9.4,0.6,0.66,0.16,0.14,0.1,0.54,10,9,1
1,2018-12-23,0.15,12.5,14.6,1.18,0.96,Excellent,3.7,5.6,9.4,0.6,0.66,0.16,0.14,0.1,0.54,2,9,1
2,2018-12-23,0.16,13.7,11.8,0.86,0.86,Excellent,5.5,4.3,9.8,0.44,0.52,0.18,0.12,0.11,0.39,2,9,1
2,2018-12-23,0.16,13.7,11.8,0.86,0.86,Excellent,5.5,4.3,9.8,0.44,0.52,0.18,0.12,0.11,0.39,1,9,1
1,2018-12-23,0.85,71.1,68.2,0.96,0.92,Excellent,25.6,24.2,49.8,0.49,0.55,0.18,0.15,0.09,0.45,10,10,1
2,2018-12-23,0.84,70.4,58,0.82,0.68,Very Good,30.5,21.2,51.6,0.41,0.47,0.17,0.12,0.09,0.38,1,10,1
1,2018-12-23,0.03,2.2,0.5,0.21,0.01,Poor,1.9,0.2,2.1,0.09,0.11,0.04,0,0,0.08,10,11,1
2,2018-12-23,0.04,3.1,1.5,0.5,0.85,Excellent,1.9,0.6,2.5,0.25,0.29,0.12,0.06,0.06,0.24,1,11,1
1,2018-12-23,0.08,5.8,6.6,1.14,0.95,Excellent,1.5,2.5,4,0.61,0.72,0.17,0.16,0.11,0.53,10,12,1
2,2018-12-23,0.08,5.3,3.7,0.71,0.78,Very Good,2.3,1.4,3.6,0.38,0.43,0.21,0.12,0.12,0.33,1,12,1
1,2018-12-23,0.04,2.5,3,1.22,0.97,Excellent,0.6,1.1,1.7,0.63,0.74,0.15,0.15,0.04,0.56,10,13,1
2,2018-12-23,0.06,4.4,3.5,0.79,0.5,Average,2.1,1,3.1,0.32,0.37,0.15,0.17,0.15,0.38,1,13,1
1,2018-12-23,0.1,7.1,6.2,0.87,0.6,Good,3.3,2.5,5.7,0.43,0.48,0.12,0.09,0.03,0.41,10,14,1
2,2018-12-23,0.11,7.7,5.4,0.69,0.85,Excellent,3.8,1.7,5.5,0.31,0.37,0.18,0.13,0.12,0.32,1,14,1
1,2018-12-23,0.99,70.5,67.6,0.96,0.92,Excellent,25.3,24,49.3,0.49,0.55,0.18,0.15,0.09,0.45,10,44,1
1,2018-12-23,0.01,0.6,0.5,0.86,-,-,0.4,0.2,0.5,0.33,0.5,0.14,0,0,0.29,10,45,1
1,2018-12-23,0.06,4.5,5.5,1.22,0.98,Excellent,0.8,1.5,2.3,0.64,0.76,0.2,0.31,0.06,0.59,10,46,1
1,2018-12-23,0.22,18.2,17.4,0.96,0.71,Very Good,9,6,15,0.4,0.52,0.13,0.07,0.04,0.38,2,2,1
2,2018-12-23,0.2,16.6,14.1,0.85,0.7,Very Good,9.2,4.8,14,0.34,0.46,0.1,0.07,0.06,0.34,2,2,1
1,2018-12-23,0.12,9.6,11.2,1.16,0.7,Very Good,3,4.8,7.8,0.62,0.62,0.08,0.19,0.16,0.59,2,18,1
2,2018-12-23,0.07,5.5,4.9,0.9,0.92,Excellent,1.9,1.7,3.6,0.48,0.48,0.13,0.25,0.25,0.5,2,18,1
1,2018-12-23,0.11,8.8,9.7,1.1,0.85,Excellent,3.9,3.5,7.5,0.48,0.58,0.09,0.09,0.07,0.45,2,6,1
2,2018-12-23,0.06,5.4,5.6,1.05,0.21,Below Average,2.4,2.1,4.5,0.47,0.59,0.12,0.05,0.05,0.44,2,6,1
1,2018-12-23,0.1,7.9,7.1,0.9,0.67,Very Good,2.8,2.5,5.4,0.48,0.48,0.14,0.21,0.13,0.48,2,4,1
2,2018-12-23,0.06,4.8,4.4,0.91,0.33,Average,1.9,1.6,3.5,0.46,0.46,0.11,0.19,0.17,0.45,2,4,1
1,2018-12-23,0.08,6.6,6.7,1.01,0.96,Excellent,1.8,2.7,4.5,0.6,0.66,0.27,0.07,0.07,0.45,2,3,1
2,2018-12-23,0.14,12.1,10.6,0.88,0.21,Below Average,5.4,4.3,9.6,0.44,0.5,0.18,0.06,0.06,0.38,2,3,1
1,2018-12-23,0.05,4.2,3.7,0.89,0.18,Below Average,1.3,1.3,2.5,0.5,0.5,0.17,0.26,0.22,0.48,2,19,1
2,2018-12-23,0.06,5.4,5.6,1.05,0.48,Average,1.9,2.3,4.2,0.54,0.54,0.05,0.2,0.12,0.54,2,19,1
1,2018-12-23,0.05,3.9,3.6,0.93,0.85,Excellent,1.4,1.2,2.5,0.46,0.52,0.16,0.23,0.14,0.47,2,5,1
2,2018-12-23,0.06,5,3.2,0.64,0.8,Very Good,2,1.3,3.3,0.39,0.39,0.2,0.16,0.13,0.33,2,5,1
1,2018-12-23,0.04,3.3,3.1,0.94,0.47,Average,1.4,1.3,2.6,0.48,0.52,0.11,0.08,0.08,0.47,2,8,1
2,2018-12-23,0.07,5.7,5,0.87,0.65,Very Good,2.7,1.9,4.6,0.41,0.47,0.11,0.1,0.08,0.4,2,8,1
1,2018-12-23,0.02,1.5,1.5,1.06,0.87,Excellent,0.5,0.6,1.2,0.54,0.58,0.13,0.06,0.06,0.5,2,7,1
2,2018-12-23,0.04,3.3,1.8,0.56,0.87,Excellent,2.1,0.6,2.7,0.23,0.27,0.11,0.06,0.03,0.25,2,7,1
1,2018-12-23,0.09,7.1,4.1,0.58,0.8,Very Good,0.5,0.2,0.7,0.25,0.31,0.59,0.31,0.03,0.33,2,20,1
