Uploaded_Date,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score,Format_ID,Category_ID,Element_ID,Team_ID
2019-01-09,1,85.6,84.2,0.98,0.94,Excellent,34.1,30.1,64.2,0.47,0.56,0.15,0.12,0.1,0.43,1,10,1,7
2019-01-09,0.18,15.4,17.5,1.13,0.94,Excellent,6.2,6.4,12.6,0.51,0.61,0.1,0.11,0.09,0.49,1,10,9,7
2019-01-09,0.18,15.4,17.5,1.13,0.94,Excellent,6.2,6.4,12.6,0.51,0.61,0.1,0.11,0.09,0.49,1,2,9,7
2019-01-09,0.82,70.2,66.7,0.95,0.91,Excellent,27.9,23.7,51.6,0.46,0.54,0.16,0.13,0.1,0.42,1,10,10,7
2019-01-09,0.04,3.8,3.6,0.94,0.92,Excellent,1.9,1.3,3.2,0.4,0.49,0.09,0.08,0.06,0.4,1,10,11,7
2019-01-09,0.07,5.1,4.3,0.85,0.58,Good,2.3,1.5,3.8,0.4,0.47,0.14,0.13,0.13,0.38,1,10,12,7
2019-01-09,0.04,2.5,3.4,1.34,1,Excellent,0.8,1.2,2,0.61,0.75,0.14,0.11,0.11,0.54,1,10,13,7
2019-01-09,0.15,10.4,9.9,0.96,0.82,Very Good,4.3,3.4,7.6,0.44,0.51,0.13,0.15,0.13,0.45,1,10,14,7
2019-01-09,0.94,66.3,62.1,0.94,0.89,Excellent,26.4,22,48.4,0.45,0.53,0.16,0.13,0.1,0.42,1,10,44,7
2019-01-09,0.06,3.9,4.6,1.18,0.94,Excellent,1.5,1.7,3.2,0.53,0.7,0.16,0.04,0.04,0.46,1,10,45,7
2019-01-09,0.03,2.4,1.9,0.82,0.51,Good,0.9,0.6,1.4,0.4,0.53,0.27,0.15,0.03,0.33,1,10,46,7
2019-01-09,0.31,26.9,29,1.08,0.95,Excellent,12.9,9.8,22.6,0.43,0.58,0.09,0.08,0.07,0.42,1,2,2,7
2019-01-09,0.09,7.9,6.3,0.8,0.58,Good,3.4,2.4,5.7,0.41,0.42,0.14,0.16,0.15,0.4,1,2,5,7
2019-01-09,0.09,7.4,5.9,0.8,0.67,Very Good,3.4,2.1,5.5,0.39,0.43,0.17,0.11,0.1,0.37,1,2,3,7
2019-01-09,0.06,5.3,7,1.32,0.96,Excellent,1.2,2.9,4.1,0.7,0.7,0.05,0.22,0.22,0.7,1,2,18,7
2019-01-09,0.06,5.1,4.6,0.9,0.55,Good,2.5,1.8,4.3,0.42,0.53,0.14,0.01,0.01,0.35,1,2,6,7
2019-01-09,0.05,4.5,5.9,1.3,0.97,Excellent,1.1,2.1,3.3,0.65,0.65,0.05,0.27,0.22,0.67,1,2,19,7
2019-01-09,0.04,3.8,2.9,0.77,0.39,Average,1.5,1.1,2.6,0.43,0.43,0.21,0.13,0.13,0.38,1,2,4,7
2019-01-09,0.01,1.2,1.1,0.88,0.37,Average,0.6,0.4,1,0.43,0.54,0.18,0,0,0.35,1,2,8,7
2019-01-09,0.01,0.9,0.9,1,0.85,Excellent,0.5,0.4,0.9,0.42,0.54,0.08,0,0,0.39,1,2,7,7
2019-01-09,0.09,7.3,3.2,0.44,0.46,Average,0.9,0.7,1.6,0.44,0.46,0.59,0.22,0.06,0.24,1,2,20,7
2019-01-09,0.14,12.4,10.3,0.83,0.58,Good,5.6,3.6,9.2,0.4,0.44,0.12,0.16,0.14,0.4,1,3,21,7
2019-01-09,0.15,13.2,12.1,0.92,0.8,Very Good,6.1,4.5,10.6,0.43,0.51,0.14,0.08,0.07,0.4,1,3,22,7
2019-01-09,0.06,5.1,4.2,0.83,0.41,Average,2.1,1.6,3.8,0.43,0.45,0.17,0.11,0.11,0.39,1,3,23,7
2019-01-09,0.05,4.5,4,0.89,0.42,Average,2.2,1.3,3.5,0.37,0.48,0.1,0.14,0.13,0.4,1,4,24,7
2019-01-09,0.08,6.8,6.4,0.95,0.87,Excellent,2.7,2.4,5.1,0.47,0.59,0.21,0.05,0.02,0.38,1,4,25,7
2019-01-09,0.02,1.3,1.3,1,0.46,Average,0.6,0.5,1.1,0.44,0.5,0.06,0.06,0.06,0.44,1,4,26,7
2019-01-09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,27,7
2019-01-09,0.01,0.6,0.3,0.5,-,-,0.2,0.1,0.3,0.25,0.25,0.38,0.13,0.13,0.25,1,5,28,7
2019-01-09,0.55,28.5,30.1,1.06,0.89,Excellent,17.9,10.6,28.5,0.37,0.53,0,0,0,0.37,1,6,29,7
2019-01-09,0.04,1.9,2,1.08,0.95,Excellent,1.1,0.7,1.9,0.39,0.54,0,0,0,0.39,1,6,30,7
2019-01-09,0.04,2.1,1.4,0.69,0.44,Average,1.4,0.7,2.1,0.35,0.35,0,0,0,0.35,1,6,31,7
2019-01-09,0,0.2,0.1,0.67,-,-,0.1,0.1,0.2,0.33,0.33,0,0,0,0.33,1,6,32,7
2019-01-09,0.36,18.4,23.4,1.27,0.92,Excellent,7.2,11.2,18.4,0.61,0.61,0,0.07,0.07,0.61,1,6,33,7
2019-01-09,0.05,2.6,2.4,0.92,0.43,Average,1.5,1.1,2.6,0.43,0.43,0,0.05,0.05,0.43,1,6,34,7
2019-01-09,0,0.1,0,0,-,-,0.1,0,0.1,0,0,0,0,0,0,1,6,35,7
2019-01-09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,36,7
2019-01-09,0.41,21,24.4,1.16,0.89,Excellent,12.8,8.2,21,0.39,0.58,0,0,0,0.39,1,7,37,7
