team_name,format_name,category_name,element_name,format_id,category_id,element_id,team_id,uploaded_date,percentage_time,poss_per_game,points,ppp,rank,rating,fg_miss,fg_made,fga,fg,adjusted_fg,percent_turnover,percent_ft,percent_shooting_foul,percent_score
Rockford Regents,Offensive           ,Overall Offense                                   ,Press Offense                                     ,1,10,46,4,2018-12-23,0.06,4.9,4,0.82,0.52,Good                          ,2.1,1.1,3.2,0.34,0.4,0.17,0.19,0.06,0.41
Benedictine (IL) Eagles,Offensive           ,Overall Offense                                   ,Press Offense                                     ,1,10,46,6,2018-12-23,0.07,4.8,2.8,0.58,0.1,Poor                          ,1.5,1,2.5,0.39,0.46,0.4,0.08,0.02,0.26
Aurora University,Offensive           ,Overall Offense                                   ,Against Man                                       ,1,10,44,7,2019-01-09,0.94,66.3,62.1,0.94,0.89,Excellent                     ,26.4,22,48.4,0.45,0.53,0.16,0.13,0.1,0.42
Dominican (IL) Stars,Defensive           ,Overall Defense                                   ,Man Defense                                       ,2,1,15,9,2018-12-23,0.93,67.4,61.5,0.91,0.19,Below Average                 ,25.9,22.5,48.5,0.47,0.52,0.17,0.14,0.1,0.43
Concordia (Chicago) Cougars,Offensive           ,Overall Offense                                   ,Overall                                           ,1,10,1,11,2019-01-09,1,98.2,86.5,0.88,0.58,Good                          ,40.9,31.6,72.5,0.44,0.49,0.16,0.13,0.1,0.41
Benedictine (IL) Eagles,Offensive           ,Overall Offense                                   ,Out of Bounds (End)                               ,1,10,12,6,2019-01-09,0.07,5.3,4.2,0.8,0.43,Average                       ,2.5,1.7,4.2,0.41,0.44,0.14,0.09,0.06,0.37
Benedictine (IL) Eagles,Offensive           ,Overall Offense                                   ,Overall                                           ,1,10,1,6,2019-01-09,1,81.8,71.1,0.87,0.52,Good                          ,32.7,25.1,57.9,0.43,0.5,0.19,0.13,0.1,0.4
Aurora University,Defensive           ,Overall Defense                                   ,Zone Defense                                      ,2,1,16,7,2019-01-09,0.06,4,3.8,0.95,0.38,Average                       ,1.6,1.5,3.1,0.49,0.57,0.18,0.05,0.05,0.41
Benedictine (IL) Eagles,Offensive           ,Overall Offense                                   ,After Time Outs                                   ,1,10,14,6,2018-12-23,0.13,8.9,7.3,0.82,0.46,Average                       ,3.9,2.9,6.8,0.43,0.47,0.18,0.08,0.07,0.38
Marian University (WI) Sabres,Offensive           ,Overall Offense                                   ,Against Man                                       ,1,10,44,10,2019-01-09,0.94,64.6,51.2,0.79,0.28,Below Average                 ,29.1,18.8,47.9,0.39,0.45,0.17,0.11,0.07,0.36
Rockford Regents,Offensive           ,Overall Offense                                   ,Overall                                           ,1,10,1,4,2019-01-09,1,92.9,82.5,0.89,0.61,Good                          ,38.5,30.3,68.8,0.44,0.5,0.16,0.12,0.08,0.42
Lakeland (WI) Muskies,Offensive           ,Overall Offense                                   ,After Time Outs                                   ,1,10,14,5,2018-12-23,0.12,8.3,5.7,0.68,0.15,Below Average                 ,3.7,2,5.7,0.35,0.41,0.24,0.09,0.07,0.31
Milwaukee School of Engineering,Offensive           ,Overall Offense                                   ,Against Man                                       ,1,10,44,1,2018-12-23,0.99,70.5,67.6,0.96,0.92,Excellent                     ,25.3,24,49.3,0.49,0.55,0.18,0.15,0.09,0.45
Milwaukee School of Engineering,Defensive           ,Overall Defense                                   ,Short Shot Clock <4 Seconds                       ,2,1,11,1,2019-01-09,0.04,3,1.5,0.49,0.88,Excellent                     ,1.9,0.6,2.5,0.24,0.27,0.1,0.05,0.05,0.23
Dominican (IL) Stars,Defensive           ,Overall Defense                                   ,After Time Outs                                   ,2,1,14,9,2018-12-23,0.11,7.8,8.3,1.06,0.07,Poor                          ,2.2,2.8,5,0.56,0.64,0.2,0.17,0.15,0.52
Dominican (IL) Stars,Defensive           ,Overall Defense                                   ,Overall Half Court                                ,2,1,10,9,2018-12-23,0.8,72.2,66.5,0.92,0.16,Below Average                 ,27.5,24.5,52,0.47,0.53,0.17,0.13,0.1,0.43
Wisconsin Lutheran Warriors,Offensive           ,Overall Offense                                   ,Out of Bounds (End)                               ,1,10,12,2,2019-01-09,0.08,5.7,5.7,1,0.86,Excellent                     ,2.3,2.1,4.3,0.48,0.55,0.15,0.13,0.13,0.44
Illinois Tech Scarlet Hawks,Defensive           ,Overall Defense                                   ,Short Shot Clock <4 Seconds                       ,2,1,11,12,2019-01-09,0.03,2.5,0.7,0.29,0.99,Excellent                     ,2,0.3,2.3,0.12,0.16,0.11,0,0,0.11
Edgewood College (WI) Eagles,Defensive           ,Overall Defense                                   ,After Time Outs                                   ,2,1,14,8,2019-01-09,0.13,8.5,8.7,1.03,0.06,Poor                          ,3.6,3.6,7.2,0.5,0.55,0.11,0.07,0.05,0.46
Edgewood College (WI) Eagles,Offensive           ,Overall Offense                                   ,Short Shot Clock <4 Seconds                       ,1,10,11,8,2018-12-23,0.04,3.4,3.1,0.92,0.87,Excellent                     ,1.4,0.9,2.3,0.4,0.52,0.22,0.11,0.11,0.38
Milwaukee School of Engineering,Offensive           ,Overall Offense                                   ,Press Offense                                     ,1,10,46,1,2018-12-23,0.06,4.5,5.5,1.22,0.98,Excellent                     ,0.8,1.5,2.3,0.64,0.76,0.2,0.31,0.06,0.59
