Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Player_Name,Pts,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm
1,0,1,3,1,2,0,0,0,0,13,1,0,Kenny Bogus,3,0,Benedictine (IL) Eagles,2,1,1,1,0,1,0,1
0,0,0,3,2,1,0,0,0,0,13,1,1,Eric Grygo,4,0,Benedictine (IL) Eagles,0,0,0,1,0,3,2,1
0,0,1,1,0,1,0,0,0,2,13,1,0,Bryan Jacobsze,0,0,Benedictine (IL) Eagles,1,0,1,1,0,0,0,0
1,0,0,1,0,1,0,0,0,1,13,1,0,Michael Johnson,0,0,Benedictine (IL) Eagles,0,0,0,0,0,1,0,1
1,0,0,2,1,1,0,0,0,0,13,1,0,Kyle Graebner,3,0,Benedictine (IL) Eagles,1,1,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0,13,2,0,Kenny Bogus,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,1,1,0,13,2,0,Eric Grygo,1,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,13,2,0,Hayden Helfrich,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,13,2,0,Carl Singletary,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,13,2,0,Collin Mergl,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,1,2,0,2,0,0,0,0,13,3,0,Kenny Bogus,0,1,Benedictine (IL) Eagles,1,0,1,1,0,1,0,1
0,0,1,2,1,1,0,0,0,1,13,3,0,Hayden Helfrich,2,0,Benedictine (IL) Eagles,0,0,0,1,1,2,1,1
0,0,0,4,1,3,0,0,0,2,13,3,0,Carl Singletary,2,0,Benedictine (IL) Eagles,2,0,2,0,1,2,1,1
0,0,3,1,0,1,0,0,0,1,13,3,0,Collin Mergl,0,0,Benedictine (IL) Eagles,1,0,1,3,1,0,0,0
0,0,0,0,0,0,0,0,0,0,13,3,0,Keegan Graebner,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,13,4,0,Keegan Graebner,0,0,Benedictine (IL) Eagles,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,13,4,0,Bryan Jacobsze,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,13,4,0,Michael Johnson,0,0,Benedictine (IL) Eagles,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,13,4,0,Kyle Graebner,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,1,2,1,1,0,0,0,0,13,4,0,Eric Grygo,3,0,Benedictine (IL) Eagles,2,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,13,5,0,Keegan Graebner,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,3,1,2,2,2,0,0,13,5,0,Michael Johnson,4,0,Benedictine (IL) Eagles,1,0,1,0,0,2,1,1
0,0,0,1,0,1,0,0,0,0,13,5,0,Kyle Graebner,0,0,Benedictine (IL) Eagles,1,0,1,0,0,0,0,0
0,0,2,1,0,1,0,0,0,0,13,5,0,Eric Grygo,0,0,Benedictine (IL) Eagles,0,0,0,2,0,1,0,1
0,0,0,1,0,1,0,0,0,0,13,5,0,Kenny Bogus,0,0,Benedictine (IL) Eagles,0,0,0,0,0,1,0,1
1,0,0,1,0,1,0,0,0,0,13,6,0,Kenny Bogus,0,0,Benedictine (IL) Eagles,0,0,0,0,0,1,0,1
0,0,1,1,1,0,0,0,0,0,13,6,1,Eric Grygo,2,0,Benedictine (IL) Eagles,0,0,0,2,0,1,1,0
0,0,2,3,3,0,0,0,0,1,13,6,0,Bryan Jacobsze,6,0,Benedictine (IL) Eagles,0,0,0,2,0,3,3,0
0,0,1,2,0,2,0,0,0,1,13,6,1,Michael Johnson,0,0,Benedictine (IL) Eagles,0,0,0,2,1,2,0,2
0,0,0,1,0,1,0,0,0,0,13,6,0,Kyle Graebner,0,0,Benedictine (IL) Eagles,1,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,13,7,0,Kenny Bogus,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,13,7,0,Eric Grygo,0,1,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,2,1,1,0,0,0,0,13,7,0,Bryan Jacobsze,2,0,Benedictine (IL) Eagles,1,0,1,0,1,1,1,0
1,0,0,0,0,0,0,0,0,0,13,7,0,Kyle Graebner,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,2,0,0,13,7,0,Keegan Graebner,2,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,13,8,0,Kenny Bogus,0,0,Benedictine (IL) Eagles,0,0,0,1,0,0,0,0
1,0,0,1,1,0,0,0,0,0,13,8,0,Eric Grygo,2,0,Benedictine (IL) Eagles,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,1,13,8,0,Bryan Jacobsze,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,13,8,0,Keegan Graebner,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,2,2,0,0,0,0,0,13,8,0,Carl Singletary,5,0,Benedictine (IL) Eagles,1,1,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,13,9,0,Kenny Bogus,0,1,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,2,1,1,3,1,2,1,13,9,1,Eric Grygo,3,0,Benedictine (IL) Eagles,0,0,0,1,0,2,1,1
0,0,0,0,0,0,2,2,0,0,13,9,1,Keegan Graebner,2,0,Benedictine (IL) Eagles,0,0,0,1,0,0,0,0
0,0,0,1,0,1,0,0,0,0,13,9,0,Carl Singletary,0,0,Benedictine (IL) Eagles,1,0,1,0,0,0,0,0
1,0,0,1,0,1,0,0,0,1,13,9,0,Collin Mergl,0,0,Benedictine (IL) Eagles,1,0,1,0,0,0,0,0
0,0,0,0,0,0,2,2,0,0,13,10,0,Kenny Bogus,2,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,1,13,10,0,Eric Grygo,0,0,Benedictine (IL) Eagles,0,0,0,2,0,0,0,0
0,0,0,1,0,1,0,0,0,0,13,10,0,Carl Singletary,0,0,Benedictine (IL) Eagles,1,0,1,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,13,10,0,Kyle Graebner,2,0,Benedictine (IL) Eagles,0,0,0,0,0,1,1,0
0,0,0,1,0,1,0,0,0,0,13,10,0,Michael Johnson,0,0,Benedictine (IL) Eagles,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,13,11,0,Kenny Bogus,0,0,Benedictine (IL) Eagles,0,0,0,0,1,0,0,0
0,0,2,0,0,0,0,0,0,0,13,11,0,Eric Grygo,0,0,Benedictine (IL) Eagles,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,13,11,0,Kyle Graebner,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,13,11,0,Michael Johnson,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,13,11,0,Bryan Jacobsze,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
2,0,0,4,2,2,0,0,0,0,13,12,0,Kenny Bogus,5,0,Benedictine (IL) Eagles,2,1,1,0,0,2,1,1
1,1,1,0,0,0,2,1,1,1,13,12,0,Eric Grygo,1,0,Benedictine (IL) Eagles,0,0,0,1,0,0,0,0
0,0,1,1,1,0,0,0,0,0,13,12,0,Kyle Graebner,3,0,Benedictine (IL) Eagles,1,1,0,1,0,0,0,0
0,0,0,3,2,1,2,1,1,0,13,12,0,Michael Johnson,6,1,Benedictine (IL) Eagles,2,1,1,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,13,12,1,Keegan Graebner,0,0,Benedictine (IL) Eagles,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,13,13,0,Kenny Bogus,0,0,Benedictine (IL) Eagles,0,0,0,1,0,0,0,0
0,0,0,1,0,1,0,0,0,1,13,13,0,Kyle Graebner,0,0,Benedictine (IL) Eagles,1,0,1,0,0,0,0,0
1,0,0,1,0,1,0,0,0,0,13,13,0,Michael Johnson,0,0,Benedictine (IL) Eagles,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,13,13,0,Keegan Graebner,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,1,1,0,1,0,1,0,13,13,0,Collin Mergl,3,0,Benedictine (IL) Eagles,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,13,14,0,Kyle Graebner,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,13,14,0,Michael Johnson,0,0,Benedictine (IL) Eagles,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,13,14,0,Keegan Graebner,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,13,14,0,Collin Mergl,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,13,14,0,Carl Singletary,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
