Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
0,0,1,0,0,0,0,0,0,0,20,13,1,"Calvin Schmitz,Jake Digiorgio,Milos Dugalic,Otis Reale,Parker Joncus",0,0.633333333333333,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Illinois Tech Scarlet Hawks,0,0,0,19.3666666666667,1,0,0,0,0,1
3,0,1,6,3,3,0,0,0,0,19.3666666666667,13,2,"Calvin Schmitz,Jake Bruns,Jake Digiorgio,Milos Dugalic,Parker Joncus",8,3.9,0,3,0,2,6,4,2,0,0,0,1,1,10,0,2,2,0,3,1,4,2,2,-2,0,Illinois Tech Scarlet Hawks,4,2,2,15.4666666666667,1,0,2,1,1,1
0,1,3,4,2,2,0,0,0,1,15.4666666666667,13,3,"Calvin Schmitz,Jake Digiorgio,Max Hisatake,Milos Dugalic,Otis Reale",4,2.03333333333333,2,0,0,0,3,0,3,0,0,0,2,0,0,0,2,0,2,0,0,1,0,1,4,0,Illinois Tech Scarlet Hawks,0,0,0,13.4333333333333,5,1,4,2,2,1
2,0,1,4,3,1,1,1,0,1,13.4333333333333,13,4,"Ahmad Muhammad,Calvin Schmitz,Jake Digiorgio,Max Hisatake,Otis Reale",7,1.55,0,0,0,1,2,1,1,2,1,1,2,0,3,1,1,0,1,1,1,1,1,0,4,1,Illinois Tech Scarlet Hawks,0,0,0,11.8833333333333,1,1,4,3,1,1
0,0,2,2,0,2,2,2,0,1,11.8833333333333,13,5,"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Otis Reale,Parker Joncus",2,1.33333333333333,1,0,0,1,2,0,2,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,2,0,Illinois Tech Scarlet Hawks,0,0,0,10.55,3,0,2,0,2,1
0,0,4,8,3,5,0,0,0,0,10.55,13,6,"Ahmad Muhammad,Jake Bruns,Max Hisatake,Otis Reale,Parker Joncus",6,3.41666666666667,2,0,0,3,5,1,4,0,0,0,1,0,2,0,2,0,2,3,2,3,1,2,4,1,Illinois Tech Scarlet Hawks,0,0,0,7.13333333333333,6,0,8,3,5,1
2,0,1,3,2,1,0,0,0,0,7.13333333333333,13,7,"Ahmad Muhammad,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Zach Parduhn",6,2.73333333333333,0,1,0,1,3,1,2,0,0,0,0,0,3,0,3,1,2,1,1,0,0,0,3,0,Illinois Tech Scarlet Hawks,2,2,0,4.4,1,1,1,0,1,1
0,0,2,4,1,3,0,0,0,1,4.4,13,8,"Ahmad Muhammad,Calvin Schmitz,Jake Digiorgio,Milos Dugalic,Otis Reale",2,2.9,1,0,0,2,3,1,2,2,2,0,0,0,4,0,1,0,1,2,0,2,1,1,-2,0,Illinois Tech Scarlet Hawks,1,0,1,1.5,3,2,3,1,2,1
0,0,2,2,2,0,0,0,0,0,1.5,13,9,"Ahmad Muhammad,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Milos Dugalic",4,1.5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,1,0,0,2,0,2,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,2,0,2,2,0,1
2,0,1,4,2,2,0,0,0,0,20,13,10,"Calvin Schmitz,Jake Digiorgio,Milos Dugalic,Otis Reale,Parker Joncus",6,2.98333333333333,0,0,0,2,3,2,1,0,0,0,0,0,4,0,0,0,0,2,1,3,2,1,2,0,Illinois Tech Scarlet Hawks,3,2,1,17.0166666666667,1,1,1,0,1,2
