Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
0,1,3,11,3,8,2,2,0,5,20.0,10,1,"Hassan Basbous,Jalen Meeks,Landen Gladney,Mitch Pelissier,Neil Odonnell",8,7.199999999999999,0,3,0,8,11,6,5,4,2,2,3,3,16,0,3,2,1,11,4,8,4,4,-8,0,Concordia (Chicago) Cougars,1,0,1,12.8,3,1,10,3,7,1
1,1,2,4,2,2,0,0,0,0,12.8,10,2,"Hassan Basbous,Jalen Meeks,Jamal Turner,Landen Gladney,Mitch Pelissier",4,2.616666666666667,1,1,0,1,6,2,4,0,0,0,0,2,5,0,2,1,1,3,0,4,1,3,-1,0,Concordia (Chicago) Cougars,1,0,1,10.183333333333334,3,1,3,2,1,1
0,0,0,0,0,0,2,2,0,0,10.183333333333334,10,3,"Jalen Meeks,Jamal Turner,Landen Gladney,Mitch Pelissier,Raymond Falk",2,0.3000000000000007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,Concordia (Chicago) Cougars,0,0,0,9.883333333333333,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,9.883333333333333,10,4,"Jamal Turner,Landen Gladney,Mitch Pelissier,Raymond Falk,Sawyer Concklin",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Concordia (Chicago) Cougars,0,0,0,9.383333333333333,0,1,0,0,0,1
0,0,1,1,0,1,2,1,1,0,9.383333333333333,10,5,"Jalen Meeks,Jamal Turner,Landen Gladney,Raymond Falk,Sawyer Concklin",1,0.5666666666666664,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,Concordia (Chicago) Cougars,0,0,0,8.816666666666666,2,0,1,0,1,1
0,0,1,1,0,1,0,0,0,2,8.816666666666666,10,6,"Jalen Meeks,Landen Gladney,Neil Odonnell,Raymond Falk,Sawyer Concklin",0,0.5666666666666664,0,1,1,1,1,1,0,3,2,1,0,0,4,0,0,0,0,1,0,1,1,0,-4,0,Concordia (Chicago) Cougars,0,0,0,8.25,1,0,1,0,1,1
4,1,5,10,6,4,0,0,0,2,8.25,10,7,"Jalen Meeks,Landen Gladney,Mitch Pelissier,Neil Odonnell,Sawyer Concklin",15,6.85,0,1,0,4,8,2,6,3,2,1,1,1,6,2,2,0,2,5,4,6,2,4,9,4,Concordia (Chicago) Cougars,4,3,1,1.4,5,2,6,3,3,1
1,0,0,3,2,1,0,0,0,0,1.4,10,8,"Hassan Basbous,Jamal Turner,Landen Gladney,Neil Odonnell,Sawyer Concklin",5,1.4,1,1,0,0,1,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,Concordia (Chicago) Cougars,1,1,0,0.0,1,0,2,1,1,1
0,0,0,0,0,0,0,0,0,1,20.0,10,9,"Hassan Basbous,Jalen Meeks,Landen Gladney,Mitch Pelissier,Neil Odonnell",0,0.4499999999999993,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,1,1,1,0,-2,1,Concordia (Chicago) Cougars,0,0,0,19.55,0,1,0,0,0,2
0,1,1,1,0,1,0,0,0,1,19.55,10,10,"Jalen Meeks,Landen Gladney,Mitch Pelissier,Mitch Pelissier,Neil Odonnell",0,1.3500000000000014,0,0,0,1,3,0,3,1,0,1,0,2,0,1,2,0,2,3,1,1,0,1,0,1,Concordia (Chicago) Cougars,0,0,0,18.2,1,1,1,0,1,2
