Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
2,0,6,5,3,2,2,1,1,1,20.0,10,1,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Max Hisatake,Parker Joncus",8,3.9833333333333343,0,0,1,2,6,0,6,2,2,0,2,0,2,0,1,0,1,2,0,5,0,5,6,0,Illinois Tech Scarlet Hawks,2,1,1,16.016666666666666,6,2,3,2,1,1
1,0,2,3,2,1,2,1,1,1,16.016666666666666,10,2,"Anthony Mosley,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",6,2.333333333333332,2,0,0,0,3,1,2,0,0,0,2,0,2,0,0,0,0,0,1,3,1,2,4,0,Illinois Tech Scarlet Hawks,1,1,0,13.683333333333334,4,1,2,1,1,1
0,0,0,3,1,2,0,0,0,1,13.683333333333334,10,3,"Anthony Mosley,Capriest Gardner,Jake Digiorgio,Milos Dugalic,Otis Reale",2,0.8833333333333329,1,0,0,1,2,2,0,0,0,0,1,0,4,0,0,0,0,1,0,2,2,0,-2,0,Illinois Tech Scarlet Hawks,0,0,0,12.8,1,1,3,1,2,1
1,0,1,6,2,4,0,0,0,0,12.8,10,4,"Capriest Gardner,Jake Bruns,Jake Digiorgio,Milos Dugalic,Otis Reale",5,2.616666666666667,2,1,1,2,4,2,2,0,0,0,0,1,4,0,1,0,1,3,1,3,2,1,1,0,Illinois Tech Scarlet Hawks,2,1,1,10.183333333333334,3,0,4,1,3,1
0,0,0,0,0,0,0,0,0,0,10.183333333333334,10,5,"Ahmad Muhammad,Capriest Gardner,Jake Bruns,Max Hisatake,Milos Dugalic",0,0.15000000000000036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Illinois Tech Scarlet Hawks,0,0,0,10.033333333333333,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,1,10.033333333333333,10,6,"Ahmad Muhammad,Anthony Mosley,Jake Bruns,Max Hisatake,Milos Dugalic",0,0.4499999999999993,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,-2,0,Illinois Tech Scarlet Hawks,0,0,0,9.583333333333334,0,1,0,0,0,1
1,1,2,4,1,3,3,2,1,2,9.583333333333334,10,7,"Ahmad Muhammad,Anthony Mosley,Max Hisatake,Milos Dugalic,Parker Joncus",4,2.7666666666666675,0,0,1,3,3,0,3,2,1,1,2,1,1,1,0,0,0,4,3,3,0,3,3,2,Illinois Tech Scarlet Hawks,2,0,2,6.816666666666666,2,1,2,1,1,1
1,0,1,4,2,2,0,0,0,0,6.816666666666666,10,8,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Milos Dugalic,Parker Joncus",4,2.4833333333333334,0,3,0,2,5,4,1,0,0,0,0,0,10,0,2,2,0,2,0,3,2,1,-6,0,Illinois Tech Scarlet Hawks,1,0,1,4.333333333333333,1,0,3,2,1,1
0,0,1,1,0,1,0,0,0,0,4.333333333333333,10,9,"Anthony Mosley,Calvin Schmitz,Jake Digiorgio,Otis Reale,Parker Joncus",0,1.7833333333333332,0,0,0,1,2,1,1,0,0,0,0,0,2,2,0,0,0,1,0,2,1,1,-2,0,Illinois Tech Scarlet Hawks,0,0,0,2.55,1,2,1,0,1,1
0,0,1,1,0,1,3,2,1,0,2.55,10,10,"Calvin Schmitz,Jake Bruns,Jake Digiorgio,Max Hisatake,Otis Reale",2,1.15,1,1,0,1,2,1,1,0,0,0,2,0,3,1,2,1,1,1,0,0,0,0,-1,0,Illinois Tech Scarlet Hawks,0,0,0,1.4,2,1,1,0,1,1
