Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
1,0,4,10,3,7,0,0,0,0,20.0,12,1,"Ben Seefeld,Emil Radisevic,Jake Negus,Mcclain Steffens,Sy Staver",6,4.816666666666666,2,0,3,4,7,2,5,0,0,0,0,1,4,1,2,0,2,5,3,5,2,3,2,2,Edgewood College (WI) Eagles,1,0,1,15.183333333333334,6,1,9,3,6,1
0,0,1,1,0,1,0,0,0,0,15.183333333333334,12,2,"Emil Radisevic,Jake Negus,Mcclain Steffens,Sy Staver,Tyler Lemke",0,0.7333333333333343,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,Edgewood College (WI) Eagles,1,0,1,14.45,1,1,0,0,0,1
0,0,1,1,1,0,0,0,0,0,14.45,12,3,"Jake Negus,Mcclain Steffens,Ryan Buss,Sy Staver,Tyler Lemke",2,1.1499999999999986,0,1,0,0,2,1,1,0,0,0,0,0,3,0,1,1,0,0,0,1,0,1,-1,0,Edgewood College (WI) Eagles,0,0,0,13.3,1,1,1,1,0,1
0,1,2,2,1,1,0,0,0,0,13.3,12,4,"Jacob Miller,Jake Negus,Matthew Myers,Ryan Buss,Tyler Lemke",3,1.9833333333333343,0,0,0,1,3,0,3,0,0,0,1,1,0,0,2,0,2,2,1,1,0,1,3,0,Edgewood College (WI) Eagles,1,1,0,11.316666666666666,2,0,1,0,1,1
1,0,0,5,2,3,0,0,0,0,11.316666666666666,12,5,"Avery Lyons,Ben Seefeld,Emil Radisevic,Jacob Miller,Matthew Myers",5,3.5666666666666664,0,1,0,2,4,4,0,0,0,0,0,0,8,1,0,0,0,2,1,4,4,0,-3,0,Edgewood College (WI) Eagles,2,1,1,7.75,0,2,3,1,2,1
0,0,0,2,1,1,0,0,0,0,7.75,12,6,"Avery Lyons,Ben Seefeld,Emil Radisevic,Mcclain Steffens,Sy Staver",2,1.7166666666666668,0,1,0,1,2,2,0,0,0,0,0,0,4,0,0,0,0,1,1,2,2,0,-2,0,Edgewood College (WI) Eagles,0,0,0,6.033333333333333,0,0,2,1,1,1
0,0,0,1,0,1,0,0,0,1,6.033333333333333,12,7,"Ben Seefeld,Emil Radisevic,Jake Negus,Mcclain Steffens,Sy Staver",0,0.7000000000000002,0,0,0,1,0,0,0,2,2,0,0,0,2,0,0,0,0,1,0,0,0,0,-2,0,Edgewood College (WI) Eagles,1,0,1,5.333333333333333,0,0,0,0,0,1
1,0,0,2,1,1,0,0,0,2,5.333333333333333,12,8,"Jake Negus,Mcclain Steffens,Ryan Buss,Sy Staver,Tyler Lemke",2,1.2999999999999998,1,0,0,0,0,0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,Edgewood College (WI) Eagles,0,0,0,4.033333333333333,1,0,2,1,1,1
0,0,0,2,0,2,2,2,0,1,4.033333333333333,12,9,"Jacob Miller,Jake Negus,Mcclain Steffens,Ryan Buss,Sy Staver",2,1.0499999999999998,2,1,0,0,1,1,0,0,0,0,3,0,2,0,0,0,0,0,0,1,1,0,0,0,Edgewood College (WI) Eagles,0,0,0,2.9833333333333334,2,1,2,0,2,1
1,0,1,3,2,1,2,2,0,1,2.9833333333333334,12,10,"Avery Lyons,Emil Radisevic,Jacob Miller,Jake Negus,Sy Staver",6,2.2333333333333334,0,0,1,1,2,1,1,0,0,0,1,0,2,0,0,0,0,1,3,2,1,1,4,1,Edgewood College (WI) Eagles,0,0,0,0.75,1,0,3,2,1,1
0,0,0,0,0,0,2,2,0,0,0.75,12,11,"Emil Radisevic,Jacob Miller,Jake Negus,Mcclain Steffens,Sy Staver",2,0.06666666666666665,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,Edgewood College (WI) Eagles,0,0,0,0.6833333333333333,0,0,0,0,0,1
1,0,1,1,1,0,0,0,0,0,0.6833333333333333,12,12,"Jacob Miller,Jake Negus,Mcclain Steffens,Ryan Buss,Sy Staver",3,0.6833333333333333,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Edgewood College (WI) Eagles,1,1,0,0.0,1,0,0,0,0,1
