Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
3,0,5,6,4,2,4,3,1,0,20.0,11,1,"Ahmad Muhammad,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",11,4.783333333333333,0,2,0,2,8,2,6,0,0,0,2,1,5,0,5,1,4,3,1,3,1,2,6,1,Illinois Tech Scarlet Hawks,1,0,1,15.216666666666667,5,0,5,4,1,1
1,0,0,2,2,0,0,0,0,1,15.216666666666667,11,2,"Ahmad Muhammad,Capriest Gardner,Jake Bruns,Max Hisatake,Milos Dugalic",4,1.666666666666666,0,1,0,0,2,2,0,0,0,0,0,0,4,0,0,0,0,0,2,2,2,0,0,1,Illinois Tech Scarlet Hawks,0,0,0,13.55,0,1,2,2,0,1
0,0,0,1,0,1,0,0,0,0,13.55,11,3,"Capriest Gardner,Jake Bruns,Max Hisatake,Milos Dugalic,Otis Reale",0,0.3500000000000014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Illinois Tech Scarlet Hawks,0,0,0,13.2,0,0,1,0,1,1
0,0,0,2,1,1,0,0,0,0,13.2,11,4,"Capriest Gardner,Jake Bruns,Jake Digiorgio,Milos Dugalic,Otis Reale",2,1.1499999999999986,0,0,0,1,2,2,0,0,0,0,0,0,4,0,0,0,0,1,1,2,2,0,-2,0,Illinois Tech Scarlet Hawks,0,0,0,12.05,0,0,2,1,1,1
0,0,1,1,0,1,0,0,0,0,12.05,11,5,"Calvin Schmitz,Jake Digiorgio,Milos Dugalic,Otis Reale,Parker Joncus",0,0.4666666666666668,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,Illinois Tech Scarlet Hawks,0,0,0,11.583333333333334,1,0,1,0,1,1
1,0,1,3,2,1,0,0,0,0,11.583333333333334,11,6,"Calvin Schmitz,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",4,1.9166666666666679,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0,Illinois Tech Scarlet Hawks,1,0,1,9.666666666666666,1,0,2,2,0,1
2,0,1,3,2,1,0,0,0,1,9.666666666666666,11,7,"Ahmad Muhammad,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",6,2.5999999999999996,0,1,0,1,4,2,2,2,1,1,1,0,5,1,0,0,0,1,0,4,2,2,1,0,Illinois Tech Scarlet Hawks,2,2,0,7.066666666666666,1,1,1,0,1,1
1,0,0,1,1,0,0,0,0,1,7.066666666666666,11,8,"Ahmad Muhammad,Capriest Gardner,Jake Bruns,Kohl Linder,Max Hisatake,Milos Dugalic",2,0.5333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Illinois Tech Scarlet Hawks,0,0,0,6.533333333333333,0,0,1,1,0,1
0,0,0,1,0,1,0,0,0,0,6.533333333333333,11,9,"Ahmad Muhammad,Capriest Gardner,Jake Bruns,Jake Digiorgio,Kohl Linder,Milos Dugalic",0,0.6500000000000004,0,0,0,1,2,1,1,0,0,0,0,1,2,0,0,0,0,2,1,2,1,1,-2,0,Illinois Tech Scarlet Hawks,0,0,0,5.883333333333333,0,0,1,0,1,1
0,0,0,3,0,3,0,0,0,0,5.883333333333333,11,10,"Ahmad Muhammad,Capriest Gardner,Jake Bruns,Kohl Linder,Max Hisatake,Milos Dugalic",0,1.3499999999999996,1,0,0,2,1,1,0,0,0,0,1,0,2,0,0,0,0,2,1,1,1,0,-2,0,Illinois Tech Scarlet Hawks,1,0,1,4.533333333333333,1,0,2,0,2,1
