Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
2,1,5,7,4,3,0,0,0,0,20.0,9,1,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Max Hisatake,Parker Joncus",9,6.933333333333334,1,1,0,2,10,4,6,0,0,0,1,1,9,3,5,1,4,3,0,5,3,2,0,0,Illinois Tech Scarlet Hawks,3,1,2,13.066666666666666,6,3,4,3,1,1
1,0,2,4,2,2,0,0,0,1,13.066666666666666,9,2,"Anthony Mosley,Capriest Gardner,Milos Dugalic,Otis Reale,Ricardo Whitehead",5,2.9499999999999993,0,2,0,2,4,2,2,0,0,0,0,0,5,0,2,1,1,2,0,2,1,1,0,0,Illinois Tech Scarlet Hawks,1,1,0,10.116666666666667,2,1,3,1,2,1
0,0,2,2,1,1,0,0,0,0,10.116666666666667,9,3,"Calvin Schmitz,Jake Bruns,Max Hisatake,Milos Dugalic,Otis Reale",2,1.6666666666666679,1,0,0,0,3,1,2,0,0,0,1,0,2,1,2,0,2,0,0,1,1,0,0,0,Illinois Tech Scarlet Hawks,0,0,0,8.45,3,1,2,1,1,1
0,0,0,1,0,1,0,0,0,1,8.45,9,4,"Anthony Mosley,Calvin Schmitz,Jake Bruns,Max Hisatake,Milos Dugalic",0,0.4333333333333318,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Illinois Tech Scarlet Hawks,0,0,0,8.016666666666667,0,0,1,0,1,1
0,0,0,0,0,0,0,0,0,1,8.016666666666667,9,5,"Anthony Mosley,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Max Hisatake",0,0.6166666666666671,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,Illinois Tech Scarlet Hawks,0,0,0,7.4,0,0,0,0,0,1
0,0,1,4,1,3,0,0,0,3,7.4,9,6,"Ahmad Muhammad,Anthony Mosley,Calvin Schmitz,Jake Digiorgio,Max Hisatake",2,3.0166666666666666,2,1,1,0,3,1,2,0,0,0,0,1,3,1,2,1,1,1,1,1,0,1,-1,0,Illinois Tech Scarlet Hawks,0,0,0,4.383333333333334,3,3,4,1,3,1
1,1,1,4,3,1,3,2,1,0,4.383333333333334,9,7,"Anthony Mosley,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",8,4.383333333333334,0,1,0,3,7,3,4,0,0,0,3,1,7,0,3,1,2,4,2,4,2,2,0,2,Illinois Tech Scarlet Hawks,0,0,0,0.0,1,1,4,3,1,1
1,2,4,3,1,2,2,2,0,0,20.0,9,8,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Max Hisatake,Parker Joncus",4,3.2333333333333343,1,1,0,1,5,1,4,0,0,0,1,0,2,1,1,0,1,1,0,4,1,3,2,0,Illinois Tech Scarlet Hawks,1,0,1,16.766666666666666,5,2,2,1,1,2
1,0,0,3,1,2,3,1,2,1,16.766666666666666,9,9,"Anthony Mosley,Jake Digiorgio,Max Hisatake,Milos Dugalic,Otis Reale",3,2.0166666666666657,1,2,0,2,3,3,0,0,0,0,2,0,7,0,1,1,0,2,1,2,2,0,-4,1,Illinois Tech Scarlet Hawks,0,0,0,14.75,1,1,3,1,2,2
1,0,2,2,1,1,0,0,0,1,14.75,9,10,"Jake Bruns,Kohl Linder,Max Hisatake,Milos Dugalic,Otis Reale",3,2.5,0,0,0,1,3,1,2,0,0,0,1,0,2,0,1,0,1,1,1,2,1,1,1,0,Illinois Tech Scarlet Hawks,1,1,0,12.25,2,2,1,0,1,2
1,0,2,5,3,2,2,1,1,0,12.25,9,11,"Calvin Schmitz,Jake Bruns,Jake Digiorgio,Milos Dugalic,Zach Parduhn",8,3.9000000000000004,1,3,1,1,5,3,2,0,0,0,2,0,7,1,2,1,1,1,1,3,2,1,1,0,Illinois Tech Scarlet Hawks,3,1,2,8.35,3,1,2,2,0,2
1,2,3,8,4,4,4,3,1,4,8.35,9,12,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Max Hisatake,Milos Dugalic",12,6.933333333333333,3,1,0,2,9,2,7,2,0,2,2,2,4,1,4,0,4,4,2,5,2,3,8,1,Illinois Tech Scarlet Hawks,1,1,0,1.4166666666666667,6,1,7,3,4,2
0,0,1,1,0,1,2,2,0,1,1.4166666666666667,9,13,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Milos Dugalic,Parker Joncus",2,1.4166666666666667,1,0,0,0,4,1,3,1,1,0,1,0,3,1,3,0,3,0,0,1,1,0,0,0,Illinois Tech Scarlet Hawks,1,0,1,0.0,2,2,0,0,0,2
