Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
1,0,2,10,4,6,0,0,0,1,20.0,9,1,"Scott Paulus,Tavaris Mccullough,Trentin Fouse,Tristan Van,Tyrese Pinson",9,6.933333333333334,1,2,1,5,7,4,3,0,0,0,0,1,9,0,3,1,2,6,3,4,3,1,0,3,Marian University (WI) Sabres,5,1,4,13.066666666666666,3,0,5,3,2,1
0,0,1,2,0,2,0,0,0,0,13.066666666666666,9,2,"Caleb Martin,Kelvin Jones,Tavaris Mccullough,Tyrese Pinson,Will Polczynski",0,1.416666666666666,0,0,0,2,2,1,1,0,0,0,0,0,2,0,0,0,0,2,0,2,1,1,-2,0,Marian University (WI) Sabres,1,0,1,11.65,1,0,1,0,1,1
2,0,2,5,3,2,0,0,0,1,11.65,9,3,"Caleb Martin,Kelvin Jones,Matt Shaw,Tyrese Pinson,Will Polczynski",7,3.633333333333333,0,1,0,2,5,2,3,0,0,0,2,1,5,0,1,1,0,3,2,4,1,3,2,1,Marian University (WI) Sabres,3,1,2,8.016666666666667,2,0,2,2,0,1
0,0,0,1,0,1,0,0,0,0,8.016666666666667,9,4,"Kelvin Jones,Matt Shaw,Myles Cochran,Tristan Van,Tyrese Pinson",0,0.6166666666666671,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Marian University (WI) Sabres,0,0,0,7.4,1,0,1,0,1,1
1,1,0,3,1,2,0,0,0,0,7.4,9,5,"Kelvin Jones,Myles Cochran,Tavaris Mccullough,Trentin Fouse,Tristan Van",3,3.0166666666666666,1,0,0,1,4,1,3,0,0,0,3,2,2,0,0,0,0,3,3,4,1,3,1,1,Marian University (WI) Sabres,2,1,1,4.383333333333334,1,1,1,0,1,1
1,0,0,1,1,0,0,0,0,1,4.383333333333334,9,6,"Kelvin Jones,Scott Paulus,Tavaris Mccullough,Tristan Van,Tyrese Pinson",3,0.5333333333333337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Marian University (WI) Sabres,1,1,0,3.85,0,0,0,0,0,1
0,0,2,5,2,3,0,0,0,2,3.85,9,7,"Kelvin Jones,Scott Paulus,Tavaris Mccullough,Tyrese Pinson,Will Polczynski",4,3.85,1,1,1,2,5,3,2,3,2,1,0,0,8,2,1,0,1,2,1,4,3,1,0,0,Marian University (WI) Sabres,1,0,1,0.0,3,2,4,2,2,1
0,0,1,2,0,2,0,0,0,0,20.0,9,8,"Scott Paulus,Tavaris Mccullough,Trentin Fouse,Tristan Van,Tyrese Pinson",0,1.3999999999999986,0,1,1,2,2,1,1,0,0,0,0,0,2,0,1,0,1,2,0,1,1,0,-2,0,Marian University (WI) Sabres,0,0,0,18.6,1,0,2,0,2,2
2,0,0,4,2,2,0,0,0,2,18.6,9,9,"Scott Paulus,Tavaris Mccullough,Trentin Fouse,Tyrese Pinson,Will Polczynski",5,2.4833333333333343,0,0,1,3,2,0,2,4,2,2,0,2,2,0,0,0,0,5,2,2,0,2,3,1,Marian University (WI) Sabres,2,1,1,16.116666666666667,0,0,2,1,1,2
1,0,1,2,2,0,0,0,0,1,16.116666666666667,9,10,"Myles Cochran,Tavaris Mccullough,Trentin Fouse,Tristan Van,Tyrese Pinson",4,1.3666666666666671,0,1,0,0,2,1,1,1,1,0,1,0,3,1,0,0,0,0,1,2,1,1,1,0,Marian University (WI) Sabres,0,0,0,14.75,1,1,2,2,0,2
0,0,0,1,0,1,0,0,0,1,14.75,9,11,"Kelvin Jones,Myles Cochran,Scott Paulus,Tavaris Mccullough,Tyrese Pinson",0,1.1500000000000004,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,Marian University (WI) Sabres,0,0,0,13.6,0,1,1,0,1,2
0,0,1,2,1,1,0,0,0,1,13.6,9,12,"Caleb Martin,Kelvin Jones,Tavaris Mccullough,Tyrese Pinson,Will Polczynski",2,1.666666666666666,0,1,0,1,2,1,1,0,0,0,0,0,3,0,1,1,0,1,1,1,0,1,-1,0,Marian University (WI) Sabres,1,0,1,11.933333333333334,1,1,1,1,0,2
3,1,1,5,3,2,0,0,0,1,11.933333333333334,9,13,"Caleb Martin,Kelvin Jones,Trentin Fouse,Tyrese Pinson,Will Polczynski",7,3.583333333333334,0,1,0,2,5,3,2,2,1,1,0,1,8,0,3,1,2,3,1,2,2,0,-1,1,Marian University (WI) Sabres,2,1,1,8.35,1,0,3,2,1,2
0,0,0,1,0,1,0,0,0,0,8.35,9,14,"Caleb Martin,Tavaris Mccullough,Trentin Fouse,Tristan Van,Tyrese Pinson",0,0.7166666666666668,1,0,1,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,-2,0,Marian University (WI) Sabres,0,0,0,7.633333333333333,1,0,1,0,1,2
1,0,0,4,2,2,0,0,0,1,7.633333333333333,9,15,"Tavaris Mccullough,Trentin Fouse,Tristan Van,Tyrese Pinson,Will Polczynski",4,3.666666666666666,0,1,0,2,4,2,2,2,2,0,1,2,7,0,1,1,0,4,1,3,1,2,-3,1,Marian University (WI) Sabres,2,0,2,3.966666666666667,0,1,2,2,0,2
0,0,2,4,0,4,0,0,0,1,3.966666666666667,9,16,"Kelvin Jones,Scott Paulus,Tavaris Mccullough,Tristan Van,Tyrese Pinson",0,2.3000000000000003,1,0,1,1,2,0,2,2,1,1,1,1,1,1,0,0,0,2,0,2,0,2,-1,0,Marian University (WI) Sabres,2,0,2,1.6666666666666665,3,1,2,0,2,2
0,0,0,0,0,0,2,0,2,0,1.6666666666666665,9,17,"Kelvin Jones,Scott Paulus,Tavaris Mccullough,Tyrese Pinson,Will Polczynski",0,0.24999999999999978,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,-2,0,Marian University (WI) Sabres,0,0,0,1.4166666666666667,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,1.4166666666666667,9,18,"Kelvin Jones,Myles Cochran,Scott Paulus,Tavaris Mccullough,Tyrese Pinson",0,0.5833333333333334,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,Marian University (WI) Sabres,0,0,0,0.8333333333333334,0,0,0,0,0,2
0,0,0,1,1,0,1,1,0,0,0.8333333333333334,9,19,"Caleb Martin,Kelvin Jones,Scott Paulus,Tavaris Mccullough,Tyrese Pinson",3,0.2833333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,Marian University (WI) Sabres,0,0,0,0.55,0,0,1,1,0,2
0,0,0,0,0,0,0,0,0,1,0.55,9,20,"Kelvin Jones,Myles Cochran,Scott Paulus,Tavaris Mccullough,Tyrese Pinson",0,0.033333333333333326,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,-2,0,Marian University (WI) Sabres,0,0,0,0.5166666666666667,0,0,0,0,0,2
0,0,0,1,0,1,0,0,0,0,0.5166666666666667,9,21,"Caleb Martin,Kelvin Jones,Scott Paulus,Tavaris Mccullough,Tyrese Pinson",0,0.21666666666666673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marian University (WI) Sabres,1,0,1,0.3,0,0,0,0,0,2
0,0,0,1,0,1,0,0,0,0,0.3,9,22,"Kelvin Jones,Myles Cochran,Scott Paulus,Tavaris Mccullough,Tyrese Pinson",0,0.18333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Marian University (WI) Sabres,1,0,1,0.11666666666666667,0,0,0,0,0,2
0,0,0,1,0,1,0,0,0,0,0.11666666666666667,9,23,"Caleb Martin,Kelvin Jones,Scott Paulus,Tavaris Mccullough,Tyrese Pinson",0,0.11666666666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Marian University (WI) Sabres,1,0,1,0.0,0,0,0,0,0,2
