Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Player_Name,Pts,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm
0,0,0,3,1,2,0,0,0,0,9,1,0,Scott Paulus,3,2,Marian University (WI) Sabres,3,1,2,0,0,0,0,0
0,0,0,4,2,2,0,0,0,1,9,1,0,Tristan Van,4,1,Marian University (WI) Sabres,1,0,1,0,0,3,2,1
1,0,1,1,1,0,0,0,0,0,9,1,1,Tyrese Pinson,2,0,Marian University (WI) Sabres,0,0,0,2,0,1,1,0
0,0,0,2,0,2,0,0,0,0,9,1,0,Tavaris Mccullough,0,0,Marian University (WI) Sabres,1,0,1,0,0,1,0,1
0,0,1,0,0,0,0,0,0,0,9,1,0,Trentin Fouse,0,0,Marian University (WI) Sabres,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,2,0,Tyrese Pinson,0,0,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,2,0,Tavaris Mccullough,0,0,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,9,2,0,Will Polczynski,0,0,Marian University (WI) Sabres,0,0,0,1,0,0,0,0
0,0,0,1,0,1,0,0,0,0,9,2,0,Caleb Martin,0,0,Marian University (WI) Sabres,1,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,9,2,0,Kelvin Jones,0,0,Marian University (WI) Sabres,0,0,0,0,0,1,0,1
2,0,1,1,0,1,0,0,0,0,9,3,0,Tyrese Pinson,0,0,Marian University (WI) Sabres,1,0,1,1,0,0,0,0
0,0,0,1,1,0,0,0,0,1,9,3,0,Will Polczynski,2,0,Marian University (WI) Sabres,0,0,0,0,0,1,1,0
0,0,1,0,0,0,0,0,0,0,9,3,0,Caleb Martin,0,0,Marian University (WI) Sabres,0,0,0,1,0,0,0,0
0,0,0,2,2,0,0,0,0,0,9,3,0,Kelvin Jones,5,0,Marian University (WI) Sabres,1,1,0,0,0,1,1,0
0,0,0,1,0,1,0,0,0,0,9,3,0,Matt Shaw,0,1,Marian University (WI) Sabres,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,4,1,Tyrese Pinson,0,0,Marian University (WI) Sabres,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,4,0,Kelvin Jones,0,0,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,4,0,Matt Shaw,0,0,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,9,4,0,Tristan Van,0,0,Marian University (WI) Sabres,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,9,4,0,Myles Cochran,0,0,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,9,5,1,Kelvin Jones,0,0,Marian University (WI) Sabres,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,9,5,0,Tristan Van,0,0,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,9,5,0,Myles Cochran,0,0,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,0,0,9,5,0,Tavaris Mccullough,0,1,Marian University (WI) Sabres,1,0,1,0,1,0,0,0
0,0,0,1,1,0,0,0,0,0,9,5,0,Trentin Fouse,3,0,Marian University (WI) Sabres,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,6,0,Kelvin Jones,0,0,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,9,6,0,Tristan Van,0,0,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,6,0,Tavaris Mccullough,0,0,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,6,0,Tyrese Pinson,0,0,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,9,6,0,Scott Paulus,3,0,Marian University (WI) Sabres,1,1,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,9,7,0,Kelvin Jones,2,0,Marian University (WI) Sabres,0,0,0,0,0,1,1,0
0,0,1,0,0,0,0,0,0,1,9,7,0,Tavaris Mccullough,0,0,Marian University (WI) Sabres,0,0,0,1,2,0,0,0
0,0,0,2,0,2,0,0,0,0,9,7,0,Tyrese Pinson,0,0,Marian University (WI) Sabres,0,0,0,0,0,2,0,2
0,0,1,1,0,1,0,0,0,1,9,7,0,Scott Paulus,0,0,Marian University (WI) Sabres,1,0,1,1,0,0,0,0
0,0,0,1,1,0,0,0,0,0,9,7,1,Will Polczynski,2,0,Marian University (WI) Sabres,0,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,9,8,0,Scott Paulus,0,0,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,9,8,0,Tristan Van,0,0,Marian University (WI) Sabres,0,0,0,0,0,1,0,1
0,0,1,1,0,1,0,0,0,0,9,8,0,Tyrese Pinson,0,0,Marian University (WI) Sabres,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,9,8,0,Tavaris Mccullough,0,0,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,8,0,Trentin Fouse,0,0,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,2,9,9,0,Scott Paulus,0,0,Marian University (WI) Sabres,1,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,9,9,0,Tyrese Pinson,0,0,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
1,0,0,2,1,1,0,0,0,0,9,9,0,Tavaris Mccullough,3,0,Marian University (WI) Sabres,1,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,9,9,0,Trentin Fouse,0,0,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,9,9,0,Will Polczynski,2,1,Marian University (WI) Sabres,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,9,10,0,Tyrese Pinson,0,0,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,9,10,0,Tavaris Mccullough,0,0,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,9,10,0,Trentin Fouse,2,0,Marian University (WI) Sabres,0,0,0,1,0,1,1,0
0,0,0,1,1,0,0,0,0,1,9,10,0,Tristan Van,2,0,Marian University (WI) Sabres,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,9,10,0,Myles Cochran,0,0,Marian University (WI) Sabres,0,0,0,0,1,0,0,0
0,0,0,1,0,1,0,0,0,0,9,11,0,Tyrese Pinson,0,0,Marian University (WI) Sabres,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,9,11,0,Tavaris Mccullough,0,0,Marian University (WI) Sabres,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,9,11,0,Myles Cochran,0,0,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,11,0,Kelvin Jones,0,0,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,9,11,0,Scott Paulus,0,0,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,9,12,0,Tyrese Pinson,0,0,Marian University (WI) Sabres,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,9,12,0,Tavaris Mccullough,0,0,Marian University (WI) Sabres,0,0,0,0,1,0,0,0
0,0,0,1,1,0,0,0,0,0,9,12,0,Kelvin Jones,2,0,Marian University (WI) Sabres,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,9,12,0,Will Polczynski,0,0,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,9,12,0,Caleb Martin,0,0,Marian University (WI) Sabres,1,0,1,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,9,13,0,Tyrese Pinson,0,0,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
1,1,0,1,0,1,0,0,0,0,9,13,0,Kelvin Jones,0,0,Marian University (WI) Sabres,1,0,1,0,0,0,0,0
0,0,1,2,2,0,0,0,0,1,9,13,0,Will Polczynski,4,0,Marian University (WI) Sabres,0,0,0,1,0,2,2,0
0,0,0,0,0,0,0,0,0,0,9,13,0,Caleb Martin,0,1,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
0,0,0,2,1,1,0,0,0,0,9,13,0,Trentin Fouse,3,0,Marian University (WI) Sabres,1,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,9,14,0,Tyrese Pinson,0,0,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,14,0,Caleb Martin,0,0,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,14,0,Trentin Fouse,0,0,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,14,0,Tavaris Mccullough,0,0,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,9,14,1,Tristan Van,0,0,Marian University (WI) Sabres,0,0,0,1,0,1,0,1
0,0,0,1,1,0,0,0,0,0,9,15,0,Tyrese Pinson,2,0,Marian University (WI) Sabres,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,9,15,0,Trentin Fouse,0,1,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,0,1,9,15,0,Tavaris Mccullough,0,0,Marian University (WI) Sabres,1,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,9,15,0,Tristan Van,0,0,Marian University (WI) Sabres,1,0,1,0,1,0,0,0
0,0,0,1,1,0,0,0,0,0,9,15,0,Will Polczynski,2,0,Marian University (WI) Sabres,0,0,0,0,0,1,1,0
0,0,0,1,0,1,0,0,0,0,9,16,0,Tyrese Pinson,0,0,Marian University (WI) Sabres,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,16,0,Tavaris Mccullough,0,0,Marian University (WI) Sabres,0,0,0,0,0,0,0,0
0,0,0,2,0,2,0,0,0,1,9,16,0,Tristan Van,0,0,Marian University (WI) Sabres,0,0,0,0,0,2,0,2
0,0,1,1,0,1,0,0,0,0,9,16,0,Kelvin Jones,0,0,Marian University (WI) Sabres,1,0,1,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,9,16,1,Scott Paulus,0,0,Marian University (WI) Sabres,0,0,0,2,1,0,0,0
