Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
3,0,4,10,5,5,1,1,0,1,20.0,14,1,"Calvin Schmitz,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",13,5.333333333333334,1,3,0,4,8,4,4,0,0,0,1,0,9,0,3,1,2,4,1,5,3,2,4,1,Illinois Tech Scarlet Hawks,3,2,1,14.666666666666666,5,0,7,3,4,1
0,0,0,2,1,1,0,0,0,1,14.666666666666666,14,2,"Ahmad Muhammad,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",3,0.5333333333333332,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,Illinois Tech Scarlet Hawks,1,1,0,14.133333333333333,0,0,1,0,1,1
0,0,0,0,0,0,0,0,0,0,14.133333333333333,14,3,"Ahmad Muhammad,Jake Digiorgio,Kohl Linder,Otis Reale,Parker Joncus",0,0.38333333333333286,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,-2,0,Illinois Tech Scarlet Hawks,0,0,0,13.75,0,1,0,0,0,1
0,0,0,1,0,1,0,0,0,1,13.75,14,4,"Ahmad Muhammad,Jake Digiorgio,Kohl Linder,Milos Dugalic,Otis Reale",0,0.4499999999999993,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Illinois Tech Scarlet Hawks,1,0,1,13.3,1,1,0,0,0,1
0,0,1,0,0,0,0,0,0,0,13.3,14,5,"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Kohl Linder,Milos Dugalic",0,0.6333333333333346,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Illinois Tech Scarlet Hawks,0,0,0,12.666666666666666,1,1,0,0,0,1
0,0,1,3,0,3,2,1,1,1,12.666666666666666,14,6,"Ahmad Muhammad,Jake Bruns,Kohl Linder,Max Hisatake,Milos Dugalic",1,1.5666666666666664,1,0,0,2,3,1,2,1,1,0,1,1,3,0,1,0,1,3,1,2,1,1,-2,0,Illinois Tech Scarlet Hawks,1,0,1,11.1,2,0,2,0,2,1
1,0,1,1,1,0,0,0,0,0,11.1,14,7,"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Max Hisatake,Milos Dugalic",3,1.299999999999999,0,0,0,0,3,0,3,0,0,0,0,2,0,0,0,0,0,2,0,3,0,3,3,0,Illinois Tech Scarlet Hawks,1,1,0,9.8,1,0,0,0,0,1
0,0,1,2,0,2,0,0,0,0,9.8,14,8,"Ahmad Muhammad,Cody Mattson,Jake Bruns,Jake Digiorgio,Max Hisatake",0,1.083333333333334,0,0,0,2,2,1,1,0,0,0,0,0,2,0,0,0,0,2,0,2,1,1,-2,0,Illinois Tech Scarlet Hawks,0,0,0,8.716666666666667,1,0,2,0,2,1
0,0,1,2,1,1,0,0,0,1,8.716666666666667,14,9,"Ahmad Muhammad,Cody Mattson,Jake Bruns,Jake Digiorgio,Kohl Linder",2,1.5499999999999998,0,0,0,1,2,1,1,2,2,0,0,0,4,0,0,0,0,1,0,2,1,1,-2,0,Illinois Tech Scarlet Hawks,0,0,0,7.166666666666667,1,0,2,1,1,1
0,0,1,3,1,2,0,0,0,1,7.166666666666667,14,10,"Calvin Schmitz,Jake Digiorgio,Max Hisatake,Milos Dugalic,Zach Parduhn",2,1.3500000000000005,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,1,Illinois Tech Scarlet Hawks,1,0,1,5.816666666666666,3,1,2,1,1,1
