Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
3,0,4,9,5,4,2,2,0,1,20.0,14,1,"Brandon Emerick,Jeremiah Stewart,Kevin Diemer,Kivontay Shaw,Tony Diemer",13,6.25,0,3,0,4,12,6,6,1,1,0,2,1,16,1,4,3,1,5,1,8,3,5,-3,1,Rockford Regents,3,1,2,13.75,4,1,6,4,2,1
0,0,2,4,1,3,1,1,0,1,13.75,14,2,"Brandon Emerick,Jeremiah Stewart,Kivontay Shaw,Taylor Krocker,Tony Diemer",3,2.6500000000000004,1,0,0,2,4,0,4,2,1,1,2,2,1,0,2,0,2,4,2,2,0,2,2,1,Rockford Regents,1,0,1,11.1,3,1,3,1,2,1
0,0,0,3,0,3,0,0,0,0,11.1,14,3,"Brandon Emerick,Kevin Diemer,Kivontay Shaw,Talon Hardin,Taylor Krocker",0,1.299999999999999,2,1,0,1,1,1,0,0,0,0,0,0,3,0,1,1,0,1,0,0,0,0,-3,0,Rockford Regents,0,0,0,9.8,2,0,3,0,3,1
0,0,3,5,2,3,2,2,0,0,9.8,14,4,"Kevin Diemer,Kivontay Shaw,Talon Hardin,Taylor Krocker,Will Adams",6,3.6833333333333345,0,0,0,3,7,2,5,0,0,0,1,2,4,0,1,0,1,5,1,6,2,4,2,0,Rockford Regents,1,0,1,6.116666666666666,3,0,4,2,2,1
0,0,0,2,1,1,0,0,0,0,6.116666666666666,14,5,"Brandon Emerick,Kevin Diemer,Talon Hardin,Tony Diemer,Will Adams",2,1.6833333333333327,0,1,0,1,2,2,0,0,0,0,1,0,4,1,0,0,0,1,1,2,2,0,-2,1,Rockford Regents,0,0,0,4.433333333333334,0,1,2,1,1,1
1,0,2,3,1,2,4,4,0,2,4.433333333333334,14,6,"Brandon Emerick,Jeremiah Stewart,Kevin Diemer,Tony Diemer,Will Adams",6,2.1,0,1,0,2,5,1,4,0,0,0,2,2,2,0,0,0,0,4,2,5,1,4,4,2,Rockford Regents,2,0,2,2.3333333333333335,2,1,1,1,0,1
1,1,2,3,1,2,1,0,1,3,2.3333333333333335,14,7,"Brandon Emerick,Jeremiah Stewart,Kivontay Shaw,Taylor Krocker,Tony Diemer",2,1.7666666666666668,0,0,1,3,4,2,2,3,3,0,1,0,7,0,0,0,0,3,0,4,2,2,-5,0,Rockford Regents,0,0,0,0.5666666666666667,2,0,3,1,2,1
0,0,1,1,0,1,0,0,0,2,0.5666666666666667,14,8,"Jeremiah Stewart,Kivontay Shaw,Taylor Krocker,Tony Diemer,Will Adams",0,0.5666666666666667,0,0,0,1,0,0,0,3,2,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,Rockford Regents,0,0,0,0.0,1,0,1,0,1,1
0,0,3,10,4,6,2,1,1,1,20.0,14,9,"Brandon Emerick,Jeremiah Stewart,Kevin Diemer,Kivontay Shaw,Tony Diemer",9,5.083333333333334,1,2,0,5,8,5,3,2,1,1,2,0,11,0,2,0,2,5,0,6,5,1,-2,0,Rockford Regents,3,0,3,14.916666666666666,4,0,7,4,3,2
0,1,2,4,1,3,1,0,1,1,14.916666666666666,14,10,"Jeremiah Stewart,Kevin Diemer,Kivontay Shaw,Tony Diemer,Will Adams",2,2.8666666666666654,1,0,0,2,5,2,3,2,2,0,2,1,6,1,0,0,0,3,0,5,2,3,-4,0,Rockford Regents,1,0,1,12.05,3,2,3,1,2,2
0,0,1,3,1,2,2,2,0,0,12.05,14,11,"Kevin Diemer,Kivontay Shaw,Talon Hardin,Tony Diemer,Will Adams",4,1.950000000000001,1,1,0,1,3,1,2,0,0,0,2,0,2,0,1,0,1,1,0,2,1,1,2,0,Rockford Regents,0,0,0,10.1,2,0,3,1,2,2
