Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Player_Name,Pts,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm
0,0,0,2,1,1,0,0,0,0,14,1,0,Tony Diemer,2,0,Rockford Regents,0,0,0,0,0,2,1,1
0,0,0,1,1,0,0,0,0,1,14,1,0,Kevin Diemer,3,0,Rockford Regents,1,1,0,0,0,0,0,0
0,0,0,3,2,1,0,0,0,0,14,1,0,Jeremiah Stewart,4,1,Rockford Regents,0,0,0,0,0,3,2,1
2,0,1,1,0,1,2,2,0,0,14,1,0,Brandon Emerick,2,0,Rockford Regents,1,0,1,1,0,0,0,0
1,0,3,2,1,1,0,0,0,0,14,1,0,Kivontay Shaw,2,0,Rockford Regents,1,0,1,3,1,1,1,0
0,0,0,1,0,1,0,0,0,0,14,2,0,Tony Diemer,0,0,Rockford Regents,0,0,0,0,0,1,0,1
0,0,1,2,0,2,0,0,0,0,14,2,0,Jeremiah Stewart,0,1,Rockford Regents,1,0,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,14,2,0,Brandon Emerick,0,0,Rockford Regents,0,0,0,0,0,0,0,0
0,0,0,1,1,0,1,1,0,0,14,2,0,Kivontay Shaw,3,0,Rockford Regents,0,0,0,0,0,1,1,0
0,0,1,0,0,0,0,0,0,1,14,2,1,Taylor Krocker,0,0,Rockford Regents,0,0,0,2,1,0,0,0
0,0,0,0,0,0,0,0,0,0,14,3,1,Brandon Emerick,0,0,Rockford Regents,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,14,3,0,Kivontay Shaw,0,0,Rockford Regents,0,0,0,0,0,0,0,0
0,0,0,3,0,3,0,0,0,0,14,3,1,Taylor Krocker,0,0,Rockford Regents,0,0,0,1,0,3,0,3
0,0,0,0,0,0,0,0,0,0,14,3,0,Kevin Diemer,0,0,Rockford Regents,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,14,3,0,Talon Hardin,0,0,Rockford Regents,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,14,4,0,Kivontay Shaw,0,0,Rockford Regents,0,0,0,0,0,0,0,0
0,0,3,2,0,2,0,0,0,0,14,4,0,Taylor Krocker,0,0,Rockford Regents,1,0,1,3,0,1,0,1
0,0,0,2,1,1,0,0,0,0,14,4,0,Kevin Diemer,2,0,Rockford Regents,0,0,0,0,0,2,1,1
0,0,0,1,1,0,0,0,0,0,14,4,0,Talon Hardin,2,0,Rockford Regents,0,0,0,0,0,1,1,0
0,0,0,0,0,0,2,2,0,0,14,4,0,Will Adams,2,0,Rockford Regents,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,14,5,0,Kevin Diemer,0,1,Rockford Regents,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,14,5,0,Talon Hardin,0,0,Rockford Regents,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,14,5,0,Will Adams,0,0,Rockford Regents,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,14,5,0,Brandon Emerick,2,0,Rockford Regents,0,0,0,0,0,1,1,0
0,0,0,1,0,1,0,0,0,0,14,5,0,Tony Diemer,0,0,Rockford Regents,0,0,0,0,0,1,0,1
0,0,1,0,0,0,0,0,0,1,14,6,0,Kevin Diemer,0,0,Rockford Regents,0,0,0,1,0,0,0,0
0,0,0,0,0,0,2,2,0,0,14,6,0,Will Adams,2,1,Rockford Regents,0,0,0,0,1,0,0,0
1,0,1,0,0,0,2,2,0,0,14,6,0,Brandon Emerick,2,1,Rockford Regents,0,0,0,1,0,0,0,0
0,0,0,1,0,1,0,0,0,1,14,6,0,Tony Diemer,0,0,Rockford Regents,1,0,1,0,0,0,0,0
0,0,0,2,1,1,0,0,0,0,14,6,0,Jeremiah Stewart,2,0,Rockford Regents,1,0,1,0,0,1,1,0
0,0,0,2,0,2,0,0,0,3,14,7,0,Brandon Emerick,0,0,Rockford Regents,0,0,0,0,0,2,0,2
0,0,1,0,0,0,1,0,1,0,14,7,0,Tony Diemer,0,0,Rockford Regents,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,14,7,0,Jeremiah Stewart,0,0,Rockford Regents,0,0,0,1,0,0,0,0
0,0,0,1,1,0,0,0,0,0,14,7,0,Taylor Krocker,2,0,Rockford Regents,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,14,7,0,Kivontay Shaw,0,0,Rockford Regents,0,0,0,0,0,0,0,0
