Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
0,3,4,7,2,5,0,0,0,0,20.0,12,1,"Ahmad Muhammad,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",4,4.816666666666666,1,1,0,4,10,3,7,0,0,0,0,2,6,2,1,0,1,6,1,9,3,6,-2,1,Illinois Tech Scarlet Hawks,2,0,2,15.183333333333334,5,3,5,2,3,1
0,0,1,1,0,1,0,0,0,0,15.183333333333334,12,2,"Ahmad Muhammad,Jake Digiorgio,Max Hisatake,Milos Dugalic,Otis Reale",0,0.7333333333333343,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,Illinois Tech Scarlet Hawks,1,0,1,14.45,1,0,0,0,0,1
1,0,0,2,1,1,0,0,0,0,14.45,12,3,"Jake Bruns,Jake Digiorgio,Max Hisatake,Milos Dugalic,Otis Reale",3,1.1499999999999986,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,0,1,0,Illinois Tech Scarlet Hawks,1,1,0,13.3,0,0,1,0,1,1
0,0,0,0,0,0,0,0,0,1,13.3,12,4,"Jake Bruns,Jake Digiorgio,Kohl Linder,Milos Dugalic,Otis Reale",0,0.5833333333333339,0,0,0,0,1,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,-3,0,Illinois Tech Scarlet Hawks,0,0,0,12.716666666666667,0,1,0,0,0,1
0,0,1,3,0,3,0,0,0,0,12.716666666666667,12,5,"Calvin Schmitz,Jake Bruns,Jake Digiorgio,Kohl Linder,Otis Reale",0,1.4000000000000004,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,Illinois Tech Scarlet Hawks,2,0,2,11.316666666666666,2,0,1,0,1,1
0,0,1,0,0,0,0,0,0,0,11.316666666666666,12,6,"Calvin Schmitz,Kohl Linder,Max Hisatake,Otis Reale,Zach Parduhn",0,0.5833333333333339,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Illinois Tech Scarlet Hawks,0,0,0,10.733333333333333,1,1,0,0,0,1
0,0,0,1,1,0,0,0,0,0,10.733333333333333,12,7,"Calvin Schmitz,Jake Bruns,Kohl Linder,Max Hisatake,Zach Parduhn",2,1.0333333333333332,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,1,Illinois Tech Scarlet Hawks,0,0,0,9.7,0,0,1,1,0,1
1,0,1,3,3,0,0,0,0,0,9.7,12,8,"Calvin Schmitz,Jake Bruns,Max Hisatake,Parker Joncus,Zach Parduhn",6,1.9499999999999993,0,1,0,0,3,2,1,0,0,0,0,0,5,0,1,1,0,0,0,2,1,1,1,0,Illinois Tech Scarlet Hawks,0,0,0,7.75,1,0,3,3,0,1
1,0,1,2,2,0,0,0,0,0,7.75,12,9,"Jake Bruns,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",4,1.7166666666666668,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,2,0,Illinois Tech Scarlet Hawks,0,0,0,6.033333333333333,1,1,2,2,0,1
0,0,1,0,0,0,4,4,0,2,6.033333333333333,12,10,"Ahmad Muhammad,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",4,2.0,0,1,0,0,3,1,2,0,0,0,3,1,2,0,1,0,1,1,0,2,1,1,2,0,Illinois Tech Scarlet Hawks,0,0,0,4.033333333333333,1,0,0,0,0,1
1,0,0,1,1,0,0,0,0,3,4.033333333333333,12,11,"Ahmad Muhammad,Max Hisatake,Milos Dugalic,Otis Reale,Parker Joncus",2,1.0499999999999998,0,0,0,0,2,0,2,2,2,0,1,2,2,0,0,0,0,2,1,2,0,2,0,0,Illinois Tech Scarlet Hawks,0,0,0,2.9833333333333334,0,0,1,1,0,1
0,0,0,1,0,1,0,0,0,1,2.9833333333333334,12,12,"Ahmad Muhammad,Jake Digiorgio,Milos Dugalic,Otis Reale,Parker Joncus",0,1.35,0,1,0,1,1,1,0,2,2,0,1,0,4,1,0,0,0,1,0,1,1,0,-4,0,Illinois Tech Scarlet Hawks,0,0,0,1.6333333333333333,0,1,1,0,1,1
