Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Pts,Stl,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,Player_ID
1,0,2,2,1,1,0,0,0,0,11,1,0,2,0,0,0,0,2,0,2,1,1,133
0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,133
0,0,1,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,1,0,0,0,0,133
0,0,1,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,1,0,0,0,0,133
2,0,1,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,1,0,0,0,0,133
0,0,0,1,0,1,0,0,0,0,11,9,0,0,0,0,0,0,0,0,1,0,1,133
0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,133
0,1,1,1,1,0,0,0,0,0,11,13,0,2,0,0,0,0,1,0,1,1,0,133
0,0,0,0,0,0,0,0,0,0,11,14,0,0,0,0,0,0,0,0,0,0,0,133
0,0,1,2,1,1,0,0,0,1,11,15,1,2,0,0,0,0,2,1,2,1,1,133
0,0,0,1,0,1,0,0,0,0,11,18,1,0,0,0,0,0,1,0,1,0,1,133
0,0,0,0,0,0,0,0,0,0,11,19,0,0,0,0,0,0,0,0,0,0,0,133
0,0,1,0,0,0,0,0,0,0,11,20,0,0,0,0,0,0,1,0,0,0,0,133
0,0,1,0,0,0,0,0,0,0,11,21,0,0,0,0,0,0,1,0,0,0,0,133
0,0,1,1,0,1,0,0,0,0,11,22,0,0,0,0,0,0,1,0,1,0,1,133
0,0,0,0,0,0,0,0,0,0,11,23,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,0,0,0,0,0,0,0,11,24,0,0,1,0,0,0,0,0,0,0,0,133
0,0,1,1,0,1,0,0,0,1,11,25,1,0,0,0,0,0,2,1,1,0,1,133
1,0,0,3,2,1,4,3,1,0,11,26,3,7,0,0,0,0,3,0,3,2,1,133
0,0,0,0,0,0,0,0,0,0,11,27,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,1,0,1,0,0,0,0,11,28,0,0,0,1,0,1,0,0,0,0,0,133
0,0,1,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,1,0,0,0,0,133
0,0,1,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,1,0,0,0,0,133
0,0,0,1,1,0,0,0,0,0,13,3,2,2,0,0,0,0,2,0,1,1,0,133
0,0,0,1,1,0,1,1,0,0,13,4,0,3,1,0,0,0,0,0,1,1,0,133
0,0,2,1,0,1,2,2,0,0,13,5,1,2,0,0,0,0,3,0,1,0,1,133
0,0,0,2,1,1,0,0,0,0,13,7,0,3,0,1,1,0,0,0,1,0,1,133
0,0,1,1,1,0,0,0,0,0,13,8,1,2,0,0,0,0,2,1,1,1,0,133
0,0,2,1,1,0,0,0,0,0,13,9,0,2,0,0,0,0,2,0,1,1,0,133
2,0,1,1,0,1,0,0,0,0,13,10,0,0,0,0,0,0,1,0,1,0,1,133
0,1,1,0,0,0,2,0,2,0,13,11,0,0,0,0,0,0,1,0,0,0,0,133
0,0,0,0,0,0,2,1,1,0,13,12,0,1,0,0,0,0,0,0,0,0,0,133
0,0,0,2,0,2,4,4,0,0,13,13,2,4,0,0,0,0,2,0,2,0,2,133
0,0,0,0,0,0,0,0,0,0,13,14,0,0,0,0,0,0,0,0,0,0,0,133
0,0,1,0,0,0,0,0,0,0,13,15,0,0,0,0,0,0,1,0,0,0,0,133
0,0,1,2,1,1,0,0,0,1,13,17,0,3,0,1,1,0,1,0,1,0,1,133
1,1,0,0,0,0,2,2,0,0,13,18,0,2,0,0,0,0,0,1,0,0,0,133
0,0,2,3,0,3,0,0,0,0,8,1,1,0,0,1,0,1,3,0,2,0,2,133
0,0,1,2,1,1,0,0,0,0,8,2,0,3,0,1,1,0,1,0,1,0,1,133
0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,133
1,0,1,0,0,0,0,0,0,0,8,7,1,0,0,0,0,0,2,0,0,0,0,133
0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,1,0,1,0,0,0,0,8,9,0,0,0,0,0,0,0,0,1,0,1,133
0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,133
0,0,1,0,0,0,0,0,0,1,8,13,2,0,0,0,0,0,3,0,0,0,0,133
0,0,1,5,4,1,0,0,0,0,8,14,4,8,1,0,0,0,5,0,5,4,1,133
0,0,0,0,0,0,0,0,0,0,8,15,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,1,1,0,0,0,0,0,8,16,0,2,0,0,0,0,0,0,1,1,0,133
0,0,1,0,0,0,0,0,0,0,8,18,0,0,0,0,0,0,1,0,0,0,0,133
0,0,0,0,0,0,0,0,0,1,8,19,0,0,0,0,0,0,0,0,0,0,0,133
0,1,1,1,1,0,0,0,0,0,8,20,0,2,0,0,0,0,1,0,1,1,0,133
0,0,3,1,0,1,4,4,0,1,8,21,0,4,0,0,0,0,3,0,1,0,1,133
0,0,1,0,0,0,0,0,0,0,8,22,0,0,0,0,0,0,1,0,0,0,0,133
