Team_Name,Uploaded_Date,Format_Name,Category_Name,Element_Name,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score
Benedictine (IL) Eagles,2019-01-26,Defensive,Overall Defense,Overall,1,81.7,71.3,0.87,0.57,Good,33,25.1,58.1,0.43,0.5,0.18,0.13,0.09,0.4
Benedictine (IL) Eagles,2019-01-26,Defensive,Overall Defense,Transition,0.16,13.1,12.1,0.92,0.75,Very Good,5.2,4.3,9.5,0.45,0.5,0.14,0.16,0.13,0.44
Benedictine (IL) Eagles,2019-01-26,Defensive,Overall Defense,Overall Half Court,0.84,68.6,59.2,0.86,0.47,Average,27.8,20.8,48.6,0.43,0.5,0.18,0.13,0.08,0.4
Benedictine (IL) Eagles,2019-01-26,Defensive,Overall Defense,Short Shot Clock <4 Seconds,0.05,4,4.1,1.04,0.02,Poor,1.8,1.5,3.3,0.46,0.55,0.1,0.06,0.04,0.44
Benedictine (IL) Eagles,2019-01-26,Defensive,Overall Defense,Out of Bounds (End),0.09,5.9,5.5,0.92,0.24,Below Average,2.6,2.1,4.6,0.45,0.52,0.16,0.08,0.07,0.41
Benedictine (IL) Eagles,2019-01-26,Defensive,Overall Defense,Out of Bounds (Side),0.05,3.3,3.1,0.94,0.22,Below Average,1.4,1.1,2.5,0.44,0.51,0.12,0.12,0.09,0.43
Benedictine (IL) Eagles,2019-01-26,Defensive,Overall Defense,After Time Outs,0.13,8.8,6.6,0.75,0.83,Excellent,3.8,2.5,6.3,0.4,0.45,0.21,0.07,0.03,0.35
Benedictine (IL) Eagles,2019-01-26,Defensive,Overall Defense,Man Defense,0.99,68.2,58.8,0.86,0.46,Average,27.7,20.7,48.4,0.43,0.5,0.18,0.13,0.08,0.4
Benedictine (IL) Eagles,2019-01-26,Defensive,Overall Defense,Zone Defense,0.01,0.4,0.4,1,-,-,0.1,0.1,0.2,0.5,0.75,0.25,0.25,0,0.5
Benedictine (IL) Eagles,2019-01-26,Defensive,Overall Defense,Press Defense,0.09,6,4.9,0.82,0.56,Good,1.9,1.6,3.5,0.45,0.54,0.27,0.16,0.05,0.39
Benedictine (IL) Eagles,2019-01-26,Defensive,Play Types,Spot Up,0.24,19.4,18.9,0.97,0.21,Below Average,9.8,6.5,16.3,0.4,0.54,0.11,0.05,0.05,0.38
Benedictine (IL) Eagles,2019-01-26,Defensive,Play Types,Transition,0.16,13.1,12.1,0.92,0.75,Very Good,5.2,4.3,9.5,0.45,0.5,0.14,0.16,0.13,0.44
Benedictine (IL) Eagles,2019-01-26,Defensive,Play Types,P&R Ball Handler,0.13,10.5,9.4,0.9,0.13,Poor,3.9,3.4,7.2,0.47,0.53,0.22,0.11,0.07,0.41
Benedictine (IL) Eagles,2019-01-26,Defensive,Play Types,Post-Up,0.1,8.3,6,0.72,0.88,Excellent,3.8,2,5.8,0.35,0.35,0.14,0.19,0.14,0.36
Benedictine (IL) Eagles,2019-01-26,Defensive,Play Types,Cut,0.07,5.5,5.8,1.06,0.61,Good,1.9,2.5,4.4,0.57,0.57,0.11,0.11,0.11,0.55
Benedictine (IL) Eagles,2019-01-26,Defensive,Play Types,Offensive Rebounds (put backs),0.06,5,5.9,1.17,0.18,Below Average,1.5,2.1,3.6,0.58,0.59,0.08,0.25,0.2,0.6
Benedictine (IL) Eagles,2019-01-26,Defensive,Play Types,Off Screen,0.06,4.8,3.9,0.82,0.64,Good,2.6,1.4,3.9,0.35,0.44,0.12,0.07,0.05,0.34
Benedictine (IL) Eagles,2019-01-26,Defensive,Play Types,Isolation,0.05,4.4,2.7,0.61,0.9,Excellent,2,0.9,2.9,0.3,0.3,0.21,0.16,0.09,0.32
Benedictine (IL) Eagles,2019-01-26,Defensive,Play Types,P&R Roll Man,0.03,2.7,2.3,0.83,0.77,Very Good,1.2,1,2.1,0.45,0.5,0.15,0.07,0.07,0.41
Benedictine (IL) Eagles,2019-01-26,Defensive,Play Types,Hand Off,0.03,2.2,2,0.91,0.26,Below Average,0.8,0.7,1.5,0.47,0.57,0.23,0.09,0.09,0.4
Benedictine (IL) Eagles,2019-01-26,Defensive,Play Types,Miscellaneous,0.07,6,2.6,0.43,0.65,Very Good,0.5,0.6,1,0.55,0.58,0.59,0.26,0.03,0.26
Benedictine (IL) Eagles,2019-01-26,Defensive,Offense Including Passes,Isolations Including Passes,0.07,6.1,4.2,0.69,0.89,Excellent,2.9,1.4,4.3,0.33,0.37,0.2,0.12,0.07,0.32
Benedictine (IL) Eagles,2019-01-26,Defensive,Offense Including Passes,Pick and Rolls Including Passes,0.22,17.8,16.3,0.92,0.23,Below Average,7,6,13,0.46,0.54,0.19,0.1,0.07,0.41
