Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
1,0,4,10,4,6,2,2,0,1,20,8,1,"Carlos Campos,Eric Nygaard,Pat Mcdonald,Shakur Jinad,Zach Hasenstein",11,5.91666666666667,1,0,0,5,11,4,7,0,0,0,1,2,8,0,1,0,1,7,2,10,4,6,3,2,Lakeland (WI) Muskies,2,1,1,14.0833333333333,5,0,8,3,5,1
0,1,1,0,0,0,2,0,2,0,14.0833333333333,8,2,"Carlos Campos,Deonte Carlton,Garrett Duffin,Pat Mcdonald,Zach Hasenstein",0,0.883333333333335,0,1,0,1,2,1,1,0,0,0,1,0,3,0,1,1,0,1,0,1,0,1,-3,0,Lakeland (WI) Muskies,0,0,0,13.2,1,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,13.2,8,3,"Deonte Carlton,Garrett Duffin,Pat Mcdonald,Trent Nickel,Zach Hasenstein",0,1.36666666666667,0,0,0,0,1,1,0,0,0,0,1,0,2,1,0,0,0,0,1,1,1,0,-2,0,Lakeland (WI) Muskies,0,0,0,11.8333333333333,0,1,0,0,0,1
0,0,0,1,0,1,0,0,0,0,11.8333333333333,8,4,"Carlos Campos,Deonte Carlton,Garrett Duffin,Jequan Pegeese,Trent Nickel",0,0.816666666666666,0,0,0,1,2,1,1,0,0,0,1,1,2,0,0,0,0,2,0,2,1,1,-2,0,Lakeland (WI) Muskies,1,0,1,11.0166666666667,0,0,0,0,0,1
1,0,0,1,1,0,0,0,0,0,11.0166666666667,8,5,"Carlos Campos,Garrett Duffin,Jequan Pegeese,Shakur Jinad,Trent Nickel",3,0.783333333333335,0,0,0,0,2,2,0,0,0,0,1,0,4,1,0,0,0,0,0,2,2,0,-1,0,Lakeland (WI) Muskies,1,1,0,10.2333333333333,0,1,0,0,0,1
0,0,0,2,1,1,0,0,0,1,10.2333333333333,8,6,"Carlos Campos,Eric Nygaard,Jequan Pegeese,Shakur Jinad,Trent Nickel",2,1.4,0,1,0,1,2,1,1,0,0,0,1,1,3,0,2,1,1,2,0,0,0,0,-1,0,Lakeland (WI) Muskies,1,0,1,8.83333333333333,0,0,1,1,0,1
0,0,3,5,2,3,0,0,0,1,8.83333333333333,8,7,"Carlos Campos,Eric Nygaard,Pat Mcdonald,Shakur Jinad,Zach Hasenstein",4,2.6,1,1,1,2,3,1,2,2,1,1,0,0,4,0,1,1,0,2,2,2,0,2,0,0,Lakeland (WI) Muskies,1,0,1,6.23333333333333,4,1,4,2,2,1
0,0,0,2,1,1,0,0,0,0,6.23333333333333,8,8,"Carlos Campos,Garrett Duffin,Pat Mcdonald,Shakur Jinad,Zach Hasenstein",2,1.91666666666667,0,2,0,1,2,2,0,0,0,0,0,0,5,1,1,1,0,1,1,1,1,0,-3,1,Lakeland (WI) Muskies,0,0,0,4.31666666666667,0,1,2,1,1,1
0,0,0,0,0,0,1,0,1,0,4.31666666666667,8,9,"Carlos Campos,Eric Nygaard,Garrett Duffin,Pat Mcdonald,Trent Nickel",0,1.6,0,1,0,1,1,1,0,0,0,0,2,0,3,0,1,1,0,1,2,0,0,0,-3,0,Lakeland (WI) Muskies,0,0,0,2.71666666666667,0,1,0,0,0,1
0,0,1,2,2,0,1,0,1,1,2.71666666666667,8,10,"Carlos Campos,Eric Nygaard,Garrett Duffin,Pat Mcdonald,Shakur Jinad",4,2.71666666666667,0,1,0,1,4,1,3,2,1,1,1,2,3,1,1,0,1,3,1,3,1,2,0,1,Lakeland (WI) Muskies,0,0,0,0,1,1,2,2,0,1
