Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
1,0,3,6,3,3,0,0,0,1,20.0,7,1,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Max Hisatake,Parker Joncus",6,4.85,1,2,0,2,8,6,2,2,0,2,0,0,12,4,0,0,0,2,2,8,6,2,-6,1,Illinois Tech Scarlet Hawks,1,0,1,15.15,4,5,5,3,2,1
2,1,1,2,2,0,2,2,0,0,15.15,7,2,"Anthony Mosley,Jake Digiorgio,Max Hisatake,Milos Dugalic,Otis Reale",7,1.9833333333333343,0,1,0,0,3,2,1,0,0,0,1,0,6,1,2,2,0,0,0,1,0,1,1,0,Illinois Tech Scarlet Hawks,1,1,0,13.166666666666666,1,1,1,1,0,1
0,0,0,1,0,1,0,0,0,0,13.166666666666666,7,3,"Anthony Mosley,Jake Digiorgio,Milos Dugalic,Otis Reale,Ricardo Whitehead",0,0.7166666666666668,0,1,0,1,1,1,0,0,0,0,1,0,3,0,1,1,0,1,1,0,0,0,-3,0,Illinois Tech Scarlet Hawks,1,0,1,12.45,0,0,0,0,0,1
1,0,0,1,1,0,2,2,0,0,12.45,7,4,"Anthony Mosley,Capriest Gardner,Milos Dugalic,Otis Reale,Ricardo Whitehead",4,1.166666666666666,0,0,0,0,1,1,0,0,0,0,2,0,2,0,0,0,0,0,1,1,1,0,2,0,Illinois Tech Scarlet Hawks,0,0,0,11.283333333333333,0,1,1,1,0,1
1,0,3,4,3,1,3,3,0,2,11.283333333333333,7,5,"Anthony Mosley,Capriest Gardner,Jake Bruns,Max Hisatake,Milos Dugalic",9,2.283333333333333,1,0,0,0,4,0,4,0,0,0,2,1,0,0,2,0,2,1,0,2,0,2,9,0,Illinois Tech Scarlet Hawks,0,0,0,9.0,4,0,4,3,1,1
2,0,3,5,4,1,0,0,0,0,9.0,7,6,"Anthony Mosley,Jake Bruns,Jake Digiorgio,Max Hisatake,Milos Dugalic",10,2.416666666666667,0,0,0,0,5,1,4,0,0,0,0,1,2,0,2,0,2,1,1,3,1,2,8,1,Illinois Tech Scarlet Hawks,2,2,0,6.583333333333333,3,1,3,2,1,1
0,0,2,2,1,1,0,0,0,1,6.583333333333333,7,7,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Milos Dugalic,Ricardo Whitehead",2,1.75,1,1,0,0,4,1,3,0,0,0,0,1,2,0,1,0,1,1,0,3,1,2,0,0,Illinois Tech Scarlet Hawks,1,0,1,4.833333333333333,3,1,1,1,0,1
0,0,1,4,0,4,0,0,0,0,4.833333333333333,7,8,"Ahmad Muhammad,Anthony Mosley,Calvin Schmitz,Jake Digiorgio,Max Hisatake",0,1.5166666666666666,0,0,0,4,3,1,2,0,0,0,0,0,2,0,0,0,0,4,1,3,1,2,-2,1,Illinois Tech Scarlet Hawks,3,0,3,3.3166666666666664,1,0,1,0,1,1
0,0,1,0,0,0,0,0,0,1,3.3166666666666664,7,9,"Ahmad Muhammad,Calvin Schmitz,Jake Digiorgio,Max Hisatake,Otis Reale",0,1.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Illinois Tech Scarlet Hawks,0,0,0,2.3166666666666664,1,1,0,0,0,1
2,0,1,4,2,2,0,0,0,0,2.3166666666666664,7,10,"Ahmad Muhammad,Calvin Schmitz,Jake Digiorgio,Milos Dugalic,Otis Reale",5,2.3166666666666664,0,2,0,2,3,2,1,0,0,0,0,0,6,0,2,2,0,2,0,1,0,1,0,0,Illinois Tech Scarlet Hawks,1,1,0,0.0,1,0,3,1,2,1
0,0,0,0,0,0,0,0,0,1,20.0,7,11,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Max Hisatake,Parker Joncus",0,0.4833333333333343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Illinois Tech Scarlet Hawks,0,0,0,19.516666666666666,0,1,0,0,0,2
0,0,3,2,0,2,0,0,0,0,19.516666666666666,7,12,"Ahmad Muhammad,Anthony Mosley,Max Hisatake,Milos Dugalic,Parker Joncus",0,1.2833333333333314,0,0,0,2,3,0,3,0,0,0,0,0,0,0,1,0,1,2,0,2,0,2,0,0,Illinois Tech Scarlet Hawks,1,0,1,18.233333333333334,3,1,1,0,1,2
1,0,3,8,3,5,3,3,0,1,18.233333333333334,7,13,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Max Hisatake,Milos Dugalic",9,4.116666666666667,1,0,1,3,5,2,3,0,0,0,4,0,4,1,1,0,1,3,2,4,2,2,5,2,Illinois Tech Scarlet Hawks,3,0,3,14.116666666666667,4,1,5,3,2,2
0,0,2,0,0,0,0,0,0,0,14.116666666666667,7,14,"Ahmad Muhammad,Anthony Mosley,Capriest Gardner,Max Hisatake,Milos Dugalic",0,0.9666666666666668,0,0,0,0,4,0,4,0,0,0,0,2,0,1,1,0,1,2,0,3,0,3,0,0,Illinois Tech Scarlet Hawks,0,0,0,13.15,2,2,0,0,0,2
1,0,2,3,1,2,2,1,1,0,13.15,7,15,"Anthony Mosley,Capriest Gardner,Max Hisatake,Milos Dugalic,Otis Reale",3,2.966666666666667,2,1,0,0,3,1,2,0,0,0,2,0,3,0,1,1,0,0,0,2,0,2,0,0,Illinois Tech Scarlet Hawks,1,0,1,10.183333333333334,4,1,2,1,1,2
1,0,1,2,2,0,0,0,0,0,10.183333333333334,7,16,"Capriest Gardner,Jake Bruns,Jake Digiorgio,Milos Dugalic,Otis Reale",4,1.2833333333333332,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,4,0,Illinois Tech Scarlet Hawks,0,0,0,8.9,1,0,2,2,0,2
0,1,0,0,0,0,0,0,0,1,8.9,7,17,"Calvin Schmitz,Capriest Gardner,Jake Bruns,Jake Digiorgio,Otis Reale",0,1.0166666666666675,0,1,0,0,3,1,2,2,2,0,0,1,4,0,0,0,0,1,0,3,1,2,-4,0,Illinois Tech Scarlet Hawks,0,0,0,7.883333333333333,0,1,0,0,0,2
1,0,1,2,2,0,2,2,0,1,7.883333333333333,7,18,"Anthony Mosley,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Max Hisatake",7,2.0,0,1,0,0,4,3,1,1,1,0,1,0,8,0,1,1,0,0,0,3,2,1,-1,0,Illinois Tech Scarlet Hawks,1,1,0,5.883333333333333,1,1,1,1,0,2
4,2,4,6,4,2,6,6,0,1,5.883333333333333,7,19,"Anthony Mosley,Jake Bruns,Jake Digiorgio,Max Hisatake,Milos Dugalic",16,4.6,0,1,1,1,9,3,6,1,1,0,3,2,7,1,2,0,2,3,1,7,3,4,9,1,Illinois Tech Scarlet Hawks,3,2,1,1.2833333333333332,4,1,3,2,1,2
1,2,0,1,1,0,0,0,0,1,1.2833333333333332,7,20,"Brett Ott,Cody Mattson,Jalen Lomax,Kohl Linder,Zach Parduhn",2,1.2833333333333332,0,1,0,0,6,2,4,1,0,1,0,4,4,0,0,0,0,4,0,6,2,4,0,0,Illinois Tech Scarlet Hawks,0,0,0,0.0,0,0,1,1,0,2
