Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Pts,Stl,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,Player_ID
0,0,0,0,0,0,0,0,0,0,7,1,0,0,2,0,0,0,0,0,0,0,0,95
0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,95
0,0,0,0,0,0,0,0,0,2,7,5,0,0,0,0,0,0,0,0,0,0,0,95
0,0,2,1,1,0,0,0,0,0,7,10,0,3,0,1,1,0,2,0,0,0,0,95
0,0,1,0,0,0,0,0,0,1,7,11,0,0,0,0,0,0,1,0,0,0,0,95
0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,95
0,0,0,0,0,0,0,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,95
0,0,0,0,0,0,0,0,0,0,7,16,0,0,0,0,0,0,0,0,0,0,0,95
0,0,0,1,0,1,0,0,0,0,7,17,1,0,0,0,0,0,1,0,1,0,1,95
0,0,0,0,0,0,0,0,0,0,7,18,0,0,0,0,0,0,0,0,0,0,0,95
0,0,0,0,0,0,0,0,0,0,7,22,0,0,0,0,0,0,0,0,0,0,0,95
0,0,0,4,2,2,0,0,0,0,7,1,0,4,0,0,0,0,0,0,4,2,2,102
1,0,0,1,1,0,0,0,0,0,7,2,0,2,2,0,0,0,0,0,1,1,0,102
1,0,0,2,2,0,0,0,0,0,7,3,0,6,0,2,2,0,0,1,0,0,0,102
0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,102
0,0,0,1,0,1,0,0,0,0,7,5,0,0,0,1,0,1,0,0,0,0,0,102
0,0,0,1,0,1,0,0,0,0,7,6,0,0,0,0,0,0,0,0,1,0,1,102
0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,102
0,0,0,2,1,1,0,0,0,0,7,8,1,2,0,1,0,1,1,1,1,1,0,102
0,0,1,3,1,2,0,0,0,0,7,9,1,2,0,0,0,0,2,0,3,1,2,102
0,0,0,2,0,2,0,0,0,0,7,11,0,0,0,0,0,0,0,0,2,0,2,102
0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,1,0,0,0,102
0,0,0,0,0,0,0,0,0,0,7,14,0,0,0,0,0,0,0,0,0,0,0,102
0,0,0,1,0,1,0,0,0,0,7,15,0,0,0,0,0,0,0,0,1,0,1,102
0,0,0,0,0,0,0,0,0,0,7,16,0,0,0,0,0,0,0,0,0,0,0,102
0,0,0,1,1,0,0,0,0,0,7,17,0,2,0,0,0,0,0,0,1,1,0,102
0,0,0,1,0,1,0,0,0,1,7,18,0,0,0,0,0,0,0,0,1,0,1,102
0,0,0,1,0,1,0,0,0,0,7,19,0,0,0,0,0,0,0,0,1,0,1,102
0,0,0,0,0,0,0,0,0,0,7,20,0,0,0,0,0,0,0,0,0,0,0,102
0,0,0,2,1,1,1,1,0,0,7,21,1,3,0,0,0,0,1,0,2,1,1,102
0,0,1,1,0,1,0,0,0,1,7,22,0,0,0,1,0,1,1,0,0,0,0,102
