Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Player_Name,Pts,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm
1,0,0,1,1,0,0,0,0,0,4,1,1,Jake Gebert,2,0,Milwaukee School of Engineering,0,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,4,1,0,Travis Ballard,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,1,2,1,1,0,0,0,1,4,1,0,Anthony Bartman,2,0,Milwaukee School of Engineering,0,0,0,1,0,2,1,1
0,0,1,0,0,0,0,0,0,0,4,1,0,Jason Palesse,0,0,Milwaukee School of Engineering,0,0,0,1,0,0,0,0
0,0,0,2,0,2,0,0,0,0,4,1,0,Matthew Kirmse,0,0,Milwaukee School of Engineering,0,0,0,0,0,2,0,2
0,0,0,0,0,0,0,0,0,0,4,2,0,Jake Gebert,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,2,0,Travis Ballard,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,2,0,Jason Palesse,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,1,4,2,0,Matthew Kirmse,0,0,Milwaukee School of Engineering,1,0,1,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,4,2,0,Sammy Linn,2,1,Milwaukee School of Engineering,0,0,0,0,0,1,1,0
0,0,0,1,0,1,0,0,0,1,4,3,0,Travis Ballard,0,0,Milwaukee School of Engineering,0,0,0,0,0,1,0,1
0,0,1,1,1,0,0,0,0,0,4,3,0,Jason Palesse,2,1,Milwaukee School of Engineering,0,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,4,3,0,Matthew Kirmse,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,3,0,Sammy Linn,0,0,Milwaukee School of Engineering,0,0,0,0,1,0,0,0
0,0,0,1,0,1,0,0,0,0,4,3,0,Michael Pitrof,0,0,Milwaukee School of Engineering,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,4,4,0,Jason Palesse,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,2,0,0,4,4,0,Matthew Kirmse,2,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,4,0,Michael Pitrof,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,4,0,Anthony Bartman,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,4,4,0,Dylan Hamlin,0,0,Milwaukee School of Engineering,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,4,5,0,Matthew Kirmse,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,5,0,Michael Pitrof,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,5,0,Anthony Bartman,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,5,0,Dylan Hamlin,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,5,0,Josh Herzog,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,6,0,Matthew Kirmse,0,0,Milwaukee School of Engineering,0,0,0,0,1,0,0,0
0,0,2,2,1,1,0,0,0,0,4,6,0,Michael Pitrof,2,0,Milwaukee School of Engineering,0,0,0,2,0,2,1,1
0,0,0,0,0,0,0,0,0,1,4,6,0,Dylan Hamlin,0,0,Milwaukee School of Engineering,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,4,6,0,Josh Herzog,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,4,6,0,Travis Ballard,0,0,Milwaukee School of Engineering,1,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,4,7,0,Michael Pitrof,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,7,0,Dylan Hamlin,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,7,0,Josh Herzog,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,4,7,0,Travis Ballard,2,0,Milwaukee School of Engineering,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,4,7,0,Jason Palesse,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,4,8,0,Michael Pitrof,2,0,Milwaukee School of Engineering,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,1,4,8,0,Dylan Hamlin,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,8,0,Travis Ballard,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,8,0,Jason Palesse,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,4,8,0,Jake Gebert,0,0,Milwaukee School of Engineering,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,9,0,Michael Pitrof,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,9,0,Travis Ballard,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,9,0,Jason Palesse,0,0,Milwaukee School of Engineering,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,4,9,0,Jake Gebert,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,9,0,Ty Miklowski,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,1,2,1,0,1,0,0,0,0,4,10,0,Travis Ballard,0,0,Milwaukee School of Engineering,0,0,0,2,0,1,0,1
3,0,1,1,1,0,0,0,0,0,4,10,0,Jason Palesse,2,0,Milwaukee School of Engineering,0,0,0,1,1,1,1,0
0,0,0,2,1,1,0,0,0,0,4,10,1,Jake Gebert,2,0,Milwaukee School of Engineering,0,0,0,1,0,2,1,1
0,0,0,1,1,0,0,0,0,0,4,10,0,Ty Miklowski,3,0,Milwaukee School of Engineering,1,1,0,0,1,0,0,0
0,0,1,1,1,0,0,0,0,0,4,10,0,Matthew Kirmse,3,1,Milwaukee School of Engineering,1,1,0,1,0,0,0,0
0,0,0,2,1,1,0,0,0,0,4,11,0,Travis Ballard,2,0,Milwaukee School of Engineering,0,0,0,0,0,2,1,1
0,0,0,0,0,0,0,0,0,0,4,11,0,Jake Gebert,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,11,0,Ty Miklowski,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,4,11,0,Matthew Kirmse,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,11,0,Bailey Mcdaniel,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,4,12,1,Travis Ballard,2,0,Milwaukee School of Engineering,0,0,0,2,1,1,1,0
0,0,0,0,0,0,0,0,0,0,4,12,0,Jake Gebert,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,2,1,1,0,0,0,0,0,4,12,0,Matthew Kirmse,2,0,Milwaukee School of Engineering,0,0,0,2,0,1,1,0
1,0,0,0,0,0,0,0,0,0,4,12,0,Bailey Mcdaniel,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,4,12,0,Sammy Linn,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,13,0,Jake Gebert,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,13,0,Matthew Kirmse,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,13,0,Jason Palesse,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,13,0,Michael Pitrof,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,13,0,Dylan Hamlin,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,14,0,Jake Gebert,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,14,0,Travis Ballard,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,14,0,Anthony Bartman,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,14,0,Jason Palesse,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,14,0,Matthew Kirmse,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,4,15,0,Jake Gebert,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,1,0,2,0,2,0,0,0,0,4,15,0,Travis Ballard,0,0,Milwaukee School of Engineering,0,0,0,0,0,2,0,2
1,0,1,1,1,0,0,0,0,0,4,15,0,Jason Palesse,2,0,Milwaukee School of Engineering,0,0,0,1,0,1,1,0
0,0,1,2,1,1,0,0,0,0,4,15,1,Matthew Kirmse,2,0,Milwaukee School of Engineering,0,0,0,2,0,2,1,1
0,0,1,1,0,1,0,0,0,0,4,15,0,Ty Miklowski,0,0,Milwaukee School of Engineering,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,4,16,0,Travis Ballard,0,0,Milwaukee School of Engineering,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,4,16,0,Jason Palesse,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,16,0,Ty Miklowski,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,1,1,0,4,16,0,Michael Pitrof,1,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
