Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Player_Name,Pts,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm
1,0,1,4,0,4,0,0,0,0,11,1,0,Jake Gebert,0,0,Milwaukee School of Engineering,3,0,3,1,0,1,0,1
0,0,0,1,1,0,0,0,0,0,11,1,0,Travis Ballard,2,0,Milwaukee School of Engineering,0,0,0,0,0,1,1,0
0,0,0,2,1,1,0,0,0,1,11,1,0,Gabe Wear,3,0,Milwaukee School of Engineering,1,1,0,0,0,1,0,1
1,0,0,0,0,0,0,0,0,0,11,1,1,Jason Palesse,0,0,Milwaukee School of Engineering,0,0,0,1,0,0,0,0
0,0,1,1,0,1,0,0,0,1,11,1,0,Matthew Kirmse,0,0,Milwaukee School of Engineering,1,0,1,1,1,0,0,0
0,0,0,1,1,0,0,0,0,0,11,2,0,Michael Pitrof,2,0,Milwaukee School of Engineering,0,0,0,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,11,2,0,Bailey Mcdaniel,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,11,2,0,Sammy Linn,0,0,Milwaukee School of Engineering,0,0,0,1,0,0,0,0
0,0,0,1,1,0,0,0,0,0,11,2,0,Josh Herzog,2,0,Milwaukee School of Engineering,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,11,2,0,Dylan Hamlin,0,0,Milwaukee School of Engineering,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,11,3,0,Michael Pitrof,0,0,Milwaukee School of Engineering,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,11,3,0,Bailey Mcdaniel,0,0,Milwaukee School of Engineering,1,0,1,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,11,3,0,Sammy Linn,0,0,Milwaukee School of Engineering,0,0,0,2,1,0,0,0
0,0,0,2,2,0,0,0,0,0,11,3,0,Josh Herzog,4,0,Milwaukee School of Engineering,0,0,0,0,0,2,2,0
