Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Pts,Stl,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,Player_ID
0,0,3,5,3,2,0,0,0,0,20,1,1,6,0,0,0,0,4,0,5,3,2,17
0,0,0,1,0,1,0,0,0,1,20,2,0,0,1,1,0,1,0,2,0,0,0,17
1,0,0,1,0,1,0,0,0,0,20,4,0,0,0,0,0,0,0,1,1,0,1,17
0,0,0,0,0,0,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,17
0,0,0,5,1,4,0,0,0,0,20,6,0,2,0,1,0,1,0,0,4,1,3,17
0,0,0,2,0,2,0,0,0,1,20,9,0,0,0,2,0,2,0,0,0,0,0,17
0,0,1,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,1,0,0,0,0,17
1,0,0,0,0,0,0,0,0,0,20,11,0,0,0,0,0,0,0,0,0,0,0,17
0,0,0,0,0,0,0,0,0,0,20,13,0,0,0,0,0,0,0,0,0,0,0,17
1,1,1,1,1,0,0,0,0,0,20,1,0,2,0,0,0,0,1,0,1,1,0,18
0,0,0,2,0,2,0,0,0,0,20,3,0,0,0,1,0,1,0,0,1,0,1,18
0,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,0,0,0,0,0,0,0,18
0,0,0,0,0,0,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,18
1,0,1,2,0,2,0,0,0,1,20,6,2,0,0,1,0,1,3,0,1,0,1,18
0,0,2,1,0,1,0,0,0,0,20,7,0,0,0,0,0,0,2,0,1,0,1,18
0,0,0,0,0,0,2,2,0,0,20,8,0,2,0,0,0,0,0,0,0,0,0,18
0,0,0,0,0,0,0,0,0,0,20,12,0,0,0,0,0,0,0,0,0,0,0,18
0,0,0,3,2,1,0,0,0,0,20,1,0,4,1,0,0,0,0,0,3,2,1,4
0,0,0,1,1,0,0,0,0,0,20,2,0,3,0,1,1,0,0,0,0,0,0,4
2,0,1,1,0,1,0,0,0,0,20,3,0,0,0,1,0,1,1,0,0,0,0,4
0,0,0,1,1,0,0,0,0,2,20,4,0,3,0,1,1,0,0,1,0,0,0,4
0,0,0,0,0,0,0,0,0,0,20,6,0,0,2,0,0,0,0,0,0,0,0,4
0,0,0,1,0,1,0,0,0,1,20,7,0,0,0,0,0,0,0,0,1,0,1,4
0,0,0,1,0,1,0,0,0,0,20,10,0,0,0,1,0,1,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,20,11,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,20,13,0,0,0,0,0,0,0,0,0,0,0,4
0,0,1,3,0,3,0,0,0,0,20,1,0,0,0,0,0,0,1,1,3,0,3,5
0,1,0,2,2,0,2,1,1,0,20,3,0,5,0,0,0,0,0,0,2,2,0,5
0,0,0,1,0,1,0,0,0,0,20,5,0,0,0,1,0,1,0,0,0,0,0,5
0,0,0,3,1,2,0,0,0,0,20,6,1,3,0,1,1,0,1,0,2,0,2,5
0,0,0,0,0,0,0,0,0,0,20,8,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,4,2,2,2,2,0,0,20,9,0,6,0,0,0,0,1,0,4,2,2,5
0,0,0,0,0,0,0,0,0,1,20,10,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,20,11,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,20,12,0,0,0,0,0,0,0,0,0,0,0,5
1,0,2,2,1,1,0,0,0,0,20,1,1,2,0,1,0,1,3,0,1,1,0,15
0,0,1,1,0,1,0,0,0,0,20,2,0,0,1,0,0,0,1,1,1,0,1,15
0,0,1,0,0,0,0,0,0,0,20,4,0,0,0,0,0,0,1,1,0,0,0,15
0,0,0,0,0,0,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,15
1,0,0,0,0,0,4,3,1,1,20,6,0,3,0,0,0,0,0,0,0,0,0,15
0,0,0,0,0,0,0,0,0,0,20,7,1,0,0,0,0,0,1,0,0,0,0,15
0,0,0,0,0,0,0,0,0,0,20,8,0,0,0,0,0,0,0,0,0,0,0,15
2,0,0,2,1,1,0,0,0,0,20,9,0,3,1,2,1,1,0,3,0,0,0,15
0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,15
0,0,0,1,1,0,0,0,0,0,20,11,0,3,0,1,1,0,0,0,0,0,0,15
0,0,0,0,0,0,0,0,0,0,20,12,0,0,0,0,0,0,0,0,0,0,0,15
0,0,0,1,0,1,0,0,0,0,20,13,0,0,0,1,0,1,0,0,0,0,0,15
0,0,0,1,1,0,0,0,0,0,20,2,0,2,0,0,0,0,0,0,1,1,0,2
0,0,0,0,0,0,0,0,0,0,20,3,0,0,2,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,20,4,0,0,1,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,1,0,1,0,0,0,0,20,7,0,0,0,1,0,1,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,20,8,0,0,0,0,0,0,0,0,0,0,0,2
0,0,1,2,2,0,2,1,1,0,20,9,0,5,0,0,0,0,1,0,2,2,0,2
0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,20,12,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,20,13,0,0,0,0,0,0,0,0,0,0,0,2
0,0,1,1,0,1,0,0,0,0,20,2,0,0,0,0,0,0,1,0,1,0,1,12
0,0,0,2,2,0,0,0,0,0,20,3,0,5,0,1,1,0,0,0,1,1,0,12
0,0,0,3,0,3,2,1,1,1,20,7,1,1,0,0,0,0,1,0,3,0,3,12
0,0,0,0,0,0,0,0,0,0,20,8,0,0,0,0,0,0,0,0,0,0,0,12
0,0,2,2,2,0,2,1,1,1,20,9,0,5,0,0,0,0,2,1,2,2,0,12
0,0,0,0,0,0,0,0,0,0,20,11,0,0,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,0,0,20,13,0,0,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,0,0,20,12,0,0,0,0,0,0,0,0,0,0,0,8
1,0,0,2,1,1,0,0,0,0,20,1,0,3,0,2,1,1,0,0,0,0,0,128
0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,128
0,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,0,0,0,0,0,0,0,128
0,0,0,0,0,0,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,128
0,0,0,2,1,1,0,0,0,0,20,6,0,3,0,2,1,1,0,0,0,0,0,128
0,0,0,1,1,0,2,2,0,0,20,10,0,4,0,0,0,0,0,0,1,1,0,128
0,0,0,0,0,0,0,0,0,0,20,11,0,0,0,0,0,0,0,0,0,0,0,128
1,0,0,1,0,1,0,0,0,0,20,12,0,0,0,0,0,0,0,0,1,0,1,128
0,0,0,0,0,0,0,0,0,0,20,13,0,0,0,0,0,0,0,0,0,0,0,128
0,0,1,0,0,0,0,0,0,0,20,16,0,0,0,0,0,0,1,0,0,0,0,128
0,0,0,1,0,1,0,0,0,0,20,17,0,0,0,1,0,1,0,2,0,0,0,128
0,0,1,0,0,0,2,2,0,0,20,21,0,2,0,0,0,0,1,0,0,0,0,128
0,0,0,0,0,0,0,0,0,0,20,22,0,0,0,0,0,0,0,0,0,0,0,128
0,0,0,0,0,0,4,3,1,0,20,23,0,3,0,0,0,0,0,0,0,0,0,128
0,0,0,3,1,2,0,0,0,0,20,1,0,2,0,1,0,1,0,1,2,1,1,135
0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,135
1,0,0,1,0,1,0,0,0,0,20,6,0,0,0,0,0,0,0,1,1,0,1,135
