Uploaded_Date,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score,Player_ID,Category_ID,Format_ID,Element_ID
12/23/2018,0.098,8,7.2,0.904,0.4,Average,3.4,2.4,5.8,0.413,0.527,0.202,0.096,0.067,0.36,190,2,2,1
12/23/2018,0.094,7.7,6.8,0.89,0.43,Average,3.6,2.5,6.1,0.405,0.475,0.12,0.11,0.09,0.41,178,2,2,1
12/23/2018,0.089,7.3,6.2,0.842,0.52,Good,3.5,2.2,5.7,0.378,0.48,0.158,0.063,0.063,0.35,187,2,2,1
12/23/2018,0.07,5.7,3.6,0.635,0.87,Excellent,3.3,1.4,4.7,0.295,0.32,0.095,0.081,0.081,0.31,193,2,2,1
12/23/2018,0.048,6.4,5.4,0.843,0.52,Good,2.4,2.3,4.6,0.486,0.527,0.196,0.078,0.039,0.41,189,2,2,1
12/23/2018,0.032,3.1,2.7,0.882,0.44,Average,1,1.1,2.1,0.522,0.565,0.235,0.118,0.118,0.41,195,2,2,1
12/23/2018,0.032,2.6,1.8,0.676,0.82,Very Good,1.3,0.5,1.8,0.292,0.354,0.206,0.118,0.059,0.29,185,2,2,1
12/23/2018,0.03,4,4.1,1.031,0.2,Below Average,1.9,1.4,3.3,0.423,0.519,0.094,0.094,0.063,0.44,181,2,2,1
12/23/2018,0.025,2.1,1.5,0.741,0.72,Very Good,0.7,0.5,1.2,0.438,0.5,0.185,0.222,0.111,0.33,191,2,2,1
12/23/2018,0.022,3.3,2.1,0.652,0.85,Excellent,1.7,0.7,2.4,0.294,0.353,0.174,0.087,0.043,0.3,182,2,2,1
12/23/2018,0.015,2.3,3.4,1.5,0.01,Poor,0.9,1.1,2,0.571,0.714,0,0.125,0.063,0.62,180,2,2,1
12/23/2018,0.012,4.3,3.3,0.769,0.67,Very Good,1.7,1.3,3,0.444,0.556,0.308,0,0,0.31,183,2,2,1
12/23/2018,0.009,1.1,0.9,0.8,0.61,Good,0.7,0.2,0.9,0.25,0.375,0.1,0.1,0.1,0.3,184,2,2,1
12/23/2018,0.005,1,1,1,-,-,0.2,0.4,0.6,0.667,0.833,0.4,0,0,0.4,179,2,2,1
12/23/2018,0.004,1.3,2,1.5,-,-,0,0.3,0.3,1,1.5,0.25,0.5,0,0.75,186,2,2,1
12/23/2018,0.004,1.3,2.3,1.75,-,-,0.3,0.7,1,0.667,0.833,0,0.25,0.25,0.75,192,2,2,1
12/23/2018,0.001,0.5,0,0,-,-,0,0,0,-,-,0,1,0,0,194,2,2,1
12/23/2018,0.001,0.3,0,0,-,-,0.3,0,0.3,0,0,0,0,0,0,196,2,2,1
12/23/2018,0.081,6.8,5.2,0.76,0.68,Very Good,3.3,2,5.3,0.379,0.431,0.187,0.053,0.053,0.33,159,2,2,1
12/23/2018,0.081,6.8,4.3,0.627,0.87,Excellent,3.7,1.6,5.4,0.305,0.364,0.173,0.053,0.053,0.27,166,2,2,1
12/23/2018,0.064,5.4,5.5,1.017,0.21,Below Average,2.9,1.8,4.7,0.385,0.5,0.051,0.102,0.085,0.41,162,2,2,1
12/23/2018,0.061,5.1,4,0.786,0.63,Good,2.6,1.5,4.2,0.37,0.424,0.125,0.071,0.071,0.36,175,2,2,1
