,lineup_players,ast,block,defreb,fga,fg_made,fg_miss,fta,ft_made,ft_miss,foul,lineup_score,min,offreb,oppo_ast,oppo_block,oppo_defreb,oppo_fga,oppo_fg_made,oppo_fg_miss,oppo_fta,oppo_ft_made,oppo_ft_miss,oppo_foul,oppo_offreb,oppo_score,oppo_stl,oppo_three_fga,oppo_three_fg_made,oppo_three_fg_miss,oppo_ttlreb,oppo_turnover,oppo_two_fga,oppo_two_fg_made,oppo_two_fg_miss,plusminus,stl,three_fga,three_fg_made,three_fg_miss,ttlreb,turnover,two_fga,two_fg_made,two_fg_miss
39,"Ahmad Muhammad,Calvin Schmitz,Jake Digiorgio,Max Hisatake,Otis Reale",4,0,3,6,5,1,3,3,0,3,14,4.08333333333333,0,0,0,1,4,1,3,4,3,1,4,0,5,1,2,0,2,1,1,2,1,1,9,1,1,1,0,3,2,5,4,1
41,"Ahmad Muhammad,Calvin Schmitz,Jake Digiorgio,Milos Dugalic,Otis Reale",2,0,3,8,3,5,0,0,0,1,7,5.21666666666667,1,2,0,4,6,3,3,2,2,0,0,0,10,0,3,2,1,4,0,3,1,2,-2,0,2,1,1,4,2,6,2,4
55,"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Max Hisatake,Milos Dugalic",1,0,1,4,1,3,4,4,0,1,7,3.1500000000000004,2,3,1,1,7,4,3,1,1,0,2,2,10,0,1,1,0,3,0,6,3,3,-3,0,2,1,1,3,0,2,0,2
56,"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Max Hisatake,Parker Joncus",2,0,5,7,4,3,4,3,1,4,11,5.21666666666666,1,2,1,2,7,3,4,10,7,3,2,0,13,1,1,0,1,2,3,6,3,3,-1,1,1,0,1,6,4,6,4,2
62,"Ahmad Muhammad,Jake Bruns,Max Hisatake,Otis Reale,Parker Joncus",0,0,4,8,3,5,0,0,0,0,6,3.4166666666666696,2,0,0,3,5,1,4,0,0,0,1,0,2,0,2,0,2,3,2,3,1,2,4,1,0,0,0,6,0,8,3,5
64,"Ahmad Muhammad,Jake Digiorgio,Kohl Linder,Otis Reale,Parker Joncus",2,1,2,6,4,2,0,0,0,1,10,4.816666666666663,0,3,0,0,9,5,4,0,0,0,0,1,12,1,4,2,2,1,0,5,3,2,-5,0,3,2,1,2,1,3,2,1
65,"Ahmad Muhammad,Jake Digiorgio,Max Hisatake,Milos Dugalic,Otis Reale",1,0,4,6,1,5,2,2,0,2,4,5.066666666666667,0,2,0,5,7,3,4,3,0,3,4,2,7,1,3,1,2,7,2,4,2,2,-3,0,3,0,3,4,1,3,1,2
67,"Ahmad Muhammad,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",10,5,21,47,19,28,16,13,3,14,56,36.333333333333336,9,11,1,17,48,19,29,16,11,5,17,8,54,6,15,5,10,25,5,33,14,19,6,2,14,5,9,30,13,33,14,19
68,"Ahmad Muhammad,Jake Digiorgio,Milos Dugalic,Otis Reale,Parker Joncus",0,2,4,8,3,5,5,5,0,2,11,4.199999999999996,2,2,1,3,6,3,3,4,4,0,6,0,10,1,0,0,0,3,0,6,3,3,1,0,0,0,0,6,2,8,3,5
120,"Calvin Schmitz,Jake Bruns,Jake Digiorgio,Milos Dugalic,Parker Joncus",3,0,1,6,3,3,0,0,0,0,8,3.9,0,3,0,2,6,4,2,0,0,0,1,1,10,0,2,2,0,3,1,4,2,2,-2,0,4,2,2,1,0,2,1,1
121,"Calvin Schmitz,Jake Bruns,Jake Digiorgio,Milos Dugalic,Zach Parduhn",1,0,2,5,3,2,2,1,1,0,8,3.9,1,3,1,1,5,3,2,0,0,0,2,0,7,1,2,1,1,1,1,3,2,1,1,0,3,1,2,3,1,2,2,0
134,"Calvin Schmitz,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",11,2,13,30,17,13,9,5,4,5,42,20.25,1,7,1,12,35,15,20,5,2,3,6,4,36,1,14,4,10,16,3,21,11,10,11,2,9,3,6,14,2,21,14,7
135,"Calvin Schmitz,Jake Digiorgio,Milos Dugalic,Otis Reale,Parker Joncus",3,0,5,7,3,4,0,0,0,1,8,5.4,0,0,0,4,7,2,5,2,2,0,1,0,6,1,3,0,3,4,2,4,2,2,2,0,3,2,1,5,2,4,1,3
147,"Jake Bruns,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",3,0,7,11,6,5,0,0,0,1,13,6.78333333333334,2,2,0,3,12,4,8,2,2,0,1,1,10,0,3,0,3,4,0,9,4,5,3,0,5,1,4,9,2,6,5,1
149,"Jake Bruns,Kohl Linder,Max Hisatake,Milos Dugalic,Otis Reale",1,0,3,5,3,2,2,2,0,3,9,3.7,1,0,1,1,4,2,2,1,0,1,2,0,4,0,1,0,1,1,2,3,2,1,5,1,1,1,0,4,2,4,2,2
152,"Jake Digiorgio,Max Hisatake,Milos Dugalic,Otis Reale,Parker Joncus",1,1,1,4,1,3,2,1,1,1,3,3.4166666666666696,0,3,1,2,5,3,2,2,2,0,4,1,10,2,2,2,0,3,1,3,1,2,-7,0,1,0,1,1,4,3,1,2
