Uploaded_Date,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score,Format_ID,Category_ID,Element_ID,Player_ID
2019-01-09,0.15,12.7,13.1,1.03,0.86,Excellent,5.6,4.2,9.8,0.43,0.55,0.08,0.16,0.12,0.46,1,2,1,152
2019-01-09,0.21,5.6,5.2,0.94,0.59,Good,2.9,1.6,4.5,0.37,0.51,0.08,0.12,0.1,0.39,1,2,2,152
2019-01-09,0.15,2.3,2.5,1.09,0.67,Very Good,1.1,0.9,2.1,0.45,0.57,0.03,0.09,0.06,0.47,1,2,2,152
2019-01-09,0.14,1.1,0.9,0.87,0.63,Good,0.4,0.3,0.7,0.4,0.4,0.13,0.2,0.2,0.47,1,2,5,152
2019-01-09,0.02,0.1,0.1,0.5,-,-,0.1,0,0.1,0,0,0,0.5,0.5,0.5,1,2,3,152
2019-01-09,0.14,0.7,1.1,1.6,0.97,Excellent,0.1,0.4,0.4,0.83,0.83,0.1,0.3,0.3,0.8,1,2,3,152
2019-01-09,0.21,1.1,1.6,1.47,0.95,Excellent,0.4,0.6,0.9,0.62,0.85,0.13,0,0,0.53,1,2,6,152
2019-01-09,0.05,0.2,0.4,2,-,-,0,0.1,0.1,1,1,0,0.67,0.33,1,1,2,6,152
2019-01-09,0.17,0.6,0.7,1.11,-,-,0.2,0.2,0.4,0.5,0.5,0,0.44,0.44,0.56,1,2,4,152
2019-01-09,0.18,0.2,0,0,-,-,0.1,0,0.1,0,0,0.33,0,0,0,1,2,8,152
2019-01-09,0.46,0.4,0.4,1,-,-,0.3,0.1,0.4,0.33,0.5,0,0,0,0.33,1,2,7,152
2019-01-09,0.05,0.4,0.1,0.4,-,-,0,0,0,-,-,0.4,0.6,0,0.4,1,2,7,152
2019-01-09,0.14,11.6,9.7,0.83,0.51,Good,5.1,3.4,8.5,0.4,0.47,0.18,0.1,0.07,0.37,1,2,1,148
2019-01-09,0.1,2.6,3,1.14,0.82,Very Good,1.3,1,2.3,0.44,0.59,0.08,0.08,0.05,0.43,1,2,2,148
2019-01-09,0.24,3.7,2.6,0.69,0.15,Below Average,2.2,0.9,3.1,0.3,0.34,0.1,0.06,0.04,0.31,1,2,2,148
2019-01-09,0.19,1.5,1.4,0.91,0.66,Very Good,0.6,0.4,1,0.43,0.43,0.1,0.24,0.19,0.48,1,2,5,148
2019-01-09,0.25,1.9,1.6,0.89,0.69,Very Good,0.4,0.5,0.9,0.54,0.58,0.35,0.15,0.15,0.42,1,2,3,148
2019-01-09,0.13,0.6,0.5,0.78,-,-,0.4,0.2,0.6,0.33,0.39,0,0,0,0.33,1,2,6,148
2019-01-09,0.06,0.3,0.1,0.5,-,-,0.1,0.1,0.2,0.33,0.33,0.25,0,0,0.25,1,2,6,148
2019-01-09,0.08,0.1,0.1,2,-,-,0,0.1,0.1,1,1,0,0,0,1,1,2,7,148
