Uploaded_Date,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score,Format_ID,Category_ID,Element_ID,Player_ID
2019-01-26,0.11,8.6,8.6,1.0,0.21,Below Average,3.2,2.8,6.0,0.47,0.59,0.21,0.12,0.09,0.42,2,2,1,190
2019-01-26,0.1,8.2,7.7,0.94,0.73,Very Good,3.8,2.2,6.0,0.37,0.49,0.15,0.14,0.09,0.39,1,2,1,190
2019-01-26,0.12,2.4,3.4,1.4,0.04,Poor,0.7,1.1,1.8,0.61,0.82,0.15,0.1,0.1,0.56,2,2,2,190
2019-01-26,0.16,2.9,3.8,1.32,0.95,Excellent,1.5,1.2,2.7,0.45,0.64,0.02,0.09,0.07,0.47,1,2,2,190
2019-01-26,0.1,1.1,1.1,0.96,0.49,Average,0.6,0.3,0.9,0.35,0.44,0.09,0.18,0.14,0.41,1,2,2,190
2019-01-26,0.28,3.0,3.1,1.03,0.16,Below Average,1.0,1.0,2.0,0.5,0.6,0.2,0.14,0.1,0.46,2,2,3,190
2019-01-26,0.09,0.8,0.2,0.25,0.03,Poor,0.4,0.1,0.5,0.11,0.11,0.38,0.06,0.06,0.13,1,2,3,190
2019-01-26,0.04,0.4,0.3,0.71,-,-,0.2,0.1,0.2,0.25,0.25,0.29,0.29,0.29,0.29,2,2,4,190
2019-01-26,0.25,1.2,1.1,0.92,0.48,Average,0.5,0.4,0.9,0.44,0.56,0.17,0.08,0.04,0.38,2,2,6,190
2019-01-26,0.16,1.2,0.8,0.65,0.21,Below Average,0.8,0.2,1.0,0.2,0.28,0.04,0.09,0.09,0.26,1,2,6,190
2019-01-26,0.07,0.5,0.6,1.22,-,-,0.1,0.2,0.2,0.75,0.75,0.22,0.33,0.33,0.67,1,2,6,190
2019-01-26,0.02,0.1,0.2,1.5,-,-,0.0,0.1,0.1,1,1,0.5,0.5,0.5,0.5,1,2,6,190
2019-01-26,0.26,1.2,0.5,0.39,0.9,Excellent,0.6,0.1,0.7,0.14,0.14,0.3,0.13,0.04,0.17,2,2,5,190
2019-01-26,0.06,0.3,0.3,1.0,-,-,0.2,0.1,0.2,0.25,0.38,0.0,0.2,0.0,0.4,1,2,5,190
2019-01-26,0.02,0.1,0.0,0.0,-,-,0.1,0.0,0.1,0,0,0.0,0.0,0.0,0.0,2,2,8,190
2019-01-26,0.02,0.1,0.1,2.0,-,-,0.0,0.1,0.1,1,1,0.0,0.0,0.0,1.0,1,2,8,190
2019-01-26,0.21,0.5,0.4,0.78,-,-,0.2,0.2,0.3,0.5,0.58,0.33,0.11,0.11,0.33,2,2,7,190
2019-01-26,0.35,0.7,0.3,0.36,0.05,Poor,0.4,0.1,0.5,0.22,0.28,0.36,0.0,0.0,0.14,1,2,7,190
2019-01-26,0.09,0.7,0.6,0.86,0.9,Excellent,0.0,0.1,0.1,1,1,0.5,0.43,0.07,0.5,1,2,7,190
2019-01-26,0.09,7.5,5.5,0.73,0.79,Very Good,4.1,1.9,6.0,0.32,0.4,0.15,0.06,0.06,0.3,2,2,1,187
2019-01-26,0.16,13.0,11.8,0.91,0.66,Very Good,5.2,3.9,9.1,0.43,0.51,0.18,0.14,0.08,0.41,1,2,1,187
2019-01-26,0.19,3.8,2.5,0.67,0.86,Excellent,2.2,0.8,3.0,0.27,0.4,0.17,0.04,0.04,0.24,2,2,2,187
2019-01-26,0.15,2.8,3.5,1.26,0.92,Excellent,1.4,1.3,2.6,0.48,0.64,0.04,0.02,0.0,0.47,1,2,2,187
2019-01-26,0.14,1.5,1.9,1.23,0.85,Excellent,0.6,0.7,1.2,0.54,0.63,0.1,0.17,0.13,0.53,1,2,2,187
2019-01-26,0.09,1.0,0.4,0.42,0.9,Excellent,0.6,0.2,0.8,0.25,0.25,0.16,0.0,0.0,0.21,2,2,3,187
2019-01-26,0.18,1.7,1.1,0.67,0.36,Average,0.7,0.4,1.0,0.35,0.43,0.3,0.09,0.06,0.3,1,2,3,187
2019-01-26,0.13,1.1,1.1,0.96,0.32,Average,0.6,0.4,1.0,0.4,0.4,0.0,0.14,0.14,0.46,2,2,4,187
2019-01-26,0.2,1.5,0.9,0.57,0.14,Poor,0.8,0.4,1.2,0.3,0.3,0.1,0.13,0.1,0.3,1,2,4,187
2019-01-26,0.13,0.6,0.7,1.08,0.32,Average,0.3,0.2,0.5,0.44,0.61,0.17,0.08,0.08,0.42,2,2,6,187
2019-01-26,0.08,0.6,0.3,0.5,0.09,Poor,0.5,0.1,0.6,0.17,0.25,0.0,0.0,0.0,0.17,1,2,6,187
2019-01-26,0.13,0.8,1.0,1.19,0.64,Good,0.2,0.4,0.6,0.67,0.67,0.06,0.19,0.19,0.63,1,2,6,187
2019-01-26,0.1,0.5,0.4,0.78,-,-,0.3,0.2,0.4,0.38,0.38,0.0,0.11,0.11,0.44,1,2,6,187
2019-01-26,0.13,0.6,0.4,0.64,0.67,Very Good,0.3,0.2,0.4,0.38,0.38,0.27,0.09,0.09,0.27,2,2,5,187
2019-01-26,0.28,1.1,1.1,0.96,0.75,Very Good,0.6,0.3,0.9,0.35,0.38,0.05,0.23,0.14,0.46,1,2,5,187
2019-01-26,0.06,0.2,0.0,0.0,-,-,0.1,0.0,0.1,0,0,0.67,0.0,0.0,0.0,2,2,8,187
2019-01-26,0.2,0.6,0.6,1.0,0.5,Average,0.3,0.2,0.5,0.44,0.5,0.17,0.17,0.17,0.42,1,2,8,187
2019-01-26,0.16,0.4,0.5,1.43,-,-,0.2,0.2,0.3,0.5,0.67,0.0,0.14,0.14,0.57,2,2,7,187
2019-01-26,0.13,0.3,0.4,1.4,-,-,0.1,0.1,0.2,0.67,0.83,0.2,0.2,0.2,0.6,1,2,7,187
2019-01-26,0.23,1.8,1.0,0.53,0.58,Good,0.1,0.1,0.1,0.5,0.5,0.64,0.31,0.03,0.33,1,2,7,187
2019-01-26,0.08,7.1,6.6,0.93,0.35,Average,3.3,2.4,5.7,0.43,0.51,0.11,0.1,0.09,0.42,2,2,1,178
2019-01-26,0.14,12.1,10.1,0.84,0.51,Good,5.5,3.4,8.8,0.38,0.42,0.14,0.15,0.12,0.4,1,2,1,178
2019-01-26,0.17,3.5,4.0,1.15,0.16,Below Average,1.5,1.4,2.9,0.47,0.62,0.09,0.09,0.09,0.47,2,2,2,178
2019-01-26,0.14,2.7,1.7,0.62,0.16,Below Average,1.8,0.6,2.4,0.26,0.33,0.1,0.02,0.02,0.25,1,2,2,178
2019-01-26,0.19,2.2,2.8,1.29,0.89,Excellent,0.6,0.8,1.4,0.59,0.67,0.1,0.31,0.29,0.64,1,2,2,178
2019-01-26,0.1,1.1,0.6,0.57,0.77,Very Good,0.5,0.3,0.7,0.36,0.36,0.24,0.14,0.1,0.29,2,2,3,178
2019-01-26,0.11,1.1,0.9,0.9,0.73,Very Good,0.4,0.4,0.7,0.5,0.54,0.2,0.1,0.1,0.45,1,2,3,178
2019-01-26,0.07,0.6,0.2,0.33,0.98,Excellent,0.4,0.1,0.5,0.22,0.22,0.17,0.08,0.08,0.17,2,2,4,178
2019-01-26,0.12,1.0,1.1,1.11,0.9,Excellent,0.4,0.4,0.7,0.5,0.5,0.05,0.21,0.11,0.58,1,2,4,178
2019-01-26,0.15,0.7,0.7,1.0,0.39,Average,0.4,0.3,0.7,0.46,0.5,0.0,0.07,0.07,0.5,2,2,6,178
2019-01-26,0.13,0.9,0.8,0.89,0.46,Average,0.5,0.3,0.8,0.4,0.43,0.11,0.17,0.17,0.39,1,2,6,178
2019-01-26,0.18,1.2,1.0,0.83,0.16,Below Average,0.6,0.4,1.0,0.42,0.42,0.13,0.09,0.09,0.39,1,2,6,178
2019-01-26,0.16,0.8,0.8,1.07,0.45,Average,0.4,0.3,0.6,0.42,0.42,0.0,0.27,0.27,0.53,1,2,6,178
2019-01-26,0.14,0.6,0.3,0.5,0.81,Very Good,0.3,0.1,0.4,0.25,0.25,0.17,0.17,0.08,0.33,2,2,5,178
2019-01-26,0.18,0.7,0.2,0.29,0.03,Poor,0.5,0.1,0.5,0.1,0.1,0.21,0.07,0.07,0.14,1,2,5,178
2019-01-26,0.06,0.2,0.4,2.33,-,-,0.0,0.2,0.2,1,1.17,0.0,0.0,0.0,1.0,2,2,8,178
2019-01-26,0.07,0.2,0.0,0.0,-,-,0.2,0.0,0.2,0,0,0.25,0.0,0.0,0.0,1,2,8,178
2019-01-26,0.16,0.4,0.4,1.0,-,-,0.2,0.1,0.3,0.33,0.42,0.0,0.14,0.14,0.43,2,2,7,178
2019-01-26,0.18,0.4,0.2,0.57,-,-,0.2,0.1,0.3,0.2,0.2,0.14,0.14,0.14,0.29,1,2,7,178
2019-01-26,0.1,0.8,0.4,0.5,0.56,Good,0.1,0.1,0.2,0.33,0.33,0.56,0.25,0.0,0.25,1,2,7,178
2019-01-26,0.08,6.5,5.0,0.76,0.73,Very Good,3.7,1.9,5.6,0.34,0.4,0.08,0.07,0.06,0.35,2,2,1,193
2019-01-26,0.15,12.4,14.7,1.18,0.97,Excellent,3.0,6.2,9.2,0.68,0.69,0.15,0.19,0.16,0.57,1,2,1,193
2019-01-26,0.11,2.2,2.4,1.07,0.26,Below Average,1.1,0.9,2.0,0.45,0.56,0.07,0.02,0.02,0.43,2,2,2,193
2019-01-26,0.05,0.9,0.6,0.71,0.26,Below Average,0.6,0.2,0.8,0.27,0.37,0.06,0.12,0.06,0.29,1,2,2,193
