Uploaded_Date,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score,Format_ID,Category_ID,Element_ID,Team_ID
2019-01-26,1,81.7,71.3,0.87,0.57,Good,33,25.1,58.1,0.43,0.5,0.18,0.13,0.09,0.4,2,1,1,6
2019-01-26,1,81.1,71.5,0.88,0.52,Good,32.4,25.7,58.1,0.44,0.5,0.18,0.13,0.09,0.41,1,10,1,6
2019-01-26,0.16,13.1,12.1,0.92,0.75,Very Good,5.2,4.3,9.5,0.45,0.5,0.14,0.16,0.13,0.44,2,1,9,6
2019-01-26,0.16,13.1,12.1,0.92,0.75,Very Good,5.2,4.3,9.5,0.45,0.5,0.14,0.16,0.13,0.44,2,2,9,6
2019-01-26,0.13,10.9,11.4,1.04,0.76,Very Good,3.7,3.9,7.6,0.52,0.57,0.15,0.19,0.17,0.5,1,2,9,6
2019-01-26,0.13,10.9,11.4,1.04,0.76,Very Good,3.7,3.9,7.6,0.52,0.57,0.15,0.19,0.17,0.5,1,10,9,6
2019-01-26,0.84,68.6,59.2,0.86,0.47,Average,27.8,20.8,48.6,0.43,0.5,0.18,0.13,0.08,0.4,2,1,10,6
2019-01-26,0.87,70.2,60.1,0.86,0.51,Good,28.8,21.8,50.6,0.43,0.49,0.18,0.13,0.08,0.39,1,10,10,6
2019-01-26,0.05,4,4.1,1.04,0.02,Poor,1.8,1.5,3.3,0.46,0.55,0.1,0.06,0.04,0.44,2,1,11,6
2019-01-26,0.04,2.9,1.5,0.51,0.12,Poor,1.9,0.5,2.4,0.21,0.25,0.11,0.07,0.05,0.23,1,10,11,6
2019-01-26,0.09,5.9,5.5,0.92,0.24,Below Average,2.6,2.1,4.6,0.45,0.52,0.16,0.08,0.07,0.41,2,1,12,6
2019-01-26,0.08,5.3,4.3,0.81,0.46,Average,2.3,1.7,4,0.43,0.46,0.14,0.12,0.08,0.39,1,10,12,6
2019-01-26,0.05,3.3,3.1,0.94,0.22,Below Average,1.4,1.1,2.5,0.44,0.51,0.12,0.12,0.09,0.43,2,1,13,6
2019-01-26,0.05,3.4,2.3,0.67,0.23,Below Average,1.7,0.9,2.5,0.34,0.37,0.19,0.08,0.05,0.31,1,10,13,6
