GP,Min,SST,SSTexPts,Pts,Ast,TO,Ast_Turnover_Ratio,Stl,StlPos,Blk,TtlReb,OffReb,DefReb,FGA,FG_Made,FG_miss,FG,adjusted_FG,Two_FGA,Two_FG_Made,Two_FG_miss,Two_FG,Three_FGA,Three_FG_Made,Three_FG_miss,Three_FG,FTA,FT_Made,FT_miss,FT,AndOne,PFTkn,PFCom,Uploaded_Date,Player_ID,Team_ID
16,15.6,0.73,0.43,3.6,0.4,0.6,0.7,1.3,0.4,0.1,3.4,0.8,2.6,3.8,1.4,2.4,0.36,0.41,1.9,1,0.9,0.52,1.9,0.4,1.5,0.2,0.6,0.4,0.1,0.78,0,0.4,2.2,2019-01-30,22,3
15,14.3,0.58,0.33,1.9,1.3,0.7,1.82,0.9,0.3,0,1.6,0.1,1.5,1.9,0.5,1.3,0.29,0.29,1.5,0.5,1,0.35,0.3,0,0.3,0,1.5,0.8,0.7,0.52,0.1,1,0.8,2019-01-30,23,3
17,17.4,0.67,0.39,3.6,4,2.1,1.89,0.6,1.1,0,1.4,0.4,1,3.9,1.4,2.6,0.34,0.37,2.8,1.1,1.6,0.4,1.2,0.2,0.9,0.2,1.2,0.6,0.6,0.52,0.2,1.2,0.4,2019-01-30,24,3
17,26.2,1.12,0.39,11.6,2.8,1.2,2.29,1.2,1.1,0.2,3.8,0.5,3.3,7.7,3.8,3.9,0.5,0.65,2.4,1.5,0.9,0.61,5.3,2.4,2.9,0.44,2.2,1.6,0.6,0.73,0.4,1.8,1.9,2019-01-30,25,3
17,16.2,0.92,0.19,8,0.3,2,0.15,0.6,0.8,0.3,3.4,1.2,2.2,6.9,3.4,3.6,0.48,0.5,6.1,3.1,3,0.51,0.8,0.2,0.6,0.29,1.9,1.1,0.8,0.56,0.4,2.1,2.6,2019-01-30,26,3
6,2.2,0.11,0.31,0,0.3,0.2,2,0.2,0,0,0,0,0,0.5,0,0.5,0,0,0.3,0,0.3,0,0.2,0,0.2,0,0,0,0,-,0,0,0,2019-01-30,27,3
5,1.4,0.21,0.14,0.4,0,0,-,0,0,0,0.2,0,0.2,0.8,0.2,0.6,0.25,0.25,0.6,0.2,0.4,0.33,0.2,0,0.2,0,0,0,0,-,0,0,0.2,2019-01-30,28,3
16,13.4,0.87,0.4,4,0.8,0.6,1.33,1,0.4,0.3,1.9,0.4,1.5,3.4,1.5,1.9,0.44,0.48,2.2,1.2,1.1,0.53,1.2,0.3,0.9,0.26,1.1,0.7,0.4,0.61,0.1,1.1,1.6,2019-01-30,29,3
9,5.2,0.55,0.26,1.1,0.1,0.6,0.2,0.3,0.1,0,1.1,0.4,0.7,0.7,0.4,0.2,0.67,0.83,0.3,0.2,0.1,0.67,0.3,0.2,0.1,0.67,0,0,0,-,0,0,0.2,2019-01-30,30,3
17,8.6,1.08,0.38,3.6,0.3,0.4,0.71,0.1,0.2,0.1,2.1,0.9,1.1,2.8,1.4,1.4,0.51,0.51,2.8,1.4,1.4,0.51,0,0,0,-,1.6,0.8,0.8,0.48,0.2,1.2,1.1,2019-01-30,31,3
4,1.5,0.7,0.83,0,0,0,-,0,0,0.2,0.5,0.2,0.2,0.2,0,0.2,0,0,0,0,0,-,0.2,0,0.2,0,0,0,0,-,0,0,0.2,2019-01-30,32,3
