Team_Name,Player_Name,GP,Min,SST,SSTexPts,Pts,Ast,TO,Ast_Turnover_Ratio,Stl,StlPos,Blk,TtlReb,OffReb,DefReb,FGA,FG_Made,FG_miss,FG,adjusted_FG,Two_FGA,Two_FG_Made,Two_FG_miss,Two_FG,Three_FGA,Three_FG_Made,Three_FG_miss,Three_FG,FTA,FT_Made,FT_miss,FT,AndOne,PFTkn,PFCom,Uploaded_Date
Concordia (WI) Falcons,Noah Gosse,16,15.6,0.73,0.43,3.6,0.4,0.6,0.70,1.3,0.4,0.1,3.4,0.8,2.6,3.8,1.4,2.4,36.1%,41%,1.9,1,0.9,51.6%,1.9,0.4,1.5,20%,0.6,0.4,0.1,77.8%,0,0.4,2.2,2019-01-30
Concordia (WI) Falcons,Isaiah Tenette,15,14.3,0.58,0.33,1.9,1.3,0.7,1.82,0.9,0.3,0,1.6,0.1,1.5,1.9,0.5,1.3,28.6%,28.6%,1.5,0.5,1,34.8%,0.3,0,0.3,0%,1.5,0.8,0.7,52.2%,0.1,1,0.8,2019-01-30
Concordia (WI) Falcons,Jared Jurss,17,17.4,0.67,0.39,3.6,4,2.1,1.89,0.6,1.1,0,1.4,0.4,1,3.9,1.4,2.6,34.3%,37.3%,2.8,1.1,1.6,40.4%,1.2,0.2,0.9,20%,1.2,0.6,0.6,52.4%,0.2,1.2,0.4,2019-01-30
Concordia (WI) Falcons,Jake Jurss,17,26.2,1.12,0.39,11.6,2.8,1.2,2.29,1.2,1.1,0.2,3.8,0.5,3.3,7.7,3.8,3.9,49.6%,64.9%,2.4,1.5,0.9,61%,5.3,2.4,2.9,44.4%,2.2,1.6,0.6,73%,0.4,1.8,1.9,2019-01-30
Concordia (WI) Falcons,George Olalekan,17,16.2,0.92,0.19,8,0.3,2,0.15,0.6,0.8,0.3,3.4,1.2,2.2,6.9,3.4,3.6,48.3%,50%,6.1,3.1,3,51%,0.8,0.2,0.6,28.6%,1.9,1.1,0.8,56.2%,0.4,2.1,2.6,2019-01-30
Concordia (WI) Falcons,Nolan Rhey,6,2.2,0.11,0.31,0,0.3,0.2,2,0.2,0,0,0,0,0,0.5,0,0.5,0%,0%,0.3,0,0.3,0%,0.2,0,0.2,0%,0,0,0,-,0,0,0,2019-01-30
Concordia (WI) Falcons,Michael Campbell,5,1.4,0.21,0.14,0.4,0,0,-,0,0,0,0.2,0,0.2,0.8,0.2,0.6,25%,25%,0.6,0.2,0.4,33.3%,0.2,0,0.2,0%,0,0,0,-,0,0,0.2,2019-01-30
Concordia (WI) Falcons,Joey Zietlow,16,13.4,0.87,0.40,4,0.8,0.6,1.33,1,0.4,0.3,1.9,0.4,1.5,3.4,1.5,1.9,43.6%,48.2%,2.2,1.2,1.1,52.8%,1.2,0.3,0.9,26.3%,1.1,0.7,0.4,61.1%,0.1,1.1,1.6,2019-01-30
Concordia (WI) Falcons,Braden Persinger,9,5.2,0.55,0.26,1.1,0.1,0.6,0.20,0.3,0.1,0,1.1,0.4,0.7,0.7,0.4,0.2,66.7%,83.3%,0.3,0.2,0.1,66.7%,0.3,0.2,0.1,66.7%,0,0,0,-,0,0,0.2,2019-01-30
Concordia (WI) Falcons,Brandon Keller,1,8,0.16,0,2,0,0,-,0,0,0,0,0,0,3,1,2,33.3%,33.3%,3,1,2,33.3%,0,0,0,-,0,0,0,-,0,0,3,2019-01-30
Concordia (WI) Falcons,Keller Brandon,17,8.6,1.08,0.38,3.6,0.3,0.4,0.71,0.1,0.2,0.1,2.1,0.9,1.1,2.8,1.4,1.4,51.1%,51.1%,2.8,1.4,1.4,51.1%,0,0,0,-,1.6,0.8,0.8,48.2%,0.2,1.2,1.1,2019-01-30
Concordia (WI) Falcons,Camden Flowers,4,1.5,0.70,0.83,0,0,0,-,0,0,0.2,0.5,0.2,0.2,0.2,0,0.2,0%,0%,0,0,0,-,0.2,0,0.2,0%,0,0,0,-,0,0,0.2,2019-01-30
