Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Player_Name,Pts,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm
0,0,0,0,0,0,0,0,0,0,7,1,0,Matty Farner,0,2,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,4,2,2,0,0,0,0,7,1,0,Collin Kennedy,4,0,Wisconsin Lutheran Warriors,0,0,0,0,0,4,2,2
1,0,1,0,0,0,0,0,0,0,7,1,0,Colin Biesterfeld,0,0,Wisconsin Lutheran Warriors,0,0,0,1,2,0,0,0
0,0,1,2,2,0,0,0,0,0,7,1,0,Caleb Goldstein,4,0,Wisconsin Lutheran Warriors,0,0,0,1,0,2,2,0
0,0,0,0,0,0,0,0,0,0,7,1,0,Andrew Bruggink,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,7,2,0,Matty Farner,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,0,0,7,2,0,Collin Kennedy,2,2,Wisconsin Lutheran Warriors,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,7,2,0,Caleb Goldstein,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,7,2,0,Andrew Bruggink,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,7,2,0,Vancrete Alex,2,0,Wisconsin Lutheran Warriors,0,0,0,0,0,1,1,0
1,0,0,2,2,0,0,0,0,0,7,3,0,Collin Kennedy,6,0,Wisconsin Lutheran Warriors,2,2,0,0,1,0,0,0
0,0,0,2,1,1,0,0,0,0,7,3,0,Caleb Goldstein,3,1,Wisconsin Lutheran Warriors,1,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,7,3,0,Andrew Bruggink,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,7,3,0,Vancrete Alex,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,7,3,0,Sam Kaufman,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,7,4,0,Collin Kennedy,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,7,4,0,Andrew Bruggink,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,7,4,0,Vancrete Alex,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,2,7,4,0,Sam Kaufman,2,0,Wisconsin Lutheran Warriors,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,7,4,0,Colin Biesterfeld,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,7,4,0,Randy Johnson,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,7,5,0,Collin Kennedy,0,0,Wisconsin Lutheran Warriors,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,7,5,0,Andrew Bruggink,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,7,5,0,Vancrete Alex,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,7,5,0,Colin Biesterfeld,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,7,5,0,Randy Johnson,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,7,5,0,Matty Farner,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,7,6,0,Collin Kennedy,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,7,6,0,Andrew Bruggink,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,7,6,0,Vancrete Alex,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,7,6,0,Colin Biesterfeld,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,7,6,0,Randy Johnson,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,7,6,0,Zuleger Zach,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,7,7,0,Collin Kennedy,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
