Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Player_Name,Pts,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm
2,1,0,0,0,0,0,0,0,0,1,1,0,Kenny Bogus,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,1,2,2,0,0,0,0,0,1,1,0,Eric Grygo,4,1,Benedictine (IL) Eagles,0,0,0,1,1,2,2,0
0,0,2,4,1,3,0,0,0,0,1,1,0,Bryan Jacobsze,2,0,Benedictine (IL) Eagles,2,0,2,2,0,2,1,1
0,0,1,1,0,1,0,0,0,0,1,1,0,Jaquan Phipps,0,1,Benedictine (IL) Eagles,0,0,0,1,0,1,0,1
0,0,1,0,0,0,0,0,0,1,1,1,0,Kyle Graebner,0,0,Benedictine (IL) Eagles,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,2,0,Kenny Bogus,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,1,1,0,1,0,0,0,0,1,2,0,Eric Grygo,0,0,Benedictine (IL) Eagles,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,2,0,Bryan Jacobsze,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,1,2,0,Kyle Graebner,0,0,Benedictine (IL) Eagles,1,0,1,0,0,0,0,0
0,1,0,1,1,0,0,0,0,0,1,2,1,Kyle Hornacek,2,0,Benedictine (IL) Eagles,0,0,0,1,0,1,1,0
0,0,0,2,2,0,0,0,0,0,1,3,0,Kenny Bogus,5,0,Benedictine (IL) Eagles,1,1,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,1,3,0,Eric Grygo,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,0,1,1,3,1,Kyle Hornacek,0,0,Benedictine (IL) Eagles,1,0,1,1,0,0,0,0
1,0,0,1,0,1,0,0,0,0,1,3,0,Marques Barnes,0,0,Benedictine (IL) Eagles,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,3,0,Carl Singletary,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,4,0,Kyle Hornacek,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,4,0,Marques Barnes,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,4,0,Carl Singletary,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,4,0,Bryan Jacobsze,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,2,0,2,0,0,0,0,1,4,0,Collin Mergl,0,0,Benedictine (IL) Eagles,1,0,1,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,1,5,0,Kyle Hornacek,0,1,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,1,5,0,Marques Barnes,3,0,Benedictine (IL) Eagles,1,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,5,0,Bryan Jacobsze,0,0,Benedictine (IL) Eagles,0,0,0,1,1,0,0,0
0,0,0,1,0,1,0,0,0,0,1,5,0,Collin Mergl,0,0,Benedictine (IL) Eagles,1,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,5,0,Derrick Faulkner,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,6,0,Bryan Jacobsze,0,0,Benedictine (IL) Eagles,0,0,0,1,0,0,0,0
0,0,0,1,0,1,0,0,0,0,1,6,0,Derrick Faulkner,0,0,Benedictine (IL) Eagles,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,1,6,0,Kenny Bogus,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,6,0,Eric Grygo,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,6,0,Kyle Graebner,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,1,3,0,3,0,0,0,0,1,7,0,Bryan Jacobsze,0,0,Benedictine (IL) Eagles,2,0,2,1,0,1,0,1
0,0,1,1,0,1,0,0,0,0,1,7,0,Kenny Bogus,0,0,Benedictine (IL) Eagles,0,0,0,1,0,1,0,1
0,0,1,0,0,0,0,0,0,0,1,7,1,Eric Grygo,0,0,Benedictine (IL) Eagles,0,0,0,2,0,0,0,0
0,0,0,0,0,0,2,2,0,0,1,7,0,Kyle Graebner,2,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,7,0,Jaquan Phipps,0,0,Benedictine (IL) Eagles,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,8,0,Kenny Bogus,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,8,0,Eric Grygo,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,8,0,Kyle Graebner,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,8,0,Jaquan Phipps,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,8,0,Kyle Hornacek,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,9,0,Kenny Bogus,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,9,1,Eric Grygo,0,0,Benedictine (IL) Eagles,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,9,0,Kyle Graebner,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,1,9,0,Kyle Hornacek,0,0,Benedictine (IL) Eagles,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0,1,9,0,Carl Singletary,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,10,0,Kenny Bogus,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,1,10,0,Eric Grygo,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,10,0,Kyle Graebner,0,0,Benedictine (IL) Eagles,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,1,10,0,Carl Singletary,2,0,Benedictine (IL) Eagles,0,0,0,0,0,1,1,0
