Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
1,1,7,11,6,5,2,1,1,0,20.0,3,1,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Milos Dugalic,Parker Joncus",13,4.85,3,0,0,2,7,0,7,0,0,0,1,0,0,0,4,0,4,2,2,3,0,3,13,1,Illinois Tech Scarlet Hawks,2,0,2,15.15,10,1,9,6,3,1
0,0,0,1,0,1,0,0,0,1,15.15,3,2,"Calvin Schmitz,Cody Mattson,Jake Bruns,Jake Digiorgio,Zach Parduhn",0,1.5,1,1,0,0,1,1,0,2,1,1,1,0,4,1,1,1,0,0,0,0,0,0,-4,0,Illinois Tech Scarlet Hawks,0,0,0,13.65,1,1,1,0,1,1
0,0,0,1,1,0,0,0,0,0,13.65,3,3,"Calvin Schmitz,Cody Mattson,Jake Bruns,Ricardo Whitehead,Zach Parduhn",2,0.9666666666666668,0,1,0,0,1,1,0,0,0,0,0,0,3,1,1,1,0,0,1,0,0,0,-1,1,Illinois Tech Scarlet Hawks,0,0,0,12.683333333333334,0,1,1,1,0,1
0,0,1,1,1,0,0,0,0,0,12.683333333333334,3,4,"Anthony Mosley,Calvin Schmitz,Cody Mattson,Jake Bruns,Ricardo Whitehead",2,0.8499999999999996,0,1,0,0,2,1,1,0,0,0,1,0,2,1,0,0,0,0,0,2,1,1,0,0,Illinois Tech Scarlet Hawks,0,0,0,11.833333333333334,1,1,1,1,0,1
0,0,0,1,0,1,0,0,0,0,11.833333333333334,3,5,"Ahmad Muhammad,Anthony Mosley,Calvin Schmitz,Cody Mattson,Jake Digiorgio",0,1.1166666666666671,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,-2,0,Illinois Tech Scarlet Hawks,0,0,0,10.716666666666667,0,1,1,0,1,1
2,0,2,7,4,3,0,0,0,0,10.716666666666667,3,6,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Milos Dugalic,Parker Joncus",9,3.333333333333333,1,0,0,1,7,1,6,0,0,0,1,2,2,0,4,0,4,3,1,3,1,2,7,0,Illinois Tech Scarlet Hawks,1,1,0,7.383333333333334,3,0,6,3,3,1
0,0,1,1,1,0,0,0,0,0,7.383333333333334,3,7,"Ahmad Muhammad,Anthony Mosley,Capriest Gardner,Jake Digiorgio,Parker Joncus",2,0.8833333333333337,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,2,0,Illinois Tech Scarlet Hawks,0,0,0,6.5,1,1,1,1,0,1
0,0,1,2,1,1,0,0,0,2,6.5,3,8,"Ahmad Muhammad,Anthony Mosley,Capriest Gardner,Kohl Linder,Parker Joncus",2,1.5166666666666666,0,0,0,0,3,1,2,1,0,1,0,2,2,0,0,0,0,2,0,3,1,2,0,0,Illinois Tech Scarlet Hawks,0,0,0,4.983333333333333,1,0,2,1,1,1
1,0,0,1,1,0,0,0,0,1,4.983333333333333,3,9,"Ahmad Muhammad,Anthony Mosley,Capriest Gardner,Jake Digiorgio,Parker Joncus",2,0.8166666666666664,0,1,0,0,2,2,0,0,0,0,0,0,5,0,1,1,0,0,0,1,1,0,-3,0,Illinois Tech Scarlet Hawks,0,0,0,4.166666666666667,0,1,1,1,0,1
1,0,2,1,1,0,0,0,0,0,4.166666666666667,3,10,"Brett Ott,Capriest Gardner,Jake Bruns,Jake Digiorgio,Parker Joncus",2,1.666666666666667,0,1,0,0,3,1,2,0,0,0,0,0,3,1,2,1,1,0,0,1,0,1,-1,0,Illinois Tech Scarlet Hawks,0,0,0,2.5,2,2,1,1,0,1
0,0,0,0,0,0,0,0,0,2,2.5,3,11,"Anthony Mosley,Jake Bruns,Jake Digiorgio,Milos Dugalic,Parker Joncus",0,0.21666666666666679,0,0,0,0,1,1,0,1,1,0,0,0,3,1,0,0,0,0,0,1,1,0,-3,0,Illinois Tech Scarlet Hawks,0,0,0,2.283333333333333,0,1,0,0,0,1
1,0,2,4,2,2,2,2,0,2,2.283333333333333,3,12,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Milos Dugalic,Parker Joncus",8,2.283333333333333,1,0,0,1,2,0,2,4,4,0,2,0,4,0,0,0,0,1,1,2,0,2,0,0,Illinois Tech Scarlet Hawks,2,2,0,0.0,3,0,2,0,2,1
1,1,4,9,5,4,1,0,1,2,20.0,3,13,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Milos Dugalic,Parker Joncus",11,4.416666666666666,3,2,0,1,8,3,5,0,0,0,2,0,7,0,3,1,2,1,0,5,2,3,4,0,Illinois Tech Scarlet Hawks,1,1,0,15.583333333333334,7,1,8,4,4,2
0,0,0,0,0,0,0,0,0,0,15.583333333333334,3,14,"Ahmad Muhammad,Anthony Mosley,Calvin Schmitz,Jake Digiorgio,Milos Dugalic",0,0.31666666666666643,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Illinois Tech Scarlet Hawks,0,0,0,15.266666666666667,0,0,0,0,0,2
