Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
1,0,1,10,3,7,0,0,0,2,20.0,5,1,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Max Hisatake,Parker Joncus",7,3.2333333333333343,4,1,0,1,4,3,1,0,0,0,1,0,7,0,1,1,0,1,1,3,2,1,0,0,Illinois Tech Scarlet Hawks,4,1,3,16.766666666666666,5,1,6,2,4,1
1,0,1,2,2,0,0,0,0,1,16.766666666666666,5,2,"Ahmad Muhammad,Anthony Mosley,Capriest Gardner,Max Hisatake,Milos Dugalic",5,1.4999999999999982,0,0,0,0,2,1,1,2,2,0,0,0,4,0,0,0,0,0,0,2,1,1,1,0,Illinois Tech Scarlet Hawks,1,1,0,15.266666666666667,1,0,1,1,0,1
0,0,1,1,0,1,2,2,0,1,15.266666666666667,5,3,"Anthony Mosley,Capriest Gardner,Jake Digiorgio,Milos Dugalic,Otis Reale",2,1.0166666666666675,0,0,0,1,2,0,2,0,0,0,1,1,0,0,1,0,1,2,1,1,0,1,2,0,Illinois Tech Scarlet Hawks,0,0,0,14.25,1,1,1,0,1,1
0,0,2,2,1,1,0,0,0,0,14.25,5,4,"Ahmad Muhammad,Capriest Gardner,Jake Digiorgio,Milos Dugalic,Zach Parduhn",2,1.2666666666666675,0,0,1,1,2,0,2,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,2,0,Illinois Tech Scarlet Hawks,0,0,0,12.983333333333333,2,0,2,1,1,1
0,0,1,1,1,0,0,0,0,1,12.983333333333333,5,5,"Ahmad Muhammad,Calvin Schmitz,Jake Digiorgio,Max Hisatake,Zach Parduhn",2,1.0999999999999996,0,1,0,0,2,1,1,0,0,0,0,0,3,0,1,1,0,0,0,1,0,1,-1,0,Illinois Tech Scarlet Hawks,0,0,0,11.883333333333333,1,0,1,1,0,1
1,0,2,5,2,3,1,1,0,1,11.883333333333333,5,6,"Ahmad Muhammad,Anthony Mosley,Calvin Schmitz,Jake Digiorgio,Max Hisatake",5,2.283333333333333,0,0,0,1,2,0,2,0,0,0,1,0,0,0,0,0,0,1,2,2,0,2,5,0,Illinois Tech Scarlet Hawks,2,0,2,9.6,2,0,3,2,1,1
0,1,1,1,0,1,0,0,0,1,9.6,5,7,"Anthony Mosley,Calvin Schmitz,Jake Digiorgio,Max Hisatake,Parker Joncus",0,0.5499999999999989,1,0,0,0,1,0,1,2,1,1,0,0,1,1,0,0,0,0,0,1,0,1,-1,0,Illinois Tech Scarlet Hawks,0,0,0,9.05,2,1,1,0,1,1
0,0,1,4,1,3,0,0,0,2,9.05,5,8,"Anthony Mosley,Calvin Schmitz,Jake Digiorgio,Parker Joncus,Ricardo Whitehead",2,1.7333333333333343,3,0,0,0,3,1,2,2,1,1,0,1,3,1,2,0,2,1,0,1,1,0,-1,0,Illinois Tech Scarlet Hawks,0,0,0,7.316666666666666,4,2,4,1,3,1
0,0,1,1,0,1,0,0,0,1,7.316666666666666,5,9,"Anthony Mosley,Capriest Gardner,Jake Digiorgio,Max Hisatake,Parker Joncus",0,0.9833333333333334,0,0,0,1,1,0,1,2,1,1,0,0,1,0,0,0,0,1,0,1,0,1,-1,0,Illinois Tech Scarlet Hawks,0,0,0,6.333333333333333,1,1,1,0,1,1
2,1,2,6,4,2,1,1,0,1,6.333333333333333,5,10,"Ahmad Muhammad,Anthony Mosley,Capriest Gardner,Max Hisatake,Parker Joncus",9,3.6166666666666663,0,1,0,2,6,2,4,2,1,1,3,1,6,0,2,1,1,3,0,4,1,3,3,1,Illinois Tech Scarlet Hawks,1,0,1,2.716666666666667,2,1,5,4,1,1
