Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
3,0,2,9,3,6,2,2,0,4,20.0,17,1,"Brandon James,Demetrius Pointer,Marquis Howard,Max Vickers,Ty Carlson",11,5.2666666666666675,2,2,2,2,6,4,2,3,3,0,2,0,12,0,2,1,1,2,1,4,3,1,-1,1,Aurora University,5,3,2,14.733333333333333,4,0,4,0,4,1
0,0,2,7,1,6,2,2,0,2,14.733333333333333,17,2,"Bailey Vance,Jesse Young,Max Vickers,Terrell Wilson,Ty Carlson",4,3.333333333333332,1,0,2,3,4,2,2,2,0,2,3,0,4,0,1,0,1,3,1,3,2,1,0,1,Aurora University,3,0,3,11.4,3,0,4,1,3,1
0,0,0,2,0,2,0,0,0,1,11.4,17,3,"Bailey Vance,Garrett Hoffman,Jarek Hotwagner,Jesse Young,Terrell Wilson",0,1.0166666666666675,0,1,0,2,3,3,0,1,1,0,1,0,8,0,1,1,0,2,0,2,2,0,-8,0,Aurora University,0,0,0,10.383333333333333,0,0,2,0,2,1
1,1,1,5,1,4,2,2,0,1,10.383333333333333,17,4,"Bailey Vance,Deante Walker,Garrett Hoffman,Jarek Hotwagner,Jesse Young",4,3.6166666666666663,0,2,0,3,4,2,2,2,2,0,1,0,7,0,2,1,1,3,1,2,1,1,-3,1,Aurora University,0,0,0,6.766666666666667,1,0,5,1,4,1
1,0,2,4,1,3,0,0,0,2,6.766666666666667,17,5,"Bailey Vance,Garrett Hoffman,Max Vickers,Rashad Johnson,Ty Carlson",2,2.75,1,1,1,1,4,1,3,4,3,1,0,2,6,2,2,1,1,3,1,2,0,2,-4,0,Aurora University,2,0,2,4.016666666666667,3,3,2,1,1,1
0,0,0,2,2,0,1,0,1,0,4.016666666666667,17,6,"Bailey Vance,Jesse Young,Max Vickers,Rashad Johnson,Ty Carlson",5,1.1333333333333333,0,1,0,1,1,1,0,0,0,0,1,0,2,0,0,0,0,1,1,1,1,0,3,0,Aurora University,1,1,0,2.8833333333333333,0,0,1,1,0,1
0,0,3,4,2,2,0,0,0,0,2.8833333333333333,17,7,"Bailey Vance,Brandon James,Jesse Young,Max Vickers,Rashad Johnson",5,2.85,1,1,0,2,5,1,4,0,0,0,0,0,3,1,3,1,2,2,1,2,0,2,2,0,Aurora University,2,1,1,0.03333333333333333,4,1,2,1,1,1
0,0,0,1,0,1,0,0,0,0,0.03333333333333333,17,8,"Bailey Vance,Brandon James,Jesse Young,Max Vickers,Ty Carlson",0,0.03333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aurora University,1,0,1,0.0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,20.0,17,9,"Brandon James,Demetrius Pointer,Marquis Howard,Max Vickers,Ty Carlson",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aurora University,0,0,0,20.0,0,0,0,0,0,2
1,0,4,10,3,7,6,6,0,3,20.0,17,10,"Bailey Vance,Jesse Young,Max Vickers,Terrell Wilson,Ty Carlson",12,6.933333333333334,1,2,1,5,8,3,5,2,1,1,5,1,9,0,6,2,4,6,4,2,1,1,3,2,Aurora University,1,0,1,13.066666666666666,5,1,9,3,6,2
0,0,1,0,0,0,4,3,1,0,13.066666666666666,17,11,"Bailey Vance,Garrett Hoffman,Jesse Young,Max Vickers,Terrell Wilson",3,1.083333333333334,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,3,0,Aurora University,0,0,0,11.983333333333333,1,1,0,0,0,2
1,0,0,3,2,1,0,0,0,3,11.983333333333333,17,12,"Bailey Vance,Garrett Hoffman,Jarek Hotwagner,Jesse Young,Terrell Wilson",6,2.333333333333332,0,1,0,1,2,2,0,1,1,0,0,0,6,1,1,1,0,1,3,1,1,0,0,2,Aurora University,3,2,1,9.65,0,1,0,0,0,2
2,0,3,5,2,3,1,0,1,0,9.65,17,13,"Bailey Vance,Garrett Hoffman,Jarek Hotwagner,Terrell Wilson,Ty Carlson",5,3.2333333333333334,1,0,2,2,5,1,4,0,0,0,1,1,2,1,3,0,3,3,1,2,1,1,3,0,Aurora University,2,1,1,6.416666666666667,4,2,3,1,2,2
1,0,3,10,4,6,6,4,2,2,6.416666666666667,17,14,"Bailey Vance,Jesse Young,Max Vickers,Terrell Wilson,Ty Carlson",13,6.416666666666667,4,1,1,1,5,2,3,4,3,1,4,0,8,0,3,1,2,1,3,2,1,1,0,0,Aurora University,4,1,3,0.0,7,0,6,3,3,2
