Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
2,2,2,5,4,1,3,3,0,1,20.0,17,1,"Calvin Schmitz,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",12,4.5166666666666675,0,3,0,1,8,3,5,2,2,0,4,2,11,1,4,3,1,3,0,4,0,4,1,0,Illinois Tech Scarlet Hawks,2,1,1,15.483333333333333,2,1,3,3,0,1
0,0,0,1,0,1,0,0,0,3,15.483333333333333,17,2,"Jake Bruns,Jake Digiorgio,Max Hisatake,Milos Dugalic,Otis Reale",0,0.9333333333333318,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,Illinois Tech Scarlet Hawks,0,0,0,14.55,0,0,1,0,1,1
0,1,0,1,0,1,0,0,0,0,14.55,17,3,"Calvin Schmitz,Jake Digiorgio,Max Hisatake,Milos Dugalic,Otis Reale",0,0.9166666666666679,0,0,0,0,3,0,3,0,0,0,1,1,0,0,3,0,3,1,0,0,0,0,0,0,Illinois Tech Scarlet Hawks,0,0,0,13.633333333333333,0,0,1,0,1,1
0,1,3,3,2,1,2,0,2,1,13.633333333333333,17,4,"Ahmad Muhammad,Calvin Schmitz,Jake Digiorgio,Milos Dugalic,Parker Joncus",4,2.2333333333333325,0,0,0,2,4,1,3,2,2,0,1,0,4,1,0,0,0,2,0,4,1,3,0,0,Illinois Tech Scarlet Hawks,1,0,1,11.4,3,1,2,2,0,1
1,0,2,2,2,0,1,1,0,1,11.4,17,5,"Calvin Schmitz,Max Hisatake,Milos Dugalic,Otis Reale,Parker Joncus",6,1.0166666666666675,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,6,0,Illinois Tech Scarlet Hawks,1,1,0,10.383333333333333,2,0,1,1,0,1
0,0,0,2,1,1,0,0,0,1,10.383333333333333,17,6,"Calvin Schmitz,Cody Mattson,Max Hisatake,Otis Reale,Parker Joncus",2,1.2833333333333332,0,1,1,1,2,1,1,2,2,0,0,0,4,1,0,0,0,1,0,2,1,1,-2,0,Illinois Tech Scarlet Hawks,0,0,0,9.1,0,1,2,1,1,1
0,0,0,0,0,0,2,2,0,0,9.1,17,7,"Ahmad Muhammad,Cody Mattson,Max Hisatake,Otis Reale,Parker Joncus",2,0.1999999999999993,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,Illinois Tech Scarlet Hawks,0,0,0,8.9,0,0,0,0,0,1
2,0,3,3,2,1,0,0,0,0,8.9,17,8,"Ahmad Muhammad,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",5,2.5166666666666666,0,1,0,0,4,1,3,0,0,0,0,0,2,0,0,0,0,0,0,4,1,3,3,0,Illinois Tech Scarlet Hawks,2,1,1,6.383333333333334,3,0,1,1,0,1
1,0,1,1,1,0,0,0,0,0,6.383333333333334,17,9,"Ahmad Muhammad,Jake Digiorgio,Milos Dugalic,Otis Reale,Parker Joncus",3,0.8166666666666673,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,Illinois Tech Scarlet Hawks,1,1,0,5.566666666666666,1,1,0,0,0,1
0,1,0,3,0,3,4,3,1,0,5.566666666666666,17,10,"Ahmad Muhammad,Jake Digiorgio,Max Hisatake,Milos Dugalic,Otis Reale",3,1.5499999999999998,2,0,0,2,2,0,2,0,0,0,2,1,0,0,1,0,1,3,3,1,0,1,3,2,Illinois Tech Scarlet Hawks,1,0,1,4.016666666666667,2,0,2,0,2,1
1,0,1,1,1,0,0,0,0,1,4.016666666666667,17,11,"Ahmad Muhammad,Calvin Schmitz,Jake Digiorgio,Max Hisatake,Otis Reale",2,1.1333333333333333,0,0,0,0,2,2,0,1,0,1,0,0,5,0,1,1,0,0,0,1,1,0,-3,0,Illinois Tech Scarlet Hawks,0,0,0,2.8833333333333333,1,1,1,1,0,1
0,0,1,1,0,1,0,0,0,0,2.8833333333333333,17,12,"Ahmad Muhammad,Calvin Schmitz,Jake Digiorgio,Otis Reale,Ricardo Whitehead",0,1.2833333333333332,0,0,0,1,3,1,2,0,0,0,0,1,2,0,1,0,1,2,1,2,1,1,-2,1,Illinois Tech Scarlet Hawks,1,0,1,1.6,1,1,0,0,0,1
1,0,1,3,1,2,0,0,0,0,1.6,17,13,"Ahmad Muhammad,Calvin Schmitz,Max Hisatake,Otis Reale,Parker Joncus",3,1.5666666666666667,0,0,0,2,2,1,1,0,0,0,0,0,3,0,1,1,0,2,0,1,0,1,0,0,Illinois Tech Scarlet Hawks,2,1,1,0.03333333333333333,1,0,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0.03333333333333333,17,14,"Ahmad Muhammad,Calvin Schmitz,Milos Dugalic,Otis Reale,Parker Joncus",0,0.03333333333333333,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Illinois Tech Scarlet Hawks,0,0,0,0.0,0,0,0,0,0,1
1,0,1,2,2,0,0,0,0,4,20.0,17,15,"Calvin Schmitz,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",5,2.216666666666665,0,0,0,0,2,0,2,6,6,0,0,1,6,0,0,0,0,1,0,2,0,2,-1,0,Illinois Tech Scarlet Hawks,1,1,0,17.783333333333335,1,1,1,1,0,2
0,0,0,1,0,1,0,0,0,0,17.783333333333335,17,16,"Calvin Schmitz,Max Hisatake,Milos Dugalic,Otis Reale,Parker Joncus",0,0.8333333333333357,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Illinois Tech Scarlet Hawks,1,0,1,16.95,0,1,0,0,0,2
0,0,3,3,0,3,2,1,1,0,16.95,17,17,"Ahmad Muhammad,Max Hisatake,Milos Dugalic,Otis Reale,Parker Joncus",1,2.5999999999999996,1,1,0,3,5,2,3,0,0,0,2,0,4,1,1,0,1,3,0,4,2,2,-3,0,Illinois Tech Scarlet Hawks,2,0,2,14.35,4,2,1,0,1,2
1,1,1,2,1,1,0,0,0,1,14.35,17,18,"Ahmad Muhammad,Jake Bruns,Max Hisatake,Milos Dugalic,Parker Joncus",3,1.3499999999999996,0,0,0,1,3,1,2,0,0,0,0,0,2,0,0,0,0,1,0,3,1,2,1,0,Illinois Tech Scarlet Hawks,2,1,1,13.0,1,0,0,0,0,2
0,0,0,0,0,0,0,0,0,1,13.0,17,19,"Ahmad Muhammad,Cody Mattson,Jake Bruns,Max Hisatake,Milos Dugalic",0,0.6333333333333329,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,-1,0,Illinois Tech Scarlet Hawks,0,0,0,12.366666666666667,0,1,0,0,0,2
1,0,0,2,1,1,0,0,0,1,12.366666666666667,17,20,"Ahmad Muhammad,Cody Mattson,Jake Bruns,Jake Digiorgio,Milos Dugalic",3,1.3000000000000007,0,0,0,1,1,1,0,2,2,0,1,0,5,0,1,1,0,1,0,0,0,0,-2,0,Illinois Tech Scarlet Hawks,1,1,0,11.066666666666666,0,1,1,0,1,2
0,0,1,0,0,0,0,0,0,0,11.066666666666666,17,21,"Jake Bruns,Jake Digiorgio,Max Hisatake,Milos Dugalic,Otis Reale",0,0.9666666666666668,0,1,0,0,2,1,1,0,0,0,1,0,3,1,2,1,1,0,0,0,0,0,-3,0,Illinois Tech Scarlet Hawks,0,0,0,10.1,1,1,0,0,0,2
0,0,1,2,1,1,1,1,0,1,10.1,17,22,"Jake Bruns,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",3,1.4666666666666668,0,1,0,1,2,1,1,1,0,1,1,1,3,1,2,1,1,2,1,0,0,0,0,1,Illinois Tech Scarlet Hawks,1,0,1,8.633333333333333,1,1,1,1,0,2
