Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Player_Name,Pts,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm
0,0,0,0,0,0,0,0,0,0,17,1,0,Calvin Schmitz,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,1,0,3,3,0,1,1,0,0,17,1,0,Otis Reale,8,0,Illinois Tech Scarlet Hawks,1,1,0,0,0,2,2,0
0,0,0,0,0,0,2,2,0,0,17,1,0,Jake Digiorgio,2,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
2,1,2,0,0,0,0,0,0,0,17,1,0,Max Hisatake,0,0,Illinois Tech Scarlet Hawks,0,0,0,2,0,0,0,0
0,0,0,2,1,1,0,0,0,1,17,1,0,Parker Joncus,2,0,Illinois Tech Scarlet Hawks,1,0,1,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,17,2,0,Otis Reale,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,17,2,0,Jake Digiorgio,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,1,17,2,0,Max Hisatake,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,17,2,0,Milos Dugalic,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,17,2,0,Jake Bruns,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,17,3,0,Otis Reale,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,1,0,1
0,1,0,0,0,0,0,0,0,0,17,3,0,Jake Digiorgio,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,17,3,0,Max Hisatake,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,17,3,0,Milos Dugalic,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,17,3,0,Calvin Schmitz,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
