Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
3,0,5,10,4,6,0,0,0,1,20,18,1,"Andrew Fratzke,Jake Jurss,Jared Jurss,Jordan Johnson,Josh Hau",10,5.73333333333333,2,2,0,4,8,3,5,0,0,0,1,0,8,1,3,2,1,4,2,5,1,4,2,2,Concordia (WI) Falcons,4,2,2,14.2666666666667,7,2,6,2,4,1
1,2,4,5,3,2,2,2,0,0,14.2666666666667,18,2,"Andrew Fratzke,George Olalekan,Jared Jurss,Joey Zietlow,Jordan Johnson",9,3.8,1,2,0,1,7,3,4,0,0,0,1,0,6,3,0,0,0,1,1,7,3,4,3,1,Concordia (WI) Falcons,2,1,1,10.4666666666667,5,3,3,2,1,1
1,0,3,6,2,4,0,0,0,0,10.4666666666667,18,3,"Isaiah Tenette,Jake Jurss,Joey Zietlow,Josh Hau,Keller Brandon",4,5.08333333333333,1,2,2,3,7,3,4,0,0,0,1,1,6,1,4,0,4,4,2,3,3,0,-2,2,Concordia (WI) Falcons,1,0,1,5.38333333333333,4,2,5,2,3,1
0,0,1,3,1,2,4,4,0,1,5.38333333333333,18,4,"Andrew Fratzke,Jake Jurss,Jared Jurss,Jordan Johnson,Josh Hau",6,2.55,0,1,0,2,6,3,3,1,1,0,2,2,7,0,1,0,1,4,0,5,3,2,-1,0,Concordia (WI) Falcons,1,0,1,2.83333333333333,1,0,2,1,1,1
0,0,2,4,1,3,0,0,0,2,2.83333333333333,18,5,"Andrew Fratzke,Jake Jurss,Jared Jurss,Jordan Johnson,Noah Gosse",2,2.06666666666667,2,0,2,1,3,0,3,0,0,0,0,1,0,0,2,0,2,2,1,1,0,1,2,0,Concordia (WI) Falcons,1,0,1,0.766666666666667,4,0,3,1,2,1
0,0,1,2,0,2,0,0,0,0,0.766666666666667,18,6,"Andrew Fratzke,Jake Jurss,Jared Jurss,Jordan Johnson,Josh Hau",0,0.766666666666667,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,Concordia (WI) Falcons,2,0,2,0,1,0,0,0,0,1
3,2,4,7,4,3,2,1,1,0,20,18,7,"Andrew Fratzke,Jake Jurss,Jared Jurss,Jordan Johnson,Josh Hau",10,4.7,2,0,1,2,7,1,6,0,0,0,3,0,2,1,2,0,2,2,2,5,1,4,8,1,Concordia (WI) Falcons,2,1,1,15.3,6,2,5,3,2,2
0,0,2,3,1,2,0,0,0,0,15.3,18,8,"Andrew Fratzke,Jake Jurss,Jared Jurss,Jordan Johnson,Noah Gosse",2,2.05,0,1,0,2,4,1,3,0,0,0,0,0,2,1,2,0,2,2,0,2,1,1,0,0,Concordia (WI) Falcons,1,0,1,13.25,2,1,2,1,1,2
2,0,1,4,2,2,2,1,1,1,13.25,18,9,"Andrew Fratzke,Jake Jurss,Jared Jurss,Joey Zietlow,Noah Gosse",7,3.46666666666667,0,1,0,2,3,2,1,2,2,0,3,0,6,1,0,0,0,2,1,3,2,1,1,1,Concordia (WI) Falcons,3,2,1,9.78333333333333,1,1,1,0,1,2
2,0,0,4,2,2,0,0,0,1,9.78333333333333,18,10,"Jared Jurss,Joey Zietlow,Jordan Johnson,Josh Hau,Keller Brandon",5,2.86666666666667,0,1,0,2,3,3,0,0,0,0,0,0,7,0,1,1,0,2,1,2,2,0,-2,1,Concordia (WI) Falcons,2,1,1,6.91666666666667,0,0,2,1,1,2
0,0,0,0,0,0,0,0,0,1,6.91666666666667,18,11,"Isaiah Tenette,Joey Zietlow,Jordan Johnson,Josh Hau,Keller Brandon",0,0.7,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,Concordia (WI) Falcons,0,0,0,6.21666666666667,0,0,0,0,0,2
1,1,4,5,3,2,5,4,1,1,6.21666666666667,18,12,"Andrew Fratzke,Isaiah Tenette,Jake Jurss,Jordan Johnson,Josh Hau",10,4.11666666666667,1,0,1,0,7,1,6,0,0,0,3,1,2,0,3,0,3,1,1,4,1,3,8,1,Concordia (WI) Falcons,1,0,1,2.1,5,0,4,3,1,2
0,0,0,0,0,0,2,1,1,1,2.1,18,13,"George Olalekan,Isaiah Tenette,Jacob Lord,Joey Zietlow,Nolan Rhey",1,0.766666666666667,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,Concordia (WI) Falcons,0,0,0,1.33333333333333,0,0,0,0,0,2
1,0,0,1,1,0,0,0,0,0,1.33333333333333,18,14,"Camden Flowers,George Olalekan,Jacob Lord,Joey Zietlow,Nolan Rhey",3,0.783333333333333,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3,1,Concordia (WI) Falcons,1,1,0,0.55,0,0,0,0,0,2
0,0,0,1,0,1,0,0,0,0,0.55,18,15,"Camden Flowers,George Olalekan,Jacob Lord,Nolan Rhey,Wesley Brouillard",0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Concordia (WI) Falcons,1,0,1,0,0,0,0,0,0,2
