Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Player_Name,Pts,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm
0,0,2,2,1,1,0,0,0,0,18,1,0,Andrew Fratzke,2,2,Concordia (WI) Falcons,0,0,0,2,1,2,1,1
0,0,0,2,1,1,0,0,0,0,18,1,0,Josh Hau,3,0,Concordia (WI) Falcons,1,1,0,0,0,1,0,1
0,0,1,2,1,1,0,0,0,0,18,1,0,Jared Jurss,2,0,Concordia (WI) Falcons,0,0,0,1,1,2,1,1
1,0,1,3,1,2,0,0,0,1,18,1,1,Jake Jurss,3,0,Concordia (WI) Falcons,2,1,1,2,0,1,0,1
2,0,1,1,0,1,0,0,0,0,18,1,1,Jordan Johnson,0,0,Concordia (WI) Falcons,1,0,1,2,0,0,0,0
0,2,0,0,0,0,0,0,0,0,18,2,0,Andrew Fratzke,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
1,0,1,1,0,1,0,0,0,0,18,2,0,Jared Jurss,0,0,Concordia (WI) Falcons,1,0,1,1,1,0,0,0
0,0,0,1,1,0,2,2,0,0,18,2,0,Jordan Johnson,4,0,Concordia (WI) Falcons,0,0,0,0,0,1,1,0
0,0,3,1,0,1,0,0,0,0,18,2,0,George Olalekan,0,1,Concordia (WI) Falcons,0,0,0,3,2,1,0,1
0,0,0,2,2,0,0,0,0,0,18,2,1,Joey Zietlow,5,0,Concordia (WI) Falcons,1,1,0,1,0,1,1,0
1,0,0,1,0,1,0,0,0,0,18,3,0,Joey Zietlow,0,1,Concordia (WI) Falcons,0,0,0,0,1,1,0,1
0,0,1,0,0,0,0,0,0,0,18,3,0,Isaiah Tenette,0,0,Concordia (WI) Falcons,0,0,0,1,0,0,0,0
0,0,1,1,0,1,0,0,0,0,18,3,0,Jake Jurss,0,0,Concordia (WI) Falcons,1,0,1,1,0,0,0,0
0,0,0,4,2,2,0,0,0,0,18,3,1,Keller Brandon,4,1,Concordia (WI) Falcons,0,0,0,1,0,4,2,2
0,0,1,0,0,0,0,0,0,0,18,3,0,Josh Hau,0,0,Concordia (WI) Falcons,0,0,0,1,1,0,0,0
0,0,0,1,1,0,0,0,0,0,18,4,0,Jake Jurss,2,0,Concordia (WI) Falcons,0,0,0,0,0,1,1,0
0,0,0,2,0,2,2,2,0,1,18,4,0,Josh Hau,2,0,Concordia (WI) Falcons,1,0,1,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,18,4,0,Jared Jurss,0,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,2,0,0,18,4,0,Andrew Fratzke,2,0,Concordia (WI) Falcons,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,18,4,0,Jordan Johnson,0,0,Concordia (WI) Falcons,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,18,5,0,Jake Jurss,0,0,Concordia (WI) Falcons,0,0,0,1,0,0,0,0
