Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
2,0,1,6,3,3,0,0,0,1,20.0,18,1,"Calvin Schmitz,Max Hisatake,Milos Dugalic,Otis Reale,Parker Joncus",8,4.216666666666667,0,3,0,3,6,4,2,0,0,0,0,1,10,1,3,2,1,4,2,3,2,1,-2,1,Illinois Tech Scarlet Hawks,3,2,1,15.783333333333333,1,1,3,1,2,1
0,0,3,2,0,2,0,0,0,0,15.783333333333333,18,2,"Calvin Schmitz,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",0,1.5333333333333332,0,0,0,2,4,0,4,0,0,0,1,1,0,1,1,0,1,3,0,3,0,3,0,0,Illinois Tech Scarlet Hawks,0,0,0,14.25,3,1,2,0,2,1
2,0,1,7,3,4,0,0,0,1,14.25,18,3,"Ahmad Muhammad,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Max Hisatake",6,3.783333333333333,0,1,2,4,5,3,2,2,2,0,0,1,9,1,2,1,1,5,3,3,2,1,-3,3,Illinois Tech Scarlet Hawks,0,0,0,10.466666666666667,1,1,7,3,4,1
1,0,0,2,1,1,0,0,0,0,10.466666666666667,18,4,"Ahmad Muhammad,Calvin Schmitz,Jake Bruns,Kohl Linder,Milos Dugalic",2,1.9666666666666668,0,1,0,1,3,2,1,0,0,0,0,1,4,1,0,0,0,2,1,3,2,1,-2,0,Illinois Tech Scarlet Hawks,1,0,1,8.5,0,0,1,1,0,1
1,1,2,4,2,2,0,0,0,0,8.5,18,5,"Ahmad Muhammad,Jake Bruns,Kohl Linder,Milos Dugalic,Otis Reale",4,2.2666666666666666,0,0,1,2,3,0,3,0,0,0,0,1,0,0,1,0,1,3,1,2,0,2,4,0,Illinois Tech Scarlet Hawks,2,0,2,6.233333333333333,2,0,2,2,0,1
0,0,0,1,0,1,0,0,0,1,6.233333333333333,18,6,"Ahmad Muhammad,Kohl Linder,Max Hisatake,Milos Dugalic,Otis Reale",0,0.8499999999999996,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,Illinois Tech Scarlet Hawks,1,0,1,5.383333333333334,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,5.383333333333334,18,7,"Ahmad Muhammad,Max Hisatake,Milos Dugalic,Otis Reale,Parker Joncus",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Illinois Tech Scarlet Hawks,0,0,0,5.383333333333334,0,0,0,0,0,1
1,0,2,6,3,3,1,1,0,2,5.383333333333334,18,8,"Jake Digiorgio,Max Hisatake,Milos Dugalic,Otis Reale,Parker Joncus",7,2.5500000000000003,2,0,0,1,3,1,2,4,4,0,1,0,6,0,1,0,1,1,0,2,1,1,1,0,Illinois Tech Scarlet Hawks,1,0,1,2.8333333333333335,4,0,5,3,2,1
0,2,2,4,0,4,0,0,0,0,2.8333333333333335,18,9,"Calvin Schmitz,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",0,2.8333333333333335,1,0,0,3,6,1,5,0,0,0,2,2,2,0,3,0,3,5,0,3,1,2,0,0,Illinois Tech Scarlet Hawks,3,0,3,0.0,3,1,1,0,1,1
0,0,0,0,0,0,0,0,0,0,20.0,18,10,"Calvin Schmitz,Max Hisatake,Milos Dugalic,Otis Reale,Parker Joncus",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Illinois Tech Scarlet Hawks,0,0,0,20.0,0,0,0,0,0,2
