Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
0,0,1,5,2,3,6,5,1,0,20.0,19,1,"Bruggink Andrew,Caleb Goldstein,Colin Biesterfeld,Collin Kennedy,Matty Farner",9,4.933333333333334,0,4,0,4,6,5,1,0,0,0,3,0,12,0,3,2,1,4,4,3,3,0,-3,2,Wisconsin Lutheran Warriors,1,0,1,15.066666666666666,1,2,4,2,2,1
0,0,0,2,1,1,0,0,0,0,15.066666666666666,19,2,"Bruggink Andrew,Colin Biesterfeld,Paul Koier,Sam Kaufman,Vancrete Alex",3,1.75,0,4,1,1,4,4,0,0,0,0,1,0,12,1,4,4,0,1,0,0,0,0,-9,0,Wisconsin Lutheran Warriors,1,1,0,13.316666666666666,0,1,1,0,1,1
0,0,0,4,1,3,0,0,0,3,13.316666666666666,19,3,"Bruggink Andrew,Caleb Goldstein,Collin Kennedy,Matty Farner,Randy Johnson",2,3.2666666666666657,1,2,0,2,5,2,3,4,3,1,1,2,7,0,1,0,1,4,1,4,2,2,-5,0,Wisconsin Lutheran Warriors,2,0,2,10.05,1,1,2,1,1,1
0,0,0,2,0,2,2,2,0,1,10.05,19,4,"Bruggink Andrew,Caleb Goldstein,Colin Biesterfeld,Collin Kennedy,Paul Koier",2,1.583333333333334,0,2,0,2,2,2,0,0,0,0,2,0,5,0,1,1,0,2,0,1,1,0,-3,0,Wisconsin Lutheran Warriors,0,0,0,8.466666666666667,0,0,2,0,2,1
1,0,1,6,2,4,2,2,0,1,8.466666666666667,19,5,"Anthony Mendoza,Colin Biesterfeld,Paul Koier,Sam Kaufman,Vancrete Alex",6,2.5166666666666666,2,0,1,2,2,1,1,0,0,0,3,0,2,0,0,0,0,2,5,2,1,1,4,2,Wisconsin Lutheran Warriors,1,0,1,5.95,3,1,5,2,3,1
0,0,2,3,0,3,0,0,0,0,5.95,19,6,"Bruggink Andrew,Colin Biesterfeld,Collin Kennedy,Paul Koier,Vancrete Alex",0,2.0833333333333335,0,0,0,3,3,0,3,0,0,0,0,1,0,0,1,0,1,4,0,2,0,2,0,0,Wisconsin Lutheran Warriors,0,0,0,3.8666666666666667,2,0,3,0,3,1
0,0,1,3,2,1,2,2,0,0,3.8666666666666667,19,7,"Bruggink Andrew,Caleb Goldstein,Collin Kennedy,Sam Kaufman,Vancrete Alex",6,2.6333333333333333,0,1,0,1,3,2,1,0,0,0,1,0,5,0,2,1,1,1,1,1,1,0,1,0,Wisconsin Lutheran Warriors,0,0,0,1.2333333333333334,1,0,3,2,1,1
0,0,1,2,1,1,0,0,0,0,1.2333333333333334,19,8,"Caleb Goldstein,Colin Biesterfeld,Collin Kennedy,Randy Johnson,Sam Kaufman",2,1.2333333333333334,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Wisconsin Lutheran Warriors,1,0,1,0.0,1,0,1,1,0,1
1,0,1,6,2,4,0,0,0,0,20.0,19,9,"Bruggink Andrew,Caleb Goldstein,Colin Biesterfeld,Collin Kennedy,Matty Farner",5,3.25,0,2,0,4,5,3,2,0,0,0,1,1,6,0,1,0,1,5,1,4,3,1,-1,0,Wisconsin Lutheran Warriors,1,1,0,16.75,1,0,5,1,4,2
0,0,2,1,0,1,0,0,0,2,16.75,19,10,"Bruggink Andrew,Caleb Goldstein,Colin Biesterfeld,Collin Kennedy,Paul Koier",0,1.666666666666666,0,0,0,1,3,0,3,0,0,0,1,0,0,0,1,0,1,1,0,2,0,2,0,0,Wisconsin Lutheran Warriors,0,0,0,15.083333333333334,2,1,1,0,1,2
0,0,0,0,0,0,0,0,0,1,15.083333333333334,19,11,"Caleb Goldstein,Colin Biesterfeld,Paul Koier,Sam Kaufman,Vancrete Alex",0,0.9666666666666668,0,1,0,1,2,1,1,0,0,0,0,0,3,0,1,1,0,1,0,1,0,1,-3,0,Wisconsin Lutheran Warriors,0,0,0,14.116666666666667,0,1,0,0,0,2
0,0,0,1,0,1,0,0,0,0,14.116666666666667,19,12,"Caleb Goldstein,Colin Biesterfeld,Matty Farner,Sam Kaufman,Vancrete Alex",0,1.0666666666666664,0,1,1,1,2,2,0,0,0,0,0,0,5,0,1,1,0,1,1,1,1,0,-5,1,Wisconsin Lutheran Warriors,0,0,0,13.05,0,0,1,0,1,2
0,0,0,1,0,1,0,0,0,1,13.05,19,13,"Bruggink Andrew,Caleb Goldstein,Matty Farner,Sam Kaufman,Vancrete Alex",0,0.9166666666666679,0,0,0,1,2,0,2,2,2,0,0,2,2,0,2,0,2,3,1,0,0,0,-2,1,Wisconsin Lutheran Warriors,1,0,1,12.133333333333333,0,0,0,0,0,2
0,0,1,8,2,6,2,1,1,1,12.133333333333333,19,14,"Anthony Mendoza,Colin Biesterfeld,Collin Kennedy,Paul Koier,Randy Johnson",6,3.916666666666666,2,1,0,3,6,2,4,0,0,0,3,2,5,0,4,1,3,5,1,2,1,1,1,1,Wisconsin Lutheran Warriors,3,1,2,8.216666666666667,3,0,5,1,4,2
0,0,1,4,1,3,6,2,4,1,8.216666666666667,19,15,"Bruggink Andrew,Caleb Goldstein,Matty Farner,Sam Kaufman,Vancrete Alex",4,3.033333333333333,1,0,0,3,2,1,1,0,0,0,3,0,2,0,0,0,0,3,4,2,1,1,2,3,Wisconsin Lutheran Warriors,1,0,1,5.183333333333334,2,0,3,1,2,2
0,0,0,1,1,0,2,1,1,1,5.183333333333334,19,16,"Bernhagen Drew,Bruggink Andrew,Colin Biesterfeld,Collin Kennedy,Matty Farner",3,1.1833333333333336,0,0,0,0,1,1,0,2,2,0,1,0,4,0,0,0,0,0,1,1,1,0,-1,0,Wisconsin Lutheran Warriors,0,0,0,4.0,0,0,1,1,0,2
2,0,1,4,3,1,0,0,0,1,4.0,19,17,"Bruggink Andrew,Caleb Goldstein,Colin Biesterfeld,Collin Kennedy,Zuleger Zach",7,1.0499999999999998,1,0,0,0,1,0,1,2,2,0,0,0,2,0,1,0,1,0,0,0,0,0,5,0,Wisconsin Lutheran Warriors,1,1,0,2.95,2,0,3,2,1,2
0,0,3,8,3,5,2,1,1,2,2.95,19,18,"Bruggink Andrew,Colin Biesterfeld,Collin Kennedy,Matty Farner,Vancrete Alex",7,2.5,1,0,2,3,1,0,1,3,1,2,3,0,1,0,1,0,1,3,4,0,0,0,6,2,Wisconsin Lutheran Warriors,2,0,2,0.45,4,0,6,3,3,2
0,0,0,1,1,0,0,0,0,1,0.45,19,19,"Colin Biesterfeld,Collin Kennedy,Matty Farner,Randy Johnson,Vancrete Alex",2,0.2,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,Wisconsin Lutheran Warriors,0,0,0,0.25,0,0,1,1,0,2
0,0,0,2,0,2,0,0,0,1,0.25,19,20,"Bruggink Andrew,Colin Biesterfeld,Collin Kennedy,Randy Johnson,Vancrete Alex",0,0.2,1,0,1,1,0,0,0,2,2,0,0,0,2,0,0,0,0,1,0,0,0,0,-2,0,Wisconsin Lutheran Warriors,1,0,1,0.05,1,0,1,0,1,2
0,0,0,1,0,1,0,0,0,0,0.05,19,21,"Bruggink Andrew,Colin Biesterfeld,Randy Johnson,Sam Kaufman,Vancrete Alex",0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wisconsin Lutheran Warriors,0,0,0,0.0,0,0,1,0,1,2
